2018-04-23 09:40:46	13eff73db39f074c147c47b1d7906824:pxphBc43Zvwv7eVoIOeumw9elOFJJoGo	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-23 09:44:55	01f5bca86373d14288bc4ae87359407b:t7VxpqUfCUF9BsmBWfKh8ap0M3MQ8HTM	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-23 09:45:08	35f9141e7bd1ffa44b3142b079b9ec87:WAYeoQhCID00XuYWIu3wlpfpi8W5M4mq	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.140.29.32
2018-04-23 09:47:31	af5a6b4d098b28879bd77988cc34996c:5iVVG1wp13vaSFaUj43zCb9j5qhU5lIM	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	36.228.141.208
2018-04-23 09:47:41	10620e12f36aa33ca12a071626ae85c0:ZKhADnzO9LB0449G5r1bKijsXGbMSUak	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-23 09:47:58	80cd99f726f0fb06b5a6db4f0b0b0b96:O5k4K6ii0iOHvcoYZtYQ5IxWhYYeS49Q	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	111.83.228.5
2018-04-23 09:49:01	95c1c3834f47972439c40c9d19fc392d:CAPkbm1NzODKMeT8jQIIKeob4JKLHrDS	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-23 09:51:22	5dcca6b2086257036d311e457f4a5af6:Eeb8isrCcOS3yCYYKyJWmRKRuJ8Ka21x	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.138.210.162
2018-04-23 09:51:33	a23326d26a58b3cc8eacb3f08d6bb43d:iuledj1cMwfqp5wbWXyZFu4ZQmskUzCa	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	111.83.228.5
2018-04-23 09:52:52	19583468f18e0e582d5bd2b309e4a6d7:hbg3Nj563hK9nV59jJtZzxLmElIcAWj3	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.138.210.162
2018-04-23 09:54:29	53f34dba6182976308445a42d7bd8c74:yk2jRBIntovyVc6y68gHFvXJKtNwWes5	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.136.76.55
2018-04-23 09:55:06	119984eea02fc0c560c484ef72aa925c:VeribTmBZvGzxFyMODZHzMqX809UnGsE	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-23 09:58:22	523c2562884b8be420016b50b3331256:wJWCNXaTTbJonXfaVT32SyEcPsh9yBy3	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,;	106.105.178.44
2018-04-23 09:58:32	cc0f0e9337833e1edd10eca5d93daa28:PaqDsUENzvemBv8nOltegBulpRy80mD7	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	36.228.141.208
2018-04-23 10:00:47	8a6d6d4a312441c3c13b52bf8b607e4c:F9hxr9PpZjDqCsgxACfzaApvGRQlOyot	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,;	106.105.178.44
