2017-07-10 08:54:50	7cf75f0e9e01b155203d116881b58c0e:T4wXtgEWwj7GiMN33O3yR4BC5ntpEmoW	Q1:公館藝文特區,老人幼兒照護,交通觀光不光光-軟硬兼施卡夕在,;	223.137.152.136
2017-07-10 08:56:30	496ceb7f87ca953f20b880285a9d6abe:2pQewogJBoJ5s3ZYYwRgAvbucOjXnag5	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.233
2017-07-10 08:58:44	af5a261d5dc90d442dc1d3eb3876b715:Mz4W4rlZen8w1SSVR02JC93kwV2gsjnT	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.233
2017-07-10 08:59:20	f28bfe49095a7f616fa965e9f7f666f9:5iNSTl9h11239rInsVKQV1iq8MHWigOt	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.233
2017-07-10 09:00:07	42dfda15b232e6c01c536221c4fb35b6:EOAIj4d9ZuCWtzbr2YIsEZiRvoFkhe8l	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	1.162.66.196
2017-07-10 09:00:19	011f08ffc8845ff285d6e405e988114d:ao4mikILGd8xYUXQU88auJDL8ZcLkW4s	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.233
2017-07-10 09:03:26	e6a6675f7bc35df159d2d3d275d5fae8:zKAVdFHgGQxWjA7Iq87uAmjhN57UH9hJ	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	223.137.31.186
2017-07-10 09:13:08	8c0666f9147d9cec3cbecd846723cae9:u56Tdk0ljVA8OHpJOyhq3u9VeQNnVAQ5	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.233
2017-07-10 09:18:52	580cc6aa7e7751c73b29decbda89841c:OjCRVVBpNN21wFn8XePO10zGJTZSjzV7	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.137
2017-07-10 09:25:41	94ebc15800c4c7332e6685b3acb43713:OHDqxfFyFus4LX33kyRwlnIdCZvCN0mA	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,;	172.29.8.137
2017-07-10 09:30:29	e9f07a36cfb8fe92047e6716372de04c:BfYRUGVnwG8aaTRG50AHHtPYejnheW3W	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	60.250.147.33
2017-07-10 09:30:49	a2ae7cfaeb0380d206e1396407438f47:FDxfg8gCmwkAnq6XlQNTs2s7jYS2eGJU	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	103.31.196.193
2017-07-10 09:33:33	f1acfe12415b8a4ecada6aaa7919f4f6:4AKPEAlKo45zgnk6x7drTLfupJuTYapG	Q1:公館藝文特區,老人幼兒照護,交通觀光不光光-軟硬兼施卡夕在,;	103.31.196.193
2017-07-10 09:36:36	d729b1de64484daf8088ad5a90a40f33:uL1Ewe1I5DCnO0JyrThlU52vVPUZNGoo	Q1:老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.137
2017-07-10 09:46:18	cb69d1a54f160d4793b02e1c06f96ff9:JOFbBNzBiyPgUGRQA9bQkyn22GKdwBGg	Q1:公館藝文特區,老人幼兒照護,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.137
2017-07-10 09:47:21	14562dd38b27935d32b2857de347179b:xubCaV798i5aUTSkWd3WqGVXXpI8FywJ	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,;	172.29.8.231
2017-07-10 09:48:00	1add6b48f751ae4c4c79e0d8232b9865:Q2j11TvV3zqrHxCaBOWrxWWCFWeyxj7A	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,交通觀光不光光-軟硬兼施卡夕在,;	27.247.103.67
2017-07-10 09:48:24	b0efe8b0b06a290d73ce28e15d386349:leZ5zFfOnCd68gGE0uvwNnhhz3YLESCT	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,;	172.29.8.231
2017-07-10 09:50:23	313849f11acf4d14c9d1b3595c6a6fb5:cdeK2ebpUplbcidZiUKQSORtxv8c4U1F	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,;	111.243.101.251
2017-07-10 09:50:58	b11978f73a0876b1dbecf9e35383f420:mgdfCX2vYr85XlBqqBoXYt0QFptTThVE	Q1:展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,;	172.29.8.231
2017-07-10 09:54:08	dd854777b41a9330275f89f6af6d6772:8u2xrjNIsfvBwAZRvTz7DisU5EXAQXNJ	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.137
2017-07-10 09:55:58	8b1525f253b8a64eccc221334bffec06:jB0DtViIMRSX1OOBRHbqY1DTuqt5rf5v	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,;	172.29.8.231
2017-07-10 09:56:57	9df93d659175a9eba981b6625879ab99:ZivpvJiCwNC3WSZ0gPRSKfKXvAmMgWq3	Q1:老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.231
2017-07-10 09:57:26	c70dc2f3b221507c12feada471ff2164:84huE9ey10hb8VcQkROkWFMa6jpgdVWN	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.137
2017-07-10 09:58:27	74b3137de62bf2b9cc9f38b40cc3e6ff:GpRGORO9UsFU2EsxMweg8Bhp88Dq1dNG	Q1:老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	111.243.101.251
2017-07-10 09:59:05	bcd66a010e823ae1a2f1dfd57cf969c8:UH74PjYKU4zejxzEarrHxWtG3y5yzOqm	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,;	117.19.155.88
2017-07-10 09:59:13	f53e1ac2c55b1cb37254dfc919be47ee:VtUVxznczGKM0m0D5IbccPxKHvAZivcA	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.137
2017-07-10 09:59:30	997f043c7c8f3c73e3ff035ef052f2b6:5o8KGXtfYFa8oaxc7xBMEU2IW70TWAkf	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	223.140.149.238
2017-07-10 10:01:58	5f0da95fff211f78d361e3cd99ecbc4f:uD1sFdXufUdmUoCMduzifZkG6ZQUKtkc	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,;	223.140.149.238
2017-07-10 10:03:51	f8cd2b591a236b7c1d3c74e401fb0b9b:SveFG5M0xxEdBUzCnrWwPScE85G6WF7z	Q1:老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	111.243.101.251
2017-07-10 10:05:43	10c5855b95b54027a94cc041b240d3d6:896RxXBCV3iP5INUOuBWcGZ9x5dcu6r5	Q1:展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,;	172.29.8.137
2017-07-10 10:08:13	6135886df3a725d5f28db49b6e0bc198:eJI0cF7iqgS5r7H2MRNQ7VEYvRn3ldLt	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	211.79.136.2
2017-07-10 10:08:35	172f5638bad89c1405f522d0bd3b6b2c:AevIpdLeVoE31O7RVpkE0r72iWcUF39R	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,騎鐵馬遊中正,;	223.140.149.238
2017-07-10 10:08:44	d360e161ca74dedb39ba6996fdb44f1d:zgIMqeGrrrCWrKkTgOgGQYk7AUBkWqSA	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,;	111.243.101.251
2017-07-10 10:10:22	065c7aa19a27264c6e97dbd25edc3854:jaeIaya8yFf2oROnrlOQpKi6s2guxLqH	Q1:展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.137
