2018-04-19 00:27:40	fd3d438ab63ec92da53ebf75784964eb:bMTUQv0psDWbwtbtPGpvMLSymLyxzox5	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 00:28:50	c2a99287f6d6ffb97afd3f565ab5fefa:j7EsvIwXgiFqW3hH0q8kywD7vjLuL0ep	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 00:30:35	9b2aa933facb8b1ca67e2f624f5cd355:fahEAEGaoIPo80eCSGbmzLxT2L1vj3pu	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 00:34:30	bc8cabfc9b68d7bfa461230bf16c5383:y58E0gKy6icJvps9872KeQDe4vDct9P2	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 00:39:02	2f02ea6bf42d0708a61575da0e22e0c3:lOOSF69gsfQOdXCKGsLGJ6XxBDwpq7aB	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	39.8.160.73
2018-04-19 00:43:14	47ad9e0af6e526e1286a8a54735fe044:3ajYY9WMKIvdcKTzeHVG3fXlonwW073N	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	49.214.149.65
2018-04-19 00:47:09	0b22f30db1c30c9fe27beae046861a6b:F6bKOKXYiH2TCDPbdvtDGJsuvtNZGQSl	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	49.214.149.65
2018-04-19 00:47:27	73e692f0fe03de609565d86c04a474ba:cG0ToiVKpzPUuENfMyp3egqySnaMm1WC	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 00:49:51	1a03634e2fbd4444f6b31dbef4acbef1:iHP9xpuPfug1mhTCFrHDMQpe8aSOzUXu	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 00:50:21	45c89ba77682ab31a289aa252dacc2d1:aIXlhpeJWY4u4vmT1PRXnKSayZLCWKBi	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 00:55:32	36cccda75854206cd3b7e568d5455807:yjysWENbbC4ngWiWlwjDlpLhh2VhDtS6	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	117.19.83.3
2018-04-19 00:56:36	4fb60e81ae7a7aaa60bab24fa1304017:KBjQ1xSGUCV7DfJRDnwapktKgX9DVaae	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	1.162.62.110
2018-04-19 01:25:27	ace601071b824c5e4878447d61f69cb5:qzMNn9zvTiAezPmnyKMyjoFfoNYG6qSV	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	125.231.91.184
2018-04-19 01:26:49	54531afac164ffcfb1dbd00c1876c975:2MsNgnap9hWcisjNL0qtfEmHe6C1jqVk	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	27.52.131.232
2018-04-19 01:34:49	65472dabaa84e2c5f380c8ef3c2039a3:qqPxAGxfCtBUs4XXMvz0VPJiVvZNUwUn	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	125.231.91.184
2018-04-19 01:56:34	c92ce4c6394bf1dbd8029108e6d57188:VKIunuMUxF7dlI98hiqGnNROmEVKCYBG	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	27.147.42.227
2018-04-19 01:58:24	4af3c30979731c82afe40dd9e05e551d:I4tbOuMUaasYV6byvykzMZnEJwDj06BB	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	27.147.42.227
2018-04-19 02:01:34	84e0dcac0c365ecdc54c0c3b2f4893ee:Ecx5Al3QE8lkLLVipttBe6TGm1fW41Ws	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	180.204.20.178
2018-04-19 03:02:07	5c8e1eff404826abbc4895e66ef3cc66:VkTmOamHUisl7zdlUUWQC51PbbGjIDNI	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	110.26.38.55
2018-04-19 03:10:35	ce0aceeceb01eeecbed8974ba669fe07:ldY31SKywFalDJU6Vqg3yPNpWJFEagFs	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 03:12:33	e86403eb3f1fa4c8f0f39af47923bcb4:mTxOFqt9MjSHeS659upzJK725DmXCSmy	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 03:14:27	582a593cf8fc140ac6ac9b024ceffe86:TjpTvh3KsnoYEh6P4c27ObHh3OLAmCIP	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 03:15:17	73d735a50e5b361004b0f9054e687dd4:EnGJxNUzdECg0fnxanSl7vdFSfcBzM7U	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 03:16:46	7f819c3c504d30833353d9bd11afe348:6rEUrLFwtXmwmkFffGoGZsmGLLLill1K	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 03:17:05	9775540b088d0c1915dcc76e20edca16:upQ7Ma8lRsszCisZvyDsNrPc1r569koc	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 03:22:17	050d44095fa3023ec4b4ecbbff754ca4:vYoOQbiqBlIgqQx59jae3Xsq8jopBhVZ	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 03:22:47	39f1317143540604f9ca86ca9eee31fa:xgYBUyHEXDI6Quf8WSxyTMIqqwC5Y0Af	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 03:23:35	62557fda2039b8fb0001a07215279652:KtmNEPckdf8RqVK6tSJTdjjq6ii8Aq9t	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 03:25:06	2dab161039a4dffad4bee42bd3fa812d:GnrsKrXbbprIimSZfIJtdMz3eXiX47JV	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 03:26:45	a6bb9d1ef33f2e144c4901bde4f3ff09:bCIm229MdXSS7u7SVvtquqtdDlgI8bND	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-19 03:27:13	e81c12ef13b017a4f8093cd72d78b93a:qexxoiyTHeQYqnsfRWglKIqusM72PPPj	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
