2018-04-26 00:44:44	321c7f1901d59544c34e7867b8dbfc38:RwPQNlnm3IhhXAH6eZ14oRPI6fps5bKR	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-26 00:55:58	cbf86e8c672c416ceb93820148d17cca:8NuE9MCLOn4SrAanjDGAKA5P172v1rqP	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-26 00:57:44	87c40646ad1ba2daa0dc8f4050787cad:bMIe6pl7XozFNIT37dHEEr9pQFU2V4qc	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-26 00:58:51	e3de86c182ef322ce732b6fe363ac3f4:gaJ21OMRuvmW02MN4jjRx5k09k6dhi8Q	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-26 01:02:09	71734fe3474013f622d05f26cd024ce7:sEuds5aVpNNIKbh2WMgxIuNO8RXYeRS1	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-26 01:36:06	4ec1f002f8156d568a77b8381d44bc7e:nsKTN22OqwCaG8zKGwHXbwG35UZJge5n	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-26 01:39:44	86e72ded6076fc7b4cae8506c005df92:abcGFxdHCWrvPNkOPo25T7VNtQMf3hvn	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-26 01:47:16	38630e0a37922221055fed467b0f4c5e:vzFjSytOmJtHmWUiylp3KprWfOkp4spJ	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-26 01:48:26	07439b07d248b492f8e1b9bfcab06e01:f67qL6iAs1zij7Pm8LX0SVTqChCvzUBW	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-26 01:49:38	bbbc68854c23af6d8916587170ebd19a:sHbqLYGt0eNG5G1KIcJAOOJ9Bq6dA0UV	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-26 01:52:10	6e719fae6434180cee97d83774ec32e3:t6YJrbbndUcBvhzt3Og1FzkcnAdxOlso	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-26 01:56:27	ce6ffdc869d006990946027cba4a7b34:AX1vBD9iWNH846JEyF7GKgwLBnZO7YaH	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-26 02:01:32	0075278954c8f97509be62df6cbc49da:OEYlNiB4lOOM5XNQDkcvw6KLGlKPPFIn	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-26 02:18:37	e1ab1712a0073e4196631ce78149b1c1:zVXvYQ0ebZ6zLOPXAVvIrBSo9dfMqCxV	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-26 02:20:26	9ca97a052696d3f8f0b3d8be4caf6350:jrrXnWCAJpEUSUsic8t0k8Q7VS2vi3Xx	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-26 02:23:21	75ad5ea6c82def4962e5eb50a53dd75b:BpcTkPPbE0UMnWt15o3w60TG6xNTD3Nq	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-26 02:29:02	ab62794b4daeb04e888865769a059dc1:4rtGgPRpu4Q6h9YEQCFVVOzwK15mvoBu	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-26 02:30:38	ba157ee85ec940180f4f2606ed9924f3:MpdG7xglmKUiFdUcuWsKjFxoiI8K4fNj	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-26 02:35:58	9afab29cfb159b8ccd634ee54273b108:1MA5nxlzn7j8HvW5plerGPWy2mq12Sqm	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-26 02:38:12	4028d37e7abc3f9d62bba754aa307410:nAVcuBVLCMXGULAchRKMpL3oq9z6wsAg	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-26 02:40:24	d97a82fa2790ebee7222f18f708af191:22kor9Gia0GyYp8KjTgeSGTRNNLX4rfx	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-26 02:44:51	f134169a800064b743e246cd5c3de0e8:qMk9lzXNs825D04wLA6VlSX48iIkUjpe	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-26 02:48:07	ea209004747375fe6715e48cc6df1a32:98UkJ1tNKJPF9aJDoOS01boLtq3qoDln	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-26 02:48:59	0e3e9ecfd67d5cff0918b01855cfdd4a:jlzvpqtma6NzsS7dJSBlEoFsnotuVcWp	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	36.229.110.1
2018-04-26 02:49:15	e0574eaf29f19cddff3831499abdcc87:sXevgpZFhFhdd4zFbIEKJiAyTgVD82TN	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
