2018-04-17 09:49:47	0a6539e80f497239f7b397a5a3fe784c:KD56XcgvIFzGX5lfXpsKpTrzSrxq4zZN	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	163.29.181.143
2018-04-17 09:51:01	309da462628902408d1d3f836fd4ccb7:52DRnZch7yFdm59xIjrO70UgoGXegjjw	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	172.29.147.132
2018-04-17 09:51:25	228582622023afeb9dac9d8a765a47ba:hdeibXC2I2Mdf8Qzz9hMij956hVuwpiU	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	140.119.122.6
2018-04-17 09:54:01	0b74f96f50ec33af33029191089d87e0:epZMrPZXraERILCSlB1JgMwUMAKgqqTN	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	140.119.105.65
2018-04-17 09:54:38	13afc07010220703bcd32e85ca089cc9:JicyvCuRhvylPxTw4HjAuTe8m3NkPlkj	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	172.29.147.132
2018-04-17 09:56:36	076d202d773784d0f2519c555f4a3cdc:4nhIhEisb7vQmAAGHZoxMGrw0WpgzcjB	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	123.194.129.203
2018-04-17 09:56:36	06a082d3857fb8223718ed00e2828efc:ntIULM9KsRk6AY4hkS6XHscypqPgp4Qx	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	49.214.99.9
2018-04-17 09:56:53	f9953f5acfa633b0b89bdb0a4c3327ee:tLJc8HYmnU2n5ekTa7CUrVIfKNSYj2lt	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	172.29.144.217
2018-04-17 09:58:35	82bf10bf3e4caa4a33a73e97018d26cd:fHxS03n4RZ2Gifnq7whCmOGPpIbzrxwD	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	140.119.121.6
2018-04-17 09:58:54	3dbe0ee546b639e6faca064302199b36:ryQCf7WOf4uXWv7lLePSb5gcknUfG5TG	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-17 09:58:57	59b59964355922dceacbf7ab064fd759:4XwBNBK6fg7r4WDzlDJ099sY6fNtmP0d	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	10.254.248.135
