2018-04-22 08:59:10	50801f7566b3e8971c48e73d85d0ee63:JobxleU4ZYxpF2fN4Jf0JHV1YXRUeSCE	Q1:綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-22 09:03:13	4d64902c60a0355d89a85b3ed2e6f9b4:n9XyR6OMbcsWeLmjQLQocXbAGESyNPYv	Q1:綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-22 09:04:28	a535f6cfe5e7d671838d4d19169e67e6:vcjOYGQi6grcsUMc3A0SZqPXGyKaRf0g	Q1:綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-22 09:09:20	a4366db8830a32a34b5b9257391c951f:b5d8OvY6t5UZY83I0gBsRsHViiQKlLg9	Q1:綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-22 09:14:12	2836199f1e76cbf138084d05836df683:OUmZ5MjlsugERJl3WM8ABnHD1wuB4bPd	Q1:綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-22 09:16:55	c0c80e826d9fa013c399ce20cdfaf1d1:wIulcI5HLxsffdcNBiTakfnlInGl2XhQ	Q1:綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-22 09:19:07	f74f43d30277be9e64d08547da87e03d:s8x9nIsGYY0xb2OOl44KoW2i6XvZPJz5	Q1:綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-22 09:28:27	f77a6a07881c48e7a5e781cf52679707:aJX3noxHrOmkPwZ11R8KW5srbcgXNbrP	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興豐熊讚親子主題公園改造計畫	,;	218.161.47.130
2018-04-22 09:34:54	dd501f27f257eb79e9cc684f626b90c0:2Jv39nzgN6F1Yhii4cv7oR0UlEwVKFBo	Q1:綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-22 09:43:09	5b56d9c2f5f1d744af73397e9c605d58:zTB564xADm3jDcEeLIj60uMR4cSVYcyN	Q1:綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-22 09:57:30	d0a4717ba27aec36d3c4999de7f67a66:mHbPwXmxmIg2FupqEACezKwDXve6RPmI	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	101.138.160.231
2018-04-22 10:02:25	7375ecee7c199c0f3c56813222aeb2c3:u2Lsd2PEWxElw9GN5qugNm5ajxmyhAW7	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	110.50.156.157
2018-04-22 10:10:01	398e35e513d3a14c26beba52a7f92665:K6ALVEfZVnM1qxJUUgpiCLQz8YUXn29B	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	114.136.53.28
2018-04-22 10:16:20	ebd6e9e6611120036e767a09506575a9:jhDHq259NcXIS8hIEAHbdZxnjuIXWHBk	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,興隆市場增掛電梯以便民案	,;	110.26.99.87
2018-04-22 10:19:08	b0ff91a801e0a9d5aa68e62ea596b8a3:iebJYeq9CXoyG56UYKFojicmph7DsnqV	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,興隆市場增掛電梯以便民案	,;	110.26.99.87
2018-04-22 10:22:19	ef6b5b9e02ddd43bd873bb870c721d37:G7iMHgZV3yPqVNvBCRpsv2Wl7lnGT6WO	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	110.26.99.87
2018-04-22 10:48:41	e31153ab3468c418c4499c95f26cd1fe:Wx03c7zMVzOwHGTkcGqS1H3qghInFgpC	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	42.77.162.70
2018-04-22 10:48:52	8988a48efbaa77bc3b9f68105b117160:6uYrjpNdlTHdOYSjQjp4Qo8dgvgTljnU	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	42.77.162.70
2018-04-22 11:07:45	25f846ba42a9a94a77dad8eb9e223597:Ih6uQ6P3hyF6qvYxmrwCHZthRShCFXea	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	110.26.99.87
2018-04-22 11:08:17	7688fc5f37c9a397057943e10c9e1092:KDtWBEVNJPHHYHGHOPuhqDrRnK8ZNC10	Q1:閃亮文山．越夜越美麗	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	111.83.3.18
2018-04-22 11:38:50	22e9433874a6a60e220821f1fd642a45:xDBDmU7dw9gExQvNq459A98IfzCD626u	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	1.163.183.157
2018-04-22 11:42:19	2e80d68d9b31823ad0bb49939f1e2ff1:LtqapiGdsitUZqvyPPGsKkENsTZfr6Vd	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興豐熊讚親子主題公園改造計畫	,;	223.140.88.196
2018-04-22 11:43:01	887e6bb23f6e9f9b97e982bbd1c48a87:JHR2k4D24YjR2ZhoNX6tzvqHixVE0QVm	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,興豐熊讚親子主題公園改造計畫	,;	1.163.183.157
2018-04-22 11:43:38	88805c9b9d95e71f157f46d48312b01f:DEstxCRc9BqCXYGUAzT93Jz6NRjsYAEv	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	118.161.35.38
2018-04-22 11:45:01	5ae6c5465e1f9fd0934c190b3420807c:nR1d5VZlnhrg7gI71zw56asnH7xBKvxt	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	118.161.35.38
2018-04-22 11:45:06	70b8381087292031a13dc6af6f1f6081:DCRVlMwBLMI8EebPdB3d3BkRVLUxThBG	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	1.163.183.157
2018-04-22 11:46:07	88d20d23ef4a0d22afd79e5bb6e9e8fb:ERIceNwDqKFgBYApPJFB6G7cdhgJMnml	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	118.161.35.38
2018-04-22 11:47:06	6613dd87bc393a19dad5b1780778c274:XYRHbXN7w0WoZw349io92HMb4dWUqSPL	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	118.161.35.38
2018-04-22 11:47:46	2bc1f1412022cf4bdf21021b8fbabf06:VHdQzCrc56pso06NmMWfKgwYHaKdiqMx	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	223.136.122.43
2018-04-22 11:48:09	b5e4cf71d978e8cc6e7b005d821fe3ed:q9yCgtGCYGKM7BRzNipwcJm4Cd97d95K	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	118.161.35.38
2018-04-22 11:52:28	68aa017fe4cb7ffeeddaafcbe0e7fa8c:rnWVWMMxEi1pUTWkGeVYWu2xqDkTit4q	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	101.10.115.136
2018-04-22 12:00:49	f4ffc242a1a9064a2d3c2187aa984074:dINgOazmb6ayLeTHhxrGBp26shkR72Or	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	114.136.13.131
2018-04-22 12:15:42	667ebe8aadc90d845173f10d10f31180:yBZpeeSFTeo8LyeUR4pYPCXo0n7UW7mi	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	49.217.168.105
2018-04-22 12:16:39	7e885af3b09397a6ec06acd314ab8eb7:ood8yeyc3LIlqwvPxCLWrsxlwvAtsfwk	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興豐熊讚親子主題公園改造計畫	,;	39.10.64.221
