2018-04-25 08:18:14	1189d4bf03d93027067202ba6c89acfd:XE8NrCylNmn8Tb6bFx3s7FoyMdquFMoo	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	27.246.9.134
2018-04-25 08:26:17	6023c7b0e7e64fb23530864dd873a598:SOfxig2MwMOWF6MK4iBcfq4AO9reqWCz	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	36.225.35.41
2018-04-25 08:26:57	5acdbda2bfcc9ec7ced54cfd0cb763de:WYskMmBk3Z2Me4tB3YtYgbDEYPqfUQVd	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	219.87.144.107
2018-04-25 08:30:17	6ae82414cf539cd8d431d91bd4a7a739:BpF87uVrPj8g4jtqygYTOdfLSvSyrE7d	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-25 08:31:20	933de9ec48a4407eaafa202e3b952f1d:votfpeabjeG8BGnM3eisZlnkzegcsB18	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-25 08:40:44	b6b63fdc9ede51fd14c6edb3261f9912:dyewQpGQxdihlcITfkJxBXHwRNYYaeqI	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-25 08:55:02	4d8794403509c424b13a8e6db4c233cc:Y85wN80VpEyCmVf1nIkObYONIUVPUjGN	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	42.72.164.137
2018-04-25 08:58:34	cbdd5475c264a5a2730324a19d65f5e6:gu6QGx2RBQUmVBeovBrw5V3iiIFNlV76	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-25 09:01:52	398d16cd3f26c4cc28cacc91268b4247:VCWedEXNM5bhJQM5oOZ8Rk7Vfv4jWrnQ	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-25 09:01:55	baee955651a2a0f492cc7bcb4fc3cce9:Y1F0fXpO5MTkNvEKvRH3P2Q1bWX8qlA6	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-25 09:02:01	0aa2a2c49734ae1e55a27b682f45b7eb:Cz2lL1OBHydRqkGKV33Lr3WrRNNv4fj8	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	140.109.55.223
2018-04-25 09:04:11	7bdb10afc083d4bdcdf3496dd4122fff:IiyViMil8UU9l79CWMOSZV71G3rqGDGB	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-25 09:04:58	32eef72331edb1c7df8e7d2f4b7c217e:zDohZHNrNW306gZM20ogINJKb4alKGdj	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	111.250.133.80
2018-04-25 09:10:36	a7bcc21dee98f29d28333dadc3b194fa:Mn2fU3LFRHzC0IOX9sz4ZTMSsGDMV5MS	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-25 09:11:38	4f246f76cbb7bfad63ba929344202bd7:GfWT9Plz6pmro000gWpaD2UT3p3n1xAo	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-25 09:12:28	9152a528daecaca1b823c06adae95b56:JCDLPtk4oYz9KyzJ8zr2wrhBN7JS8PMZ	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.185
2018-04-25 09:13:13	a62a78b2dc8355d7d81981b54d4796d7:5XSm6eG2M2EZyTuyZCyGMWYXc7Y9aNvR	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.33.63
2018-04-25 09:14:11	156b001c3a452a124496a17af8af4309:UL3ZjuOqoHeD7bCaSgoqrWu9fN6E6Uy7	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	110.26.105.0
2018-04-25 09:14:33	d4df93a8a462f7af693750e02e5e5ec5:oWeF0Dfh3kfqnpMZSCfAhxZ0EBSntajY	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.159
2018-04-25 09:25:24	9a32a6ec9d58aa8109362ebc260cd15d:Y5VC2UO5g4qEuLzzZjoUotBq3cvHusal	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	103.214.147.17
2018-04-25 09:25:59	64708ed5e48e8bd645f7b39332a8657d:HwT0n5bfAw5iPULfNz1hAyJzKIZXC7mL	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-25 09:27:14	a8297c962315168a1b519dbbaf10f920:6aU7pNC2LhFAAmKWpeWMCIOZafzyrb1f	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-25 09:27:19	5b0837d6250eff39d9138fefca75f6f9:AGUudF5sWyEIqyEYcYw9qVY82oXkx7wc	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-25 09:27:35	05bb09e4cc0157dad16b32a4f29d9121:6z0REE6KMz6n3AklHRC8yL7moaP5OJLO	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	103.214.147.17
2018-04-25 09:27:41	c71b1482fa69802712f5eec6a21e49fc:yvKddob3GOxIGPdmVENP4yyWWh2XM5lj	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	49.217.85.1
2018-04-25 09:27:56	08d87698cb845b029699ef8ef9f0a484:jVQewasX5CQsyOtg9pssE8cHO0Pahmwk	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-25 09:28:59	66a4afc1e8ec1762c08133f449bc5c87:W0AbhXuwKsnA5nfNCgShBq4X0ZOSVgrn	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-25 09:29:49	1cf59039213f4b27faa81e490811445b:Y9QOtHbwtJaXcb4jGnzk1iZ5kVSpNOp0	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-25 09:30:43	4bdd0d7a559408d962408821d0d350d3:8jn1BawdK03qLGgMj4QLGQAGuh5JTin9	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-25 09:31:05	d19402300471f7ddb483415e77ca2f80:jO8qpb6OdCcc6Y51G8nYe6hWbqGcjlpc	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	106.105.178.44
