2018-04-24 00:32:43	6dced9a47b7906f88fb19daa63187384:pBHNTlY2Kci59afDC23kZMkIL7911aNU	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 00:33:43	ff1ec8e2216b4c599a1fbcde2af1fd86:nc4bssi78bKShqbatmnEckyxOjyhCPbb	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 00:34:06	537ec8088a81605bdeafee1192f1f64b:3CmvjKGUq769WG1NLQ6h3zH8z0VFSCwX	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-24 00:34:57	a7cc01b5f34a83bb534c071418e049a3:0DUnTYHgMoIjXN7Jgl3P5AcdhtdF5Nkp	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 00:35:16	cc7566657541ad516daaa501296a9f34:tx2uW7bQrXp4bepBO1eOOYleITu0Jgnw	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 00:35:55	d8c3dedfe389d33a03046d879c822f52:m5Fo92c8ed0vgD0foTshuCdVa8odmOeg	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 00:36:54	e91eb3e2e36217acbc8f2e18e0c3feca:62XFRUwv20j3c7PDxIF3ZQuiM6870Pnm	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 00:37:28	f0e0f9b72fd1b2ee9948b70fcba0b706:4YZl9p5asK64ugd5YhreUVCLOP49bc4P	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 00:38:03	3f3aefd7c87ec2e6495a9f89c97ceeb7:t5RXxlunkUwoKlr8sthdvRAwoUIb3xy0	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 00:38:25	ac52dbc465f3720d12b8017ad7218b75:8cqaojBOM8aoeNABbUgylZzfbbg0sEIp	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 00:39:03	23252731c2fe101367713bfedd96ac82:kVeLvJoi4PdVWPAhD3nRdeuzDmV0fH0j	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 00:40:09	423501122aeb4551ea2fc63e7278fa7f:sH5pYsoXvStzku1fSnsodLZrJTofc13W	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 00:40:11	f6b2fd6192b5b6414d6a259c24c35640:yBzH91Wn9R1FvQtrmbDd9iVgIdI1pVLs	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 00:41:12	23d3576f463c0e3eef0923c5d15a7916:KwbO7bNtMPjsTfDBpSqULab3qQB9SS2N	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 00:42:08	da76a1d512494c68d2fb18c2250227ce:p3oOal412iTygCK6arqb2DfhdIaRot6T	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 00:42:29	4817a6ed6668223d81810cf107066181:U8hPDPgei4n4eeLq8XmKX7XspQYUobuZ	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-24 00:43:01	d58e80bc13264cacbb0c005461d23844:jiMiQC3fYHCJN4H4SXYYYgAaSzCzJq53	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
