2018-04-20 08:43:46	4c0630b02988b9132ec0797ba15fd2e1:DccFwO4MvCswRYj7pRBbTjRUaC5n0Taa	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	192.83.187.193
2018-04-20 08:48:18	b13615483a8181022884a9b4abd38883:3D9eUY9ovQ415nNyTvVitnpszDeaCYRk	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-20 08:51:33	e188609e111cd6665dd738943326538c:cL1eXPxfM2WQJcDoFwDq4Bli6cvZ9BEf	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	192.83.187.70
2018-04-20 08:54:19	27419499c70544a9bd5c81fc6e410557:G0QwsBPEdkBLBLddIJlVryesBINRXR12	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	111.71.30.42
2018-04-20 08:58:05	3fffd899f264fca6e33e21780b865bf1:h5By7qzk2DLGqilVD7pYFwGTZL2HHwwl	Q1:百年觀光新店溪河道再造	,住好住滿	,;	192.83.187.160
2018-04-20 08:58:20	0861be7b9426823d8241f0ffd12b7480:mlb3ax3X1MX0Y857YfYiXdgIAiTxP2dJ	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	122.146.127.46
2018-04-20 08:58:21	5a2dfde1db9726f85ca056ebdeda8619:6FHwAtg0hg7KSDbPXKjvYxuKgOAecV7d	Q1:人化交通，樂活中正	,住好住滿	,;	192.83.187.101
2018-04-20 09:00:00	821c10f5ce1223fd5b52c0ed66e7c332:kOWtCjkQ53yyELznpxsSXTIMf755AfE1	Q1:人化交通，樂活中正	,住好住滿	,;	103.226.215.188
2018-04-20 09:01:17	3348d366ed42c05a670b0242e25f447b:9TeVSPko5cTtNwQtLRWnSewLIhOMYCBp	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.9.144
2018-04-20 09:01:44	ad104e399ec318819542d6c4ef39a7f9:i9Jgd8ZyC7xAlhYvV9D08gcjeQLlfns1	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	103.226.215.188
2018-04-20 09:02:08	d310e5b3b0c799b165468fb9d7e758c6:l5HMsF80y3wSVWeOUoR5bSdoVDnhIuQU	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	192.83.187.102
2018-04-20 09:03:04	b6df5319cfdec6e33072bab9535507e0:KQLe89TVkUjIEg16H1goZQZubfqHcx2e	Q1:百年觀光新店溪河道再造	,住好住滿	,;	163.29.38.153
2018-04-20 09:03:05	b52fba5c8acc92170bc97514f52cb138:CMq9mmdimQ7uzU7vugNiutfaNPCa7jw5	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	192.83.187.101
2018-04-20 09:03:41	844740c8724eacc7b18c100128de1b1e:OohrYdcMxBjgyow65lbiieiPPiRN30ow	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	111.71.30.42
2018-04-20 09:04:36	3e4f0dbce0423b2624ec886299b87628:KcZ37xk4qSkUQ7z7mJhYXFDphB7rg0PI	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	111.71.30.42
2018-04-20 09:05:40	e93205f2ed3fa43b0f4329de4961e316:h47guHAVdGZmSqpKDJOjWhEYY7obFoLb	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	111.71.30.42
