2018-04-24 10:05:59	56340eb45a26210177b4817168695d68:mdEMQ07e8KyOh3tQK92vYoCxzplm7enI	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.117.78
2018-04-24 10:06:43	759cb32c6c21a44db0dc1e6aaf625dfd:0L1GyXbWFIgQ2d6doABo1HutVIh0VxWW	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.117.78
2018-04-24 10:07:46	1d55880b425158d50d6129cc0d3a3a65:0mH3Kg56wQaan26Uxz26VHyw9VVLJICV	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.117.78
2018-04-24 10:07:56	f34a6ab84951981d1cc3f80fe2ff76c0:2MRep0xLxSSAGQ7Slmm4ejNiNHyoChXQ	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.117.78
2018-04-24 10:08:45	1dfb04d69bfe7364c48791e7f55b3709:aLgVGrNKso2NvRa0JhktSwsFxLvKM9Rd	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.117.78
2018-04-24 10:25:19	250f8f8755b2520fcdc44eb7c109c9d2:ztNw90jKQyaKumF739KZjd7IO00yCUiG	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	106.105.178.41
2018-04-24 10:44:05	c968ebd13cc59c06249d22b32f924988:AoIHVikcjK5mWVGrtLDwUdXcreRvCxdx	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	1.167.48.160
2018-04-24 11:13:46	421e788ec87ce9ec9334378895aa1ce0:EvKrxzOwGBK4mNTOEbzU8t072YWVYXCz	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.75
2018-04-24 11:15:03	7d5618d33a8d39816cf28a33c5249bf2:YSnd4qjPByR9vRQwKrZ7vDvpsbFDKVfe	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.117.78
2018-04-24 11:15:16	6859dca7ac95d60e6dbd91c0703fb049:MJPGXScDK5JFZF1q60nf44wcd7DTUMvF	Q1:唭哩岸打石文化,;	150.116.215.5
2018-04-24 11:16:15	4540382013e99d689f5dcef7894b4312:0cEm0RRwBERfD9SZKX30nvFxsmjMbUbR	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.75
2018-04-24 11:17:13	23a8ed431295711ba9d052a2950cc539:kMKAHz9NMTvuZ1E8wt8S1kdg2lzSJqKO	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.75
2018-04-24 11:18:07	3fe5e4d34e4bfda7b65387a43b53adc6:ZzcKriz3tBAG5LjMqNWY7nFMIKr9z3tH	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.75
2018-04-24 11:18:09	fc554b4a7f4d60bf65d5779e0cf41c2d:CaPLzJkkUC40ji4JiIltzTO9B7OeEz5q	Q1:北投區環境資訊2.0	,;	117.19.3.140
2018-04-24 11:18:56	49470b26c86d401e2f051070352e593a:MX1kGXuWW27i7gKrSXP16pmZ09lKSV9a	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.75
2018-04-24 11:20:11	dc527d7de5b008e5d06a0448eb60721d:MDf4aB4zCXXpQBEYxPPD7pfoblbygOjI	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.75
2018-04-24 11:21:00	1cdc15c0725ad12c0701c9610283f31c:OpnIoK79NBLLAouEkF6hn1NE2o2ylX1a	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.75
2018-04-24 11:21:52	b918613a3007f6cb90e4d11369070c2e:YPhyZfk4bVuPfeFGkxHZPPtHWJyEWXNE	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.75
2018-04-24 11:22:38	26161744b6e943b1b7765659abeff599:LJj3wwplylRQqgB2hV6wTgIKTzr9YgkX	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.75
2018-04-24 11:23:21	dc11a2e9a60103d14aa4f00e7f46de5b:0OUAJwkpZRd0RiIDj8cwKBSwrCzKp2Ae	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.75
2018-04-24 11:24:13	e36fd2bba380ab0bc8bb879cb15ed6fe:BDZJfnjnpUhQOD8zwIh6Ptqw0HiOtfFw	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.75
2018-04-24 11:25:04	3f4e63097b6b7259a7e545c9f799a0fb:PmIMOougak3axjQ2oq4ajXBgU7u4OYK4	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.75
2018-04-24 11:26:05	b5bd7229897c3169ab8da91baa1be44f:DJ76UOpys7VPmV0SAysY2dmn7lxLeRju	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.75
2018-04-24 11:27:09	a4c3d1cc01eadcadeba69b4a86436d6b:MoU1L3js4p3l83Jk6atwnuQb6gGwhsGY	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.75
2018-04-24 11:34:31	02776ce6855d02df319a5cc83e3dcd4c:PGqtgTwjobITn3oC6c2y3f9udF1jrtJ0	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.75
