2018-04-25 00:49:07	dedbe5366eb01cbfed250d248aee733d:9JVYTS4BLBTWVORXO8mNW2nuYh6IElS3	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.13.203.151
2018-04-25 01:26:16	33cabee264aed490b143c5d60cefbfe9:LzkQAT0f0xgznD9hVqNN9cXcsjeHAWuQ	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	101.10.67.142
2018-04-25 02:14:29	327df254eff9d4b188faf7555941bc8f:DXlzD1nLEOJp06QZ7eHqES2pyg8LHc7W	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	42.72.205.252
2018-04-25 07:37:04	8abb840e3faa5c91ac47ba3c36ad82aa:58a1ODyJSfJvMSjePuJZbcS3VICQnPKT	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	211.21.2.223
2018-04-25 08:17:02	4828da83bc2d9fb9b25eb57a42f7a154:G6egQioeyaCoNUGnq3FJCFsIBDsTw2ty	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	223.140.139.180
2018-04-25 08:17:26	b6b3774999fa0b7c7e306b36315b7d8f:IRw8soBkWMLBPCt7qZj2nBRKC4GBkREF	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	27.246.231.179
2018-04-25 08:28:12	a4bf56fd0246a8b32baf6bf03122214e:hOHgzvyumtnS4aTZB5deGAUgfGQXBgWJ	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.139.177.147
2018-04-25 08:40:31	6afe4f4b2218b51aba5865cf46c8cf4b:7t382s980uAzkWccpZwhqfxMLq4eS32D	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	223.137.209.199
2018-04-25 08:58:15	5920c8983c60548d521f5625f9502be7:CiiOu4dQKJYQoIbuYUXsjlZQDY1paZ2M	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	111.184.23.65
2018-04-25 09:01:34	2a3dab7752cfffc83347207926d8bf05:3QZKPqqP8G7Zyw6L1sMCPtLalXeZrwvf	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.8.136.130
2018-04-25 09:02:25	d5ed911008746221525fe2fc91c43ef3:IdC37hr2BBXBS8l5eN2bOpjciBoVvslp	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	39.8.138.81
2018-04-25 09:03:10	767bdb5536542441e3cc3be80ba64b36:cgZwYKGzE5M7kojs238iR38mTufWazHk	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	103.226.215.165
2018-04-25 09:10:51	5a8c4074dd019cc7de19c6060be2480c:STZf0wtVoiaM5QUQiZN3M4HOCfImqtjL	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	223.136.215.144
2018-04-25 09:18:18	5c0e0de632a5e62ec68d8a3372e31754:Gm7a1lgcaG2TmHwwwF8q0x4nHLh264yV	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	211.75.179.117
2018-04-25 09:26:44	3b90e0077ba2f1d4648bb8364587ad2f:xxuhGlXP6KFXQAEDfj3egJF40qjM4U0H	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.12.215.176
2018-04-25 09:31:52	a0884f8f2f414ce8cf75cf6dd7ad4753:L25703DGHxogcn8c42Quikc4QGwcXOeh	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.12.215.176
2018-04-25 09:35:36	b8ee4527bb8134000273121c9cdac4ff:Fh0xFMYybrn4tmbuhSvNixs4ibHYddCE	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	114.25.65.79
2018-04-25 09:37:24	00c12c64bd64221d87b365b697add90c:snKP9ZuZvQOTQu21byo6ECj0pcJesPPb	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.12.215.176
