2018-04-30 09:22:35	9ffefaca8d21db03e14a21eab4bd1d57:daM9ZqXrz6KKrgWcT9KvZK1HYEOBxzOR	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	103.31.196.193
2018-04-30 09:23:20	17a1ed6dfe396ceab8d4bde7d17aa602:xT7buBmvAteFXnlO9VhOkU5O8ddxyIfK	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 09:23:34	f9ea6265b8eac7bf14bb079ee7bda5b6:0lsh4qvLsCoA53JMdSz6NQx0DjGBtE8N	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	60.251.43.205
2018-04-30 09:24:03	8809faafa736c6ef457b8a1f6a5d03e9:WrXZWRPRbEfj2YvIy5D7zaY3qEyDDw7d	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 09:24:50	4d465412f04aeca597810fc18f771ba3:aq3XKxHisy7WwudSoAHdJ2S7abjGGoqd	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	101.138.162.53
2018-04-30 09:25:10	f9825b1750c6c1517b3990bb1af1d59e:DrLzYBovnvgycdQHaKc7Li56hIHhyxCx	Q1:北投區環境資訊2.0	,;	60.251.43.205
2018-04-30 09:25:27	0393bb32f9839bbd311051328ce020be:koHmfFjkBzgK4d0CEM9RpjH5WAA46doj	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 09:26:12	20df9c61f15678fa312cabbf6eca08af:nVQQHqa3tdHtyO5sdotGyABnjVykUeyg	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	103.31.196.193
2018-04-30 09:26:26	fa953c8a8721cad43c842ef3c36483b0:8dfSmwnASp9KnWALlj0XkvmCGVSuekko	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	101.138.162.53
2018-04-30 09:26:41	f1f3a103774cb54eb19820eadbead9b3:TXf9m4f0tyFvn8aMkTotbeaHeaehWm6i	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	60.251.43.205
2018-04-30 09:28:11	2a087badef3ee46cb3c86fbde9703265:lhDfDTONTnLNORgQvlHrDNsAYth7UUCS	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	60.251.43.205
2018-04-30 09:28:36	6a8bf9b8177dd3161d050ec6d8450fc6:GJMZcKBEmgMO4n7iveFTDzeQjGVAGX36	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 09:29:03	c9bbaa2c70a6065a3a4a1bb273fac2b1:0U4FzqxQEHRHzj4vpu80fJ2GuHPG3tsm	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	101.138.162.53
2018-04-30 09:29:24	d7aa5ecd3229e826160d530821f2973c:ziWqg0KaVQgsAsyfb8cSPBoTThgIYmJ3	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	103.31.196.193
2018-04-30 09:29:32	bbdf9b6f57fe2a82cdcce90950732d54:Gc34bgLTpTQDcOHrvfyOZtpbDXKEQtPe	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	60.251.43.205
2018-04-30 09:29:36	78b95b840481ebabc6ce2998b2e33328:jjJp6KGTRrZG8CIARGzU1jaSZZEqGsyb	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 09:30:03	6205a92f6583f52a1a236ce425f9c63c:9FQBmlnaDNxCm1cXYByOODDJyD286gfR	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 09:30:36	e802da90cbc8cdc3ce557c3673118ec2:4gWoe3p395K2Z91hApnk6s7alfy33ihx	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 09:31:01	f42150b190c396388a361f354bf2dc33:Ots6QuUZv5iYsXT9dKXGWVJmNNk4VkHJ	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	60.251.43.205
2018-04-30 09:31:03	39e616bacb19d77f96bf6ab17cc4e0d6:oTm0BkXUfn7y57kGKJ4BbdtoElnMhf26	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 09:32:06	e27b25223601192b8b91c097e47de567:R9xboaN0Oy8QwOcvBQqILJUXnlcicytZ	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	103.31.196.193
2018-04-30 09:33:02	a9ae513201baef6fed9c6ebeba829380:4fjSB3ePqOextQ37YPoI8oWKIItFWmFW	Q1:唭哩岸打石文化,;	60.251.43.205
2018-04-30 09:33:59	950ec00d9404dbd453e33b6230aecfed:cC2n7Ls7jhahgMJCLDTPa4lQEoyyt4al	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 09:34:22	5cdf5873868e7afaf210e87e6c955f92:JYRgbXLL3FenmQV6ybK3dVC3bWb6dfjC	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 09:34:41	a3b251bdae37598a20123507513489ea:9LN2QcHXcVaT6qBL2fuacAFaZYw8A9iJ	Q1:北投區環境資訊2.0	,;	60.251.43.205
2018-04-30 09:34:46	ec0d59106524dbd94f7f6e42599707ff:aFNpvCQ5GZXRR4owcTfAfRo7MEeiVAI5	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-30 09:34:52	5052566dd30a0c31d291378681d587c6:cvmSTVRQ7oTspCxxnLrPaTeOr2ktoVZU	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	103.31.196.193
2018-04-30 09:35:10	7ea7d91877305f746c0d5217344b4188:hIRWaAlAlWO0MypAqlZ1jx7JDHorHaYB	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
