2018-04-19 00:20:47	5baec786eecfb74b038d1b42aec7fe26:IkammRStlvySYglR00JZGf66RIJGbVUf	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:22:15	c3cc63bf0815682e13727fbc0bc7f018:LeU3HIEtGTtomFTWSybleMXPYs2mHb8f	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:23:17	b021b33b5dac3dbec91cf028a6773872:SYHR9gwbYnxg0YNaipQpz8bNF5lLyNRP	Q1:呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	114.36.250.56
2018-04-19 00:23:46	1b8c39063bcb5a7c0c66c44f5a6ec6a5:MmJWS9KvsJ6T6FOQTDfmilOqBBCN2OEc	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:25:27	1f5d867bb9e2ef339c6b1ea3a1ceed08:vaq7wycs38jPdaa0VZLnXKmMxQ51CqXC	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:27:16	0c0425cc4a9ceea8ce08df92b03a12b3:SYMGWOBozGYn1z6D6OhhappwChbszvOe	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:28:45	824c05499c0cee691d96b306826e6963:LW2Z2GEsffYYE0oI6OxaMLqufdqWnNKn	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:29:07	0ae4476b85b4046da7b250ca934138ea:9LNRTyq1BtU9tES9ovkgzWXE4LFzFMce	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	1.161.235.92
2018-04-19 00:30:12	c8dc404f9f5217467ee71a61e7380957:KJ0Sxf9dswZpTFcIEDO9T13POkvk12E2	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:31:23	2bd322cabbe8f78bd4e7381d6b40997e:Lv5L5NX1wrigyxaGrPDfnt1cdjTv68yO	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	36.226.9.25
2018-04-19 00:31:59	3656e4716820ff10772e06baf3e13863:f6m9u04TV05PyFEE93gHYKGmq6DxVVie	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:33:44	0b92be816cf599c38e3d8ac16d41654c:hOQLnL4sMhFY2bZ5ouFXVsfuNGD5g5AD	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:35:00	765e8e6be85955735cc7037668edadff:dpwvdALzRToRZsp6QdAWC07d39ZPtOnO	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:35:45	ba43af5a219b2386e75f69933a419afb:2VPz5jeiFeNlv3Obcjibkj0Z9J2jx67x	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,興豐熊讚親子主題公園改造計畫	,;	220.134.112.17
2018-04-19 00:35:54	bce8f528eb6cd409f63ac0bf72cb95d8:BgXRJtKZx9gRyviG1jBgd2hyzRWhWYK9	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,;	118.161.25.67
2018-04-19 00:36:23	e497250b1f0b6f8a85279c2c03c1c665:FHivlDOruJoso1V4REoloYMY24iIEMAj	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:37:48	58c4af7ae05022ce06672d3b4fcaeb7c:YTLGCwoAOFjsAADSzDdT8MQHAbFUgj4i	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
2018-04-19 00:38:47	ff65c3dd62417958ac32ee9562ee1461:V2Vcel8P5Squd17folkcttffHGqh4Hty	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.96.250
