2018-04-19 08:56:24	139c1d0232d79006d4300aba4e1123c2:ERzypyk7RtfejsegXbtQY9YbLJkklHBF	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	223.140.209.188
2018-04-19 09:00:00	74c0adf03120de371afbc13a5965edd3:IFUlohO0WtSx3KmW84R3DwH48RNIytje	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-19 09:01:43	9268c6797b7bd9a821ef935ac006f036:T7vgojoIhXbqHYUrfOINKAfZ8iGsvCSn	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 09:03:02	1b44bc726d460a9c1bd9443c717a7b53:IQpJAvCjMWczriErtuwI3VKMkoUElq3J	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 09:08:28	90953b9df0010d55b04f3973ab6aa950:EZrM150RedLfmFkKYgrHNdWZ2Xc23Jx8	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 09:09:06	118e3e9f78032aca927feefc209b314a:1fYVlPl4Bug4Xz7CWmLfZHMvgR6jDgJL	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	42.72.174.223
2018-04-19 09:10:22	030d7188013fbb77719a94b0a51b760b:fDSqyX9a4tLCqNhi1bop7UUXnbKmZYrS	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 09:11:28	b6e2df88c2b65e626d31cef463c024c7:js4GX1pAVjRJD2DFi8yrhkqdxeboQlWW	Q1:人化交通，樂活中正	,住好住滿	,;	114.136.86.51
2018-04-19 09:11:34	8b3d09c03f8134687d6070127855e271:Qn8zJYSAoosgRNNKJ9OCPPxeP2WeVSza	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 09:14:49	1a429f8396ad5eff39a87242d146ed55:goQ52ecqlfewioggSnwTLKGjHk1ictee	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 09:15:17	d1ea1fbeb42f17be60f89432a30b6559:uu5TtK4E5BIdsWYTWAD7oo8nmZ1wsLVN	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.177
2018-04-19 09:15:49	714a4f29d041409a4739648725d2576a:xvmrvLJKQoUh6LrZBv22C7l3ZnKEbcVn	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	103.226.215.186
2018-04-19 09:16:40	a45d59fe73e6b74a0e6dc447c58f4f73:ImQ1kPxRr8mJHpphD2c0QdWgcqPQR625	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 09:20:18	a1139b12e770f50bb8811626b0e277ea:97jsvRmgNhq9dlNhIrLMmfLgHeofpNoo	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-19 09:21:49	4ff314ce1f3b398c23daee48ed1b6a18:iBMRXs8vxgNXAXM665MbgCWDrwqkslWd	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 09:22:24	473854ec0587daf2660a8a0b1240b684:FHWlu8zH8fgddbffXTjainLntGo4muY0	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-19 09:23:21	af22fbafefcae8acd689f7b1e6b56e0b:iiIZ6xhkCC5QvMJjB4By4Zby6UyA7Dyn	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 09:24:14	89aceec361f2fb920464d29f69f24df4:QpRTh2GhWafPSxJAYV7wNkGUgSpalRwZ	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-19 09:24:28	72e1eaff3b417b9d1399b4f80e65330c:Wvq1jkfR8f2gjhq5Ufx5468ZQrwttL3k	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 09:25:40	2dbf35371c39613feea00b87271607a4:PZC6ACVsC3amGS2j9bu8Q2NUvt1ZwMkJ	Q1:人化交通，樂活中正	,住好住滿	,;	114.136.86.51
2018-04-19 09:25:43	3d14b7ffe526a82a58d25d3aee68cd5f:wRUYP3KL76fDH9A9MD577TpYjmWt2kDq	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 09:26:53	1d739403416ea5902182da7cecabaab3:hm5SCJR1bXvZnXADTlCOFg3D1oCIhwLo	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 09:26:59	19e45fb2dbe3958503ca8bc882d5787b:7p2xcV0t0wtFu8TLJCya9JywegCV6PJ2	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.9.94
2018-04-19 09:28:11	779153150343c7d22eb9a115a50c5ac8:qhlvlPvOgf7PmXLQKv31GjvEBjo6MXiG	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 09:29:39	1f9bda5c6cb654cb16243531e70e253a:tvGIjppX4p2HoK4Vt85YiLEabcDx25eT	Q1:百年觀光新店溪河道再造	,住好住滿	,;	103.226.215.191
2018-04-19 09:30:29	a0b694504fe20cae77d2ec95c1ff1e47:B5mIQ9ETyXzz0vEJiZeOn6yXu8cyljqx	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	10.35.15.10
