2018-04-26 09:24:16	7b22730f3f6b27f4f4dcb911db1f9747:KsP7RiunmqK6jHCV27vBOoVrT1K8vDnC	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-26 09:24:32	24f347d8da3984c95a435edab40f183e:W0g7BPdkNZbTjqNVNvpWptd2xU4o9u0s	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	106.105.178.42
2018-04-26 09:29:10	0dc60850eeffae6f7ed62e50822178d0:sQIVxigr3RHb2cXFr7o3SZnboaxAWbzt	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,;	172.28.32.5
2018-04-26 09:31:27	44c8107a54021d4f4728c445207f0323:43P7mlGQSjfKFjMhqguytslusVR5l9h0	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	114.136.24.114
2018-04-26 09:35:04	1fb82f40f7cedba5ead16a9910797c04:4AMvukTtjWkTdQ8PauiEADeMnYgZ7yvY	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-26 09:36:01	f354449e1eb61bc6538c2b36f048ba12:uVSIhDRj78SddQRQIMzdmoP3ROjcTDm3	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-26 09:36:57	8d24c7410cd1c0ac016496ccae62c584:8FvZAfsuoAXWbwKrgnrhhmod34eXixOr	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-26 09:40:26	ee28c45fa0abca000d76c277e4f572ee:532IHp2HN03AtMdFLd9moOUch7nIYeOW	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-26 09:41:32	3bf26a4ff1a035f44481aa39c19accb2:LCnOZ9nuQe1BJzMwyymzC7OMpoqq2acn	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-26 09:42:19	48766f0dc827813881f07e674a5dd279:yH67dzywvfuuRConrikXcmcUzDu7n3WL	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.5
2018-04-26 09:43:55	ec6c12c2b9fc74bdd6f08cefcf064346:cuPQ3PpSRn8RsRkRM6YVCId6uIWs28G6	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,;	172.18.90.64
2018-04-26 09:44:47	4e17bcdb4fd3e3f9760ce19c0562bbdf:XFI8OetnwCLozq6oLS1BpUpoH901WgXY	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-26 09:46:16	2ffc6d2a60e6391892dc5126e5c52bf3:JNNQMeZq4A4tExJZdvQrZDWp9XpZSZr6	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.5
