2018-04-24 09:12:21	89793daaa5ce9e0c29e1ce344c4b7ab9:VLUu8UuEGUqrQqsxb87uYrFwzcNKp3Fl	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-24 09:13:46	5404f4969be6b4022cc5755c49992ef0:CNzVWiqvFalp18W5xPtFBd2Xf9HaSgQE	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	210.71.60.191
2018-04-24 09:14:09	6896f7ba7f1b3b02e775b17b3e88e52f:3tcejd4FhBJsXnf0buGX0Gvmtu6dwg78	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-24 09:14:51	b94501a6190d3fea9add357b1f0f677a:Ye1ldsyygU7sV4SdfhjWxM4c02i7Egbq	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	210.71.60.191
2018-04-24 09:16:05	ec75d72374452bd9621cd76a0fb1a62e:eeZxhfO6UQDFQTkvAQMWRdZHYiJ8BZc5	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-24 09:16:31	b95d133da8330d9ada4e57f7d429bf64:GUOz8iYtAPLOAjibGzfd2qjAKlwNWNSG	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-24 09:17:11	c9d0d79a976976e356149be1d06beace:5HqgQ9gQUNxsfT40Z52TllCYpSBsiHhL	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-24 09:18:16	beefd479fbd06168741e1ba9b6df36fc:nWaR5HFVQtQuS9mxdpDxmL2pyr08CUel	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-24 09:18:47	e0d8433f1d46475ff7ff2b22edef90f3:Ff8JFcemSVIbTyT0ja97SAO5GfznFIO4	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-24 09:21:26	89ee0f74e0f5b05ee2a4fbc14091f418:qpwwsMlmGpcuvwnLHPHr9GJ112R7RtAD	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-24 09:21:32	df8d4d34249d012bd01c11fb6bbde19e:2CuSXXgk4KKPqFLeb4wwqU2siWWvxIFL	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	180.217.106.83
2018-04-24 09:22:12	90d4895c09061f8399749a7f0a756230:P416hh0twh29rGBK0JGLGq2816kpyyxy	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-24 09:25:30	fdd03a4b1a45a06bd577aefe1b4030f8:mpQWdVl357Ij46UoIc2ZeHRQVrhNSAKQ	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
