2018-04-23 09:13:52	f622369e1ffcc6ab65c77275173e5e36:c1LXqXzjCWlIYwat22h2nkt7oDQKerzD	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 09:14:33	6a050855195b5ffbe6e30634168b13e5:kjwHOIibA6IFaCFQu5zrExXoudWQznQE	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.164.230
2018-04-23 09:17:29	eb2a9473b470a713f31bc8289a20ac2e:uqWEYkKSZ6LRn07vdthYtv0rUENqFRXL	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 09:19:53	c2c21a75d05f8b4a65e26d2c81da4d09:YKk52GRYb9wRXQqkfevq1NbAnH1FNthT	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 09:19:58	5b020daa3cf3901b33963c5a25665962:TZPV9SDeoY5KgzNGvaUreCoefKEYbsmp	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.169
2018-04-23 09:21:32	1e9174f032f88dd832babf78a95db5db:HHDWhc5lsdD55YvvRIjlP7ylezz4LzLY	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.31.35.162
2018-04-23 09:22:03	8b6c19af9b3cb66191cc6798c344e269:IZBC8iehloS9PQDmn2HUVjiFv77gdASZ	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	180.217.183.49
2018-04-23 09:22:26	6b9e8b648ebb15e8d2b750a3b61ce11d:zehYovA3PzreNfTfUyziP5J3MCW6o2hb	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 09:22:31	97f3a1b8c2c57adc336bbd5f1f3870d5:OjRLpzwDDEycmnu8POjxYFNeVHDtKXe7	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	180.217.183.49
2018-04-23 09:23:44	6d843ce925ecc6ed2332b12531f71ffe:1ImXUMoeJYvLRh3UxFgEsJoW3cbkqx15	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	180.217.183.49
2018-04-23 09:24:45	b2c121fdc3f8375865f10577007ad194:jurJrTb13wRivpfJDqOjjWfTRCE2X1Ps	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 09:26:51	f3ca84bf93431abbfc73852b911ba692:lvQaJaxASBrizBOcTVsKlwvbxb0AnZGn	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	103.31.196.193
2018-04-23 09:29:25	90ea239f904ccc54dfed3ff52d784c2a:Y3vgbpadevwHh4iJUYNjVpbon69kvRTw	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 09:30:51	3d71f1d62bca3f602a9e4d15ade62685:zOWEeWwBkQQYfutJrJXRO99StSyXlCYw	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 09:31:56	06410bf9dfdd7f0102dd85a96c8224ca:V9IXExdUwBpDJhenFA78nvNwUPmqKvcQ	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	180.217.183.49
2018-04-23 09:35:16	1027d77a5c6ad77fc94fb5f19e8864a5:mmGeSbsOlZD7XB8lZ8NboCVN52A8eWur	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
