2017-07-08 10:06:17	edd39c5427670ec464e72738fca82dd5:4XcTU8pBuil3giwRvWLDyh6gUJlQDkli	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:07:15	db9afa5a399ee4cc2b1840fee714d65f:osWviAtOk6RgNYahOtlmP24Oi6NMPcov	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:08:08	b0e64ce0dfd8299b2c15b66a20d6c1ab:kLTUVV4ioczX286LDqsifaEaa2jVu0SV	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:08:57	7232cd895982990e3f4cb3f026ff8455:gPc3pUfyhQVLt6wC0k8HJrrXdFS7rHGM	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:10:06	43fc183421be045add51015bf28aad7a:mn7VBMr7rNiwytgSY6LQgnqzchli8ROo	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:11:06	623adae7d0a3addfb9af0f5f9c738b79:NRHp35DYw8wH0xJCrHTdIU5bTKNjkXt5	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:12:02	beafcfdc79e7286873c84046fbdddae1:4GcyXygIhX1otkOydHzrfRLMdLuAnVaV	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:12:52	6a5dab3b916d60a55d00378d7bc4d263:639apJ2KVtczpbC9ZPx1QKYKrCwiHoDH	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:13:54	9eaa3d1803d6c3f311b88e95f4764c5f:E5ccc9s98wNDkbuo8khGCzqswQJl8OiU	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:15:04	0abe8f909ec99d70541f421f3678b47d:lvWA4RG7vO5cJqNG6kHXSrOLo5N9jFYT	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
