2017-07-04 08:29:23	a3d1f166efd0b59e9fde67c1cd4782be:PRiQmoxih70Rq6tTkqHISbwqONYiddCS	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	172.29.8.206
2017-07-04 08:30:15	8d8cab94f1235b536dd77f5903c5916b:opnPllEgrral5EJBxSZo73gMu4HXtIZ0	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	172.29.8.206
2017-07-04 08:31:19	b297d2a2799e8a670188cfcdaca73d38:4wU6G1kKNqtPV0IZfZMvbvffuRemAOsa	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,騎鐵馬遊中正,;	172.29.8.206
2017-07-04 08:32:19	e793035d705607ce929d2ce166696deb:X6OxeYIBnhnRr9k2L5eXWRqYdQ2uakYy	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	172.29.8.206
2017-07-04 08:33:18	f8e3bcccb6ea09661c4254cf595495b9:4YUKA7KRhk3QkX5EcZIX8tMKuK03esoL	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,;	172.29.8.206
2017-07-04 08:33:49	e2125a49ab4ec2c424c08c70bc277108:yoBjfMIxWN1JvufQWnHmC7h4jfjrrK31	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	172.29.8.206
2017-07-04 08:35:19	0d2bdb982ffc125c148841a4461ecca5:hwB1tLyCozbwKswojXIJ9KlPTrzPz3ax	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	172.29.8.206
2017-07-04 08:36:16	4b35a066901c05818b5e03b92a9ddb04:ciDbhqdaRJahjO283BWJ7m9qAxFVD0nf	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	172.29.8.206
2017-07-04 08:36:48	2623623d1d3fb8a560cb6be639f235cc:fkwnJM1WDptnwLjaEwsTyXPbJQjTsB7c	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	172.29.8.206
2017-07-04 08:37:38	0bd2477928329d99c7ad00294bbe985c:AfPy45cjcyMayvVAcZm1LIpLDPWOm4Gy	Q1:展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.206
2017-07-04 08:38:01	38721540f3b1b14afe3aac661a49b983:xnUC8FLO51YVc42M0qmYijQfpONffBYp	Q1:公館藝文特區,老人幼兒照護,交通觀光不光光-軟硬兼施卡夕在,;	49.217.66.88
2017-07-04 08:40:16	86227b714e0efdc503c48f81e2a9b98f:xaDARbxwrPBHATXGBNkxkxc5NlYIXhqL	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	172.29.8.206
2017-07-04 08:40:39	735fe28447a99f0dcd4bf165867f8e2f:4fUQ19y37jllJ8YPYd5PW6kf55NiTWWg	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,;	172.29.8.206
2017-07-04 08:41:12	f5b7c8581a151ecf1171a3ceff903673:4U98keNbetMqyk9OOB0dHRAcHZOc0KBJ	Q1:展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,;	172.29.8.206
2017-07-04 08:42:14	9d9270330bdba642135de6f71b7bc8d8:Uo4SggY8hqMmL1AUWAmhk46nFrie4Cnc	Q1:公館藝文特區,老人幼兒照護,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.206
2017-07-04 08:43:00	156f3397cfe0a1b392db6e999576e270:Fog6bDwRk4Cb089lHKbpVIPJxL0www5H	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,;	172.29.8.206
2017-07-04 08:43:30	6c363f61b340e6dd12ffe2fd4d06d6b7:HSg0Kg1aWPuvvf8TNYJ9BGG5kXV6fmrS	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,;	172.29.8.206
2017-07-04 08:44:41	3220f9e433f4567f7890a2ada9185dac:MHjf0hzVsyqVWBwJIn4pcuXlIldPjwd5	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	172.29.8.206
2017-07-04 08:45:08	53ae7293787789122e71ba8f4ce2ece2:H21cxjKpNJ7i4fMKX2QuuseaafRT8Etv	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,;	172.29.8.206
2017-07-04 08:45:45	1ef8cd4c6eebc52a29470f1314ccf8aa:ZCB0e20N0nyAlNN4S58bfr9c4zzZMfv6	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	172.29.8.206
2017-07-04 08:47:24	92244319cd7e9f65276af641479f420c:lefZMKQKHfJ6iYDtc1pqWjAELvIJ8wGY	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,;	172.29.8.206
2017-07-04 08:48:13	30f633647d13ca426365152a169a7f04:YJmD1pkvjfwVARYRlU8RCy85aF3lVxUV	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,;	172.29.8.206
2017-07-04 08:48:38	64f4e231ffddcf2d01de7dc1d39cb181:wFcINgATaSOCqMPQk9lctXr6a1hRTuCI	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,;	172.29.8.206
2017-07-04 08:48:44	f59ed60279b3468f5792731a2fa48d93:HcoNwEgN92RC1Y1eKrEbg4TXEHCqJtXw	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,騎鐵馬遊中正,;	172.29.9.142
2017-07-04 08:49:24	d8906fbdc5170ded6f33687fc6016ab9:qB0bgIDkhnuE2O6R9E48bCec7jUUGKwR	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,;	172.29.8.206
2017-07-04 08:49:55	e8b7cb38438273b89dd6f820533c4590:ANh6tzZEC48ewdGifmWa1SXduD3hDj3E	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,;	172.29.8.206
2017-07-04 08:50:30	ddd98baaebccfebd1c04847e692b6c8c:A4ueUTHJcA4sy5yDy2r0XNHiy1bFHtFZ	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	172.29.8.206
2017-07-04 08:50:58	b389eb2a26d9c9a96e0d7683fd51b774:zFQ5aQK1xYuq5ddneRKXHd3DqtNUp0bl	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,;	172.29.8.206
2017-07-04 08:51:32	175470d186834cbce4f450d358b908b0:hz0sVp3jkf26GUgNtoKLH9G50JZJgQlv	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	172.29.8.206
2017-07-04 08:52:01	f335d439395d8de4661ac8d7ab0dbbc0:unAWLQ65gjHWhVmRKqPLrpVYbBbDDCdw	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	172.29.8.206
2017-07-04 08:53:28	2a2095ba2f364daf12f392726450eb60:AtbZoE6BoxDGlGHYuCpwDUI20NgKfPlX	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,;	172.29.8.206
2017-07-04 08:54:23	718fb47c3d8d325e8a562f3649d8add8:Rk7MEOb3YEDopNPSYVX5baG32zIyKOcN	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,;	172.29.8.206
2017-07-04 09:05:40	dc894fa6ea96e629a6b319cb927d7ec4:XvSqkkOoF8CkqEDFSLW8VLZFiu3azjNg	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	61.226.222.65
2017-07-04 09:09:21	81c3380a8231280ed7ff06eee1892c20:lNL9TmQFlR0Xfor5om8EcW2TA0sw0BNQ	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	118.167.163.108
