2017-07-07 10:37:21	6a1815fa5f7fb0ca4766cd36c474cbfb:pnEuznD0RR7sNTfwGdn23dz21fpHULKh	Q1:信義區方便計畫,信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,;	1.162.82.53
2017-07-07 10:37:30	e5eb684c25aecd70ad2efb77d875ab02:sZqrxh2Mn29Tur1n1KUW25y1MZNFffLg	Q1:信義區方便計畫,信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,;	211.79.136.2
2017-07-07 10:38:18	5379b83f1528936b14f4581facedc8cd:jQFYwGN0S4bWXWdY8OnPThAbSrdgHSgc	Q1:信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,;	10.254.248.195
2017-07-07 10:40:45	d0dff2067622f9d57eef312837272187:z2o6tWwBKicBAxdXnO54SBNQcbt5Gpl0	Q1:信義區方便計畫,信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,;	211.79.136.2
2017-07-07 10:42:34	023ecd79964a820db4a63b1443003441:RIS9eJJY4TtjIVTkfwjgnCghTvXtSvf8	Q1:信義區方便計畫,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,象山好行,;	10.254.248.195
2017-07-07 10:43:47	6f03a15a8ffa0a9fee2de6c7ea836d8b:TwdSZ4rck1VlQ4O2klTNUBPQunLd3Hb3	Q1:信義區方便計畫,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,象山好行,;	172.29.121.104
2017-07-07 10:44:43	d9a3f4e8e01537550383ca8451623311:wRIWRMMCNj2mS1UcOQwQrxQnXMcRl2RP	Q1:信義區方便計畫,提倡綠能香格里拉作伙來!,東大排新綠徑,象山心入口,象山好行,;	10.254.248.195
2017-07-07 10:47:17	f7e98aec53c3273c55d769a0c9645509:EOAYMHp9lravDho79P6NkilsP6mKc6d3	Q1:信義區方便計畫,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,象山好行,;	172.29.114.73
2017-07-07 10:47:19	c470ed528f494f7758b8c53241e43d77:ShUp8f71aGRZCJXjw5ksxFjZpwxQctca	Q1:信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.120.140
2017-07-07 10:47:21	5f76a5481d4ada1d650456b0b6083c4d:PpqVfSftlJIHcI3Feji3u70NhbJ3wY0y	Q1:信義區方便計畫,東大排新綠徑,象山心入口,象山好行,;	223.137.205.125
