2018-04-23 08:53:55	dde6eb19e6ecdb05d60009c56e1a6319:nltH7AvxW2D1y9Ztqex8w6BH5PDOlTeF	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	211.79.136.2
2018-04-23 08:55:05	85dc1f72b6750a65121e71da9574922f:yGhVe26JYF4BgjkxSdiApAxTclLhpAUc	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	211.79.136.2
2018-04-23 08:55:57	70165bb9868983bd10c5c11d7b048540:7ERBpE6xrU8niEBPlz9eOK6cRYQKtUmg	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	211.79.136.2
2018-04-23 08:56:40	7f616bd8813f66ea9b64f7472dd64748:KSQfeqamrRuEcLebhhJkgfx7RkUNNXIV	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	211.79.136.2
2018-04-23 08:57:29	50904a871370d61f06d23ca7fa33ab9c:vYgOYbybc2g5u4SGHvhhVkPIRlYFttWx	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	211.79.136.2
2018-04-23 08:58:10	2198ea698ea0ba3067db95faf5f0c41d:oWCUI7pgVQDUI2oGr1FJEawxDMR2kF4d	Q1:信義之星-中興里區民活動中心	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.114.102
2018-04-23 08:59:23	886cf2f16fbb0ba69f5e4566a763102d:RDtaj3PzuBRPSkWJFjG7j3hmD8WHN4Y3	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	211.79.136.2
2018-04-23 09:00:44	c1edb0dbb75361dccd70e884e7c46635:O69WCp46MAuQg7yyE7i36oAXBkpvNCrx	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	211.79.136.2
2018-04-23 09:00:53	1f52ff30ca355a5e9f195d771e31582c:UWrtp1J4np8iGTLt7o5XFHWRokVv0pxT	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,;	172.29.114.102
2018-04-23 09:01:16	7ca8efb3df42bf6a819dcb023cd067c7:QzQj2AS8BqatzEzts4zzeVouPmaQxgbK	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	172.28.101.151
2018-04-23 09:01:45	a128743e42d32c55d757abf2ef922498:9ji0whnq2Mj6nrICp2jV3jrcfJMZB4L4	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	211.79.136.2
2018-04-23 09:02:43	4f42f1400b2252559190bf68cd35c7ef:hyR53xWHD5mTQOlwWuTFCVDnqL4jK6NK	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.138.155.106
