2018-04-17 09:40:18	acb1edb57ccfd8fb67a1965eaf07cece:20NOGHTi8jnGDAyMUWN77DGQiFy8f8bq	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.29.17.59
2018-04-17 09:41:12	e4896f35a95212df3132bb4ec0072ff2:LJmHTT5R8oBNLdsvPBd9XsNKEjIAA91h	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.139.53.196
2018-04-17 09:41:22	3e836123d6be783d74999a527dd5da8a:uaAafKkwWvtWj1ofVNy7ArQTXdrYgzcm	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-17 09:41:22	e31669bfaf54d37ec2a8ed5c5b49f26f:XPWxvwE0wkdO05WywTwCH641LSaDYsW3	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	42.77.240.127
2018-04-17 09:41:30	1c389bffbb92d459a045fe60ffa0a365:AUYvnqI4uEDaOTrEaK3CV0M2glJPe3x2	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	114.136.126.88
2018-04-17 09:42:22	da0e47755d9a96e2a54a9e9fff40f7d8:JAeJD9ycUarkBclHJEbfXARaR7MCQRB6	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	114.136.154.109
2018-04-17 09:42:29	e00aec40a5d810f3ba01c8f995960833:HVlGpbs8dBvJbuYOcukhsJvx2AH6j49D	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.136.61.220
2018-04-17 09:43:25	8165f3f8f26e1778c96bac765cedcf91:nqGZH5PtCL2QZlVuCXwoqkZSXLBIymBY	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	114.136.37.208
2018-04-17 09:43:29	904cd6fe9fb29de94a7a61621979196a:espY3WEbkliOMsv3YGwb6fzKDTPTXfjG	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	114.136.185.64
2018-04-17 09:43:31	3a0856e1cc7bb706d6f1e4caada9b093:v3qvw8cs4VEC9EIvNDu3FrbC67z3A2Wb	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.140.211.34
2018-04-17 09:44:07	4eb6f93e18192a2f3c4da35a523bc601:PvEFa4MMBeTCLvDCa7gnnHh3ecGioe68	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.140.79.27
2018-04-17 09:44:14	763ab8b3564c99d22dd384c81ff35736:4jtPBU32ismcLJ1Xq0noWW54DvU56kfC	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.136.121.118
2018-04-17 09:45:25	feb12b5365b18715b974bc11fef23c00:WAh0zZcITRxmU44YzvAq2Eg0ZTn3vQOS	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	114.136.192.253
2018-04-17 09:45:31	3fa18a9093953c3157c278ead8e59f0a:nS9e5WC1MChf5KblVHL10CUecBPw6LZ8	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	39.10.197.250
2018-04-17 09:45:35	539ab1b455bc80d854aad580126a972e:uvM5fy3gzQ74tWbRCfVxEKZFBKHNtpJH	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.140.93.30
2018-04-17 09:46:03	094b067f07658ba7247691294efb1fbf:g2nMmvlw4qN4aGv7FQmpRqIs2llt0wmI	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	172.28.34.109
2018-04-17 09:46:11	9a8cdf7d82f18d4baf9a77c7a724a0f4:zm5f8d18ZsIuhnv5Opk7oJt4N2x3kTy2	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	114.136.126.88
2018-04-17 09:46:13	bf1d8d65e580ea152f1fbefa0960f14a:Pipos7UT20a6ST499R8ITHNuqe8SsGMn	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.140.105.108
2018-04-17 09:46:52	47c543bfc0e6d99ef43494fe4954cb54:8akz4WIhTOhyamyuD0Av8G2Xj38kSF3x	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	114.136.154.109
2018-04-17 09:47:20	01e4a4e6b1353a3124691043d36b7637:JVootvbHjQu5bu9WyXdXPC3M6qjABjFE	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	172.28.34.177
2018-04-17 09:48:19	503b766badeedf69fa9470b95cb2472f:kBxKcYyIuHK78HDhM5a9fv77Dbtgw1Pa	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	223.140.79.27
2018-04-17 09:48:22	7c573bf88874ea71f45e151eb6d32e40:tpmCcWD0vG2oNBENtGSzZeRsw7IGnxrx	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	114.136.37.208
2018-04-17 09:48:54	80cc798d0fb7ef5fe0bf4b3622c285a0:LCmdSNNpWXtomT5uVoBpZ5UQOnUoyc8E	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	180.204.48.94
2018-04-17 09:49:10	6096f535b39b12cb0a1acab27231e545:I8qpPdYEJ3GxqUOuKp0aTlWa5d6eCSC8	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	114.136.126.88
2018-04-17 09:50:20	d8529c68e171c580a2337543dfd259ca:NNvr9o4spo5JVyCcmhJsqSfRmha1uyaM	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.139.77.154
2018-04-17 09:50:41	f5d517e7c957d0b62ab022b95d57951b:4jkcGX2aJy55QPuVX69CxAEHWZ5JPL4D	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.140.64.135
2018-04-17 09:53:56	86f44b305bc72a33cd464458d343d7dd:RWWcQbmsf1esdhXCCdSRTJHmCnVIPdhT	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.136.61.220
2018-04-17 09:53:58	4237751e18d9446d3cb7606d844867e1:b00TENeU3VZxQNMgMkaVBwDPzgoNYj6I	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	49.214.81.141
2018-04-17 09:54:05	3a95da2bac62d985ca5542c379b7fdff:zRN9aoEUL8M8egasvE46pozAfFzxZZIN	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.139.77.154
2018-04-17 09:54:33	b3f9a99e8b9f821d9b0ff0e2a489016c:KzpM6h69JXd2k8VpLsfw2qgu5MABvfR0	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	101.14.151.88
2018-04-17 09:54:34	27cffbc32c9c675ce04a758ff1897512:fmEDzS4AXX9H7LO4RR4NCm0jtmuSSQRI	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	27.52.73.187
2018-04-17 09:54:43	b4c2fe67d29d7273115c5e0e4a64d2bc:4BPqAbKSkFsNaYhObuDaeOAnjzahLwGh	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	223.138.108.236
2018-04-17 09:55:52	bc4ee15755246430f6a2446b5b3f1a39:UL6UtYQ3QICEJpO8utWQEJfyBxLSr4tE	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	180.217.130.132
2018-04-17 09:56:34	078726d3b366eea2726ffecf4ea885ac:Jr5ENK1YYL16vNIO7HW2EEb9QZi265Pv	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-17 09:57:01	7632106cd1f9a2d38a5a214b32a88af4:yTzgFjyzpbYKdDhRSXg3THouUKpjSKqr	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	114.136.34.89
2018-04-17 09:57:23	6cf687b0046be87127cd3fa8a67d7a50:J2J9pORvxirSY3ZFffv2dmrY79PoL1t5	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	114.136.37.208
2018-04-17 09:58:10	794eb7f542108899973a44ed37db25f6:XVeguTHGc4HpAZGD9aTTX9cNgeXV0B97	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.140.30.253
2018-04-17 09:59:04	4f1c22d763a6d6213e5de1b6ed1ad9b2:nnQzXVGz38lTwnAudMWsVYfiBl47lArO	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.136.61.220
2018-04-17 09:59:05	c8155b1eec13475ddd527fd8a90b14ce:RSPg9aYowEaad7mXRzIu8VyWYwkB8Z39	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	27.242.68.160
2018-04-17 09:59:11	b6a2450a72428ce8a0d20b59bc25b099:XagybDaTJVmw9D9JN1rP6j7bMeuEhPCE	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.140.241.94
2018-04-17 09:59:23	a91f240fae885377ce5d7798686db7e4:JvovpwFcg10UWEQ8cNbUQqpGdd3Hydyw	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.140.202.138
2018-04-17 09:59:25	f5b4743b24eee31ad5fcac419df27bd8:f7aJD91KYCm4S6yG0l0dbbsNc9v5IIHd	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	27.52.160.168
2018-04-17 10:00:10	be1d2472c7892c0ec4aa44f50caecc1c:tZzQNSn5XlZ8uWhd8fqmZ69po3TWACPx	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	114.136.140.195
2018-04-17 10:00:12	4829ab78c139db515908eba9d0a013f5:gyjILY9ot05eN7SUxEIHhXFkPWhvRcoV	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.136.187.250
2018-04-17 10:00:21	df9a5d3d100c3ae23034eb6394622908:LKzpYcS0gAMg2G1N4vOvhnNAqYf9ALan	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	180.217.106.3
2018-04-17 10:00:22	0d6ed17c40d221f158ad19ee4ea89120:84YKTT2yIK78JyGV1s95frnlwGU1msyu	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	117.19.64.249
2018-04-17 10:00:25	a60b92eb5cf7bc417354bedc75eed0d0:b0bhkwvkUPms49cOWaquIN6YvLyZREh1	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	180.204.200.153
2018-04-17 10:00:33	9445411c17599c8d9a2ee93021171083:hjMQSmmHLINxyyqjkAU70zarDdi2mofB	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.136.61.220
2018-04-17 10:00:36	f7461ec550db7b8c563f96dc27eb0690:AxZH1cceulxaJcdH3o5JAzR8Xt7pfMTA	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.136.20.208
2018-04-17 10:01:03	9ad1809bdffcde0bb91e1ae70b584aec:3scEhLhg7qUbpYeVs6deUnYyvfeFUWfu	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	180.217.163.53
2018-04-17 10:01:32	99c2ea07e6499b3875a7a14cc3a6e152:DY3QILJOot6qFIHN3RkgYQT2dRP3DKb8	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.136.89.34
2018-04-17 10:01:54	3babdbaf0366b3e2c5fcb2cbbbf9d2e4:HejbPODPFR884AxrEZW383fdHO8Oglaf	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.139.77.154
2018-04-17 10:02:19	9ddee00454fcd3863f0e194b7dd1b9d3:nQ7xq0TiDQ6M8zLkNSS6MJr19ejT7qrr	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	101.14.151.88
2018-04-17 10:02:32	d404153197befd9237191c94e6159aa2:lY9hGGnwyuTnu2mnjksowtAbyi7n4lzo	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	114.136.140.195
2018-04-17 10:03:02	fd58f888356fd7ebedaf6a245b330075:6iXyBqOkZKrfsAZ8PuQi3tYNYyIyWlBE	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-17 10:03:07	cbec1c081a1993954d917ecc7e86d5f3:o9Ojgn2OfYtO77BiobdqwWBRuBeTrsL5	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	114.136.232.51
2018-04-17 10:03:22	6e7382808bee9da06f18869b4bfc6ac8:g0zr8NakBpfkvk7cnEm34bpHF39h87T8	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	223.136.61.220
2018-04-17 10:03:26	0c9e2e6fd8d15fd1396fe25cf562541f:lxCwKwkkrR8QoAGccR50u6BUXYqRLRVr	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.140.117.234
2018-04-17 10:03:29	3353f86d2980ad3e605cbc3e61a04471:9ag5oaXWuf0uRirTjtxwMmeWe0BFjlUr	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.140.23.187
2018-04-17 10:03:49	d9c89167896c16cac045bdbfe751c74a:PXi5SqvRGHJq51GQHfdgqoPpqj6lwPUe	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	49.216.116.172
2018-04-17 10:03:50	f53c37b2990d57840ec7e251b8cd6751:I1VK2l0OrywwEwR8f1k7Oq1vxSie77Sd	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	27.242.65.67
2018-04-17 10:04:14	574b91e107d9e4a1908cd51dcd02d31a:lm0LvPaITgQCC2nd4SKNQuJxKYJO8FeJ	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	49.216.179.76
