2018-04-20 08:55:20	42cf1f248d583156435eb29e2d08e831:uUtrVetSEz7eYE55B984AL1OgT4listc	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	49.217.184.217
2018-04-20 08:58:17	993a5725a2c3535575b386c5e04ad440:6SZUOx5Zkr6fRHcKuS9fbnXWHgBGCyPf	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-20 08:59:14	8cd0943f2c8d2fd44ff5c5748a810928:xS6qeJxHprUR9Rsr8MPAb2fSilmgnfuw	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-20 09:01:29	f11c3736ce897bac72ed4a2cf3bff42d:87HGsnW9rZQ8uN10Yp2zPf3HOmymgHEE	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,;	192.83.187.70
2018-04-20 09:03:08	7484eca827dca4973ed5720122246bce:TwaL8JXQC8dCD5DCNHbyBRJXe3EPa6Ld	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	36.227.120.132
2018-04-20 09:03:52	e45faf2bb9d28d2e71a1a62181799745:KpkrSN4wHT221rrUCPY1a2h0Z2slFTHY	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-20 09:04:49	1ebd05d906dca183f9027478f03ff455:fjIMjI2GhZD2eEySbmcAk4ytmw1iProg	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	36.227.120.132
2018-04-20 09:11:29	7f1f6ce734ca9b8fa9851dd9ebeac02f:dSilY7kaalLLnR2THC89UnjV0MOOY1F1	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-20 09:11:37	ce9eaa3d19e0e552a5f6d12095d72e92:SpWbZcNbX2jqR01UHL0ZuubTwUNYlBbJ	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-20 09:15:49	b30bdfc28d11ff917402d8bfb8495a6b:vrw39SWyTT6Oz0dAuKnd9dbgsILG2nM4	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-20 09:16:13	2ceb30b1f4f0bcf3b23f65ab14b78745:UTlIPJYeAtA1QGRI87OwU2OH6spffo9f	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,;	172.28.32.99
2018-04-20 09:17:03	7c5b2370299d764c0e33402159abf642:PvyrcNDynl5nzrCgXvGhRHjMFjALaF4g	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-20 09:18:23	17e710b0ee27b39a5ce94b457a13aa58:jFCAKANGHO74iLqyVh75uHl0xbG1QLHe	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-20 09:19:40	9f1c37ab3174b49d9758009f88ce4b8e:asZv6zDAncG183KxZK6JegjHVTDfRgkI	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-20 09:20:53	4c8c1a76e18c065d0a071d278906fdb8:8q8RiXfloYDAPxymO6oDNN8Y93f1SjqI	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-20 09:22:27	2214b0ec5cb4220290a332e5ff828022:tt7bePgBmoAXN1IMJg9imP8mVrxMwSe5	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.82
2018-04-20 09:27:17	c5d3eb47f15d34e42f2b87c3f0e9fde0:bgexgiOvezycuA5CmmAVp8GKFLcQ0RHJ	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-20 09:27:32	b11be74c899cd4f8fc8598b3b1738735:nXF1JPIsqwDATEVFKPGvXWZV8lNny3Bt	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-20 09:28:52	b8002cf900589ccc8cd7a2b8b33e7a27:3FShCTMIz2Nl5ZWjjHCSlSEqbXUC9Edg	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-20 09:34:51	e4f90a3b30b4219daf43e8a53b4fd222:shSV1gBNhY2gwZCT3XDmADvHJuh7fIYu	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	114.136.106.218
2018-04-20 09:41:41	eeca57b30a16fe0a78a19fcea57e33be:KMHGdMP6a0W5UZw4l9WDJL1huthi9adk	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-20 09:46:59	16987c5b6e77796d3118635382229959:FLsFZnFoaIQxJ3bcIljvMLRWCGmnST1B	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.5
2018-04-20 09:58:07	782db67a178c205bf197a8af070c1553:440zDXitITZQLfyl6ZXPWeuCJQCj52hl	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	106.105.178.44
2018-04-20 10:06:28	76907f03eeb0751c49e578b4adaf4c40:axYyIl01yGiepRfDT6gtVDlseXabEagN	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-20 10:08:13	418538da3aaf6aa4aba61280904a1537:f10D9fQE71UmvJNZHG1jGYlXsEZVVIBr	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-20 10:09:05	7447e72a42c952edfa3b5f6dfd4b3630:BKp3jdXzrpsVEWdnBCn6qwNIe7XSYh8J	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-20 10:12:04	3224c4b5c2654ba43a1b2707a39a3a6a:56qZmE5wTgdPRlnLmTNfyieePalKyB96	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,;	106.105.178.39
2018-04-20 10:16:47	27a4dbe9b01e0148ada21c557d1b4119:9u0lvNnlQDTZIfTZTH41ne36wovl3aUY	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.39
