2018-04-25 08:48:02	9d02323efcaaaaccd48e5f22e57009c9:oIHr0YNwAaChmM0Z6mljfmfYH6bcyNsB	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.31.25.131
2018-04-25 08:51:17	79ee8a70a3d14bfda213e74914e5d3ee:vyQ56GLNJA8bx27z3ADF4EJAoyV8Z4oN	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	39.8.193.59
2018-04-25 08:53:03	68488d80fcb58cfcdf83e4cfa7d4a678:lYL3tsIcWF03ax0WP9hs59t0aRzmhn99	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-25 08:55:27	7974834f50761a9eacf870f1b650a562:d7XKBTLgD8c66RAdLcbDqiEgxavzXMrf	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	114.32.122.142
2018-04-25 08:56:01	0bd684f7fef7a74b3ecbdef2e3f192fc:aKlYCFkjDxdHWcOxnTzmyoXCEGZfkHZF	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.31.25.131
2018-04-25 08:56:17	68ad8407f91a91aacbc95674a98c82f1:Xk6lBmb0anEvfPOoBNqipNObAM80RA5R	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-25 08:57:54	ca5616002dbeaffe3c6c175b9e803241:FK7x4V6RtbjdiQ8H6efzypgOEGj5i2F4	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	112.105.245.65
2018-04-25 08:58:34	61d1bc1b027d913981a645719995fca4:ZF1zb8otH4mkiTGQyujGzOXUt5TMT9HM	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.136.243.80
2018-04-25 08:58:44	39af0ccc3a78d1be7a18aaa0061cdd9b:3IzqXv6d3Z7rAcXnf3abSm2iIkuUmXBo	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-25 09:01:06	fcbc8f8a86720ad7e675244cf839cd14:BAHGxa76RFYzvyGkoAFN1igbi5ZLwirw	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.137.183.83
2018-04-25 09:01:25	834541023af77941ccc54ac183a53ac9:ZEsP7X8qSsdjVNTSA6yVNXq0zZnreaaC	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-25 09:02:05	f8f5ea289df1a45f182c3c0e386297d8:1vpgsohQP6uYgh9AOmzQwB0asDD2Gn7S	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.136.243.80
2018-04-25 09:02:50	2c8391021caa9b86162a4485db3a0a82:PQ6Di46asw6vejFyyQef6WCn3xDpjB6f	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.31.25.131
2018-04-25 09:03:24	8b7ce63f062ed196997c323cf903dd9b:2ShstNJO4zXHq443LuvKmGUlD9nnpxpl	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-25 09:05:48	68e1e2492c8b7aae65da5bb6c72cba08:P7lMXsQAW9GeT38ULORLUYTGqK4nqdRk	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.101
2018-04-25 09:06:42	7489d157a812ba659990b7925a5ea75c:wEdotXakIdbbkatPAuvisi1yVmOufNJ0	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.31.25.131
2018-04-25 09:06:54	2455cb35a53d7bd5c0435a15466d9428:Q4k1LLXS81aGYSNCPDpqgEjwv60p0jfA	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.101
2018-04-25 09:08:03	6ef610ea6c66c77a89b2490d374464b8:EVMdlmGR3WlpgrXexKKjaZEQTL38w0P5	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.101
2018-04-25 09:09:41	579d97e3f9104e29887af3af5b7f4fe0:Lq9rhnhagRfHiWGlVJcRuzsxUWb23VPa	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.101
2018-04-25 09:09:47	ee7152d4ba38fa08f7de7cf5d94dfc8b:J8GZA003GLy24RJLOlS548uVf8CFyLVR	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
