2018-04-21 11:36:07	324943123d91f1f3a603aab5e5c73d26:QT35AToaqxsG8vvZiq3LdqNhq7P8PPVt	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	180.217.159.134
2018-04-21 11:38:16	a94ae9e1838fdc9c7c3cb85ae79549f9:nKgQAlNaOyb45M6K7PjF5qxnsKhlfADV	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-21 11:44:39	b1871a15593b8ad094ff1add7e4566bc:PkpHMZAd2nQTOLPQBGyXMauAePYGdHHg	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	180.217.142.98
2018-04-21 11:52:19	5308beb306af24ce997071214cb0e970:hp4buyG35JVzInRdK0z2IDvFSqw4LmMK	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-21 11:53:57	6a8a9d82e3981cc76f8a61d7bcc06b9a:v1aqlaFdjkv3kISGNGvImE4J0j6UVafJ	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	172.18.87.39
2018-04-21 12:03:22	b4d86237f4bef62ae79af4acb61ec615:yixqKtuPxtIN3fTMPI4KsyKbQ1MqLZCy	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-21 12:07:26	354b94512d4cf34037919f7b8b47633e:ifD5rZc1OX1zzfgR295y2wPpU1zz3vRr	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	172.18.87.39
2018-04-21 12:08:46	d106ac972c8c64c89d73355118ece335:vMnUIwWFHarXDrbY1bR711lgxIZzCcQe	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-21 12:09:01	767119ee9a2bc900df2798273d762d42:RxDrxXxq5aNTkfhHNJjdJdd9QwLgG6ce	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	49.214.176.4
2018-04-21 12:09:54	5ce0402beb8a3c065636ae6667139208:Kmn6H8QsAb0CbY2LzS332K50R96A0dtZ	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	117.19.4.25
