2018-04-28 09:13:05	66ac980881e513f05f31d06cc99c43ba:WH7bzJiveg8Jq63ExShyBQv0OsJPEJxG	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:13:25	bd6a433fb09016718a942167f8f4914c:G4NbggINipryGPjezJNFDvWMCvp3osxi	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:13:39	021e42dc2955539eb8953b4252de372d:NupLW57ReS05j7XbiezcTTDO3aB5LI2f	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:13:50	87093f44b0ba29412079c4bcc9916bf7:0XK7Popc1K6ugxD0b49QlSQfssA6B0fY	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:14:01	f55c066e7d2e0aa00bde7bca63f28f12:XaiBUl7BnQmzM9QN2WBI3UTUhBXSDXoE	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:14:13	535586a954cf0b0f000dd080483e2ff6:f4954fhRagrzW4Gbfv5WttrXqLq6zgOr	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:14:23	5c4d39b404d1fcac320ae4ddd1e42311:gm6RMIbcCaveFm8vn829wxBIlwz0gHKh	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:14:37	97c53a55dbe81ae4400b537580d95373:SGBAkPDxuiu1zRqbRacxtiSlrdLeKGnT	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:14:50	18199c4cc92babacc662670556a06ce1:dt6ZnzkaUWg6S0fcB7hhhEFZrqLcNHIs	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:15:01	ef6d416cf5fc8b49f58025dbe265f4f8:EPQ1hIC2e0UkvSI7kS8LKAI5M0pUpppq	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:15:53	57464efe91aba4e4eda8b5227e95c5b1:MKAIF732laoa3bxdtKQ2Y4xQFhEBDUwv	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:16:10	4e3dae720ffe542b59e6ec5b459982bf:OWRiNuEBNgfpPevBKew0ysgIkerJnq9B	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:16:21	2d0d1362ce3ecd3953d640c96998e321:YqvIqjYorxNRRcAsV5wyKlSS5RwMS3ku	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:16:31	0d208dadbdd49f2f800c0d800723469f:FJICCjVy3D0LAHrvfgNdlBehVDSISmNP	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:16:41	144d3b15936d1285467d47245d02f7e9:EEDb56oRpVPoqVVdrNnbsw5xJHfp96uH	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
