2018-04-26 02:40:49	34bbc1da1eeb8be0e25e3c8e9f81c852:XHsKWEIOX4qoN1J7I3adz9TJJXqEbtFP	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	27.105.236.36
2018-04-26 06:20:29	4b943c7ace0820977f27250b5be7c3e3:Jg879yEGGShOYph7PCSFVxwBtgOLFRlB	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	42.72.202.192
2018-04-26 07:38:37	2fe04765cf30d1463f4916318490b8ed:yY5enYXFgSZS7gLiTU92PHNoMXzX9wnK	Q1:百年觀光新店溪河道再造	,住好住滿	,;	42.72.202.192
2018-04-26 08:27:24	04c90adec1aaeb2b92b5ff0c576e37a4:tnf4SDY593yAQgxkhJmLSoRbcXprlK5m	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	42.72.202.192
2018-04-26 09:10:37	baf6be136337d18b6076f34c85dcf181:YWV3R0jiOavcbYkRzD8JNM1PrDv5DlQI	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.60
2018-04-26 09:11:13	15e4f3de6d7efe1f30c624d550ff38a3:kQ9uFANWHyec07KLTAW228Hk1uk8X6iH	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-26 09:12:06	eec377e389646b852695f38b2137b31d:6Mg8DZ93HRCqzPwCGGamFmRIYuJy15vZ	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-26 09:15:03	6ba3a433029e24604827764bd8116feb:fQ9fCF1YtwVr934aafElb0c66jHRglFY	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.60
2018-04-26 09:17:26	433722bc59179cc28ed24ad20ff89640:mHMlgMhuBI4nhI1OpelgLNqYIuJb4iFI	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	150.116.198.71
2018-04-26 09:18:25	f2dd3c79c2664512d73c8f189df75bfa:H9UPzqss3zE7amZ1n6a6NNtHxS68MPpi	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.60
2018-04-26 09:21:48	fdd4ab44dcf3313db74222c981a66427:ttsZatMPJXArYqQz56CKvsNekb4q4SPJ	Q1:百年觀光新店溪河道再造	,住好住滿	,;	111.71.37.149
2018-04-26 09:23:34	5d932ff8c2e37e16973a00b0f6b9ced8:ZCAwn9eZgwN1n51g25TPJwWZZ8CeXkar	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.60
2018-04-26 09:24:47	9c446ac7172eb0a407adc2d2ecd41729:RmLX81OqBlWhe9xDLgzATdoqfYzWpDwf	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	27.246.75.3
2018-04-26 09:25:50	9f28ab563dc831da2ff239c01713d3a9:XQXU20UiwYJRKt4lzEkNyH6yv8hv1L04	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-26 09:26:39	d7656e2c60d6563ddf88c97b0888614d:Reg0TjWefJzpLgKpvJ2184m15vXpzigi	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-26 09:27:52	4bf19acef66d2fab3071f1d2160b3fe6:SvgLpmooQ8yJ5PE40un0L75SFCqXch5h	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.60
2018-04-26 09:32:02	49e212a9bdb13d53a3d0546f75baa1e2:sPPPEFyn36gLGBkC4moXVZ0YtZK1J5fT	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-26 09:32:29	bdf8ea5878caf86743fc877ce005d756:GbTS66U1BZDRrwfl09JIJVtSF4QZCU98	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	111.71.37.149
2018-04-26 09:32:44	d23a248e896313f3f96623b8fd886f41:fIb6No8MiA1MyvUcoUA0mgQBM5EiEJvD	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	111.71.37.149
2018-04-26 09:35:04	bdd427b4b89ed9d3a35d54b2260680f0:VKhd1KpUFfA1tNj1EShvbgkxtYf1slpr	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-26 09:35:42	a3892dacae65ba753d187dfdaac8aa48:dS61KNeV1Uz8AseO1XPYTmQe1Oofk9oY	Q1:百年觀光新店溪河道再造	,住好住滿	,;	172.29.8.60
2018-04-26 09:35:51	a95760040e754fe4a3ba08e211d429a2:PZ30fh82e3AZKOFzUWpZbqYZwPixpMhr	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-26 09:36:02	06bdc4681f0a9c2548387e6e61b469f0:JIjUdSUre8YKjysmVnISUrH99fp8BKJb	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	111.71.37.149
2018-04-26 09:36:46	c082767886e0f34125bfbe691ba0ee09:32pzQysdlnBhT2Xh010Hp6n4bjajftaD	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-26 09:37:30	bfc92f84cb655c5ddd0f09956b63b0af:XxryKndYwsgazgsnkthkytvwt3K3h70e	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.60
2018-04-26 09:37:36	9fd9c98c32bf992f4226750483109659:BLTOxoufqqch4u4ihFk6mjtBmgtrusSX	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-26 09:38:21	2fbf1cb45ed15cfe095c0cfeeb9abf08:3Ly8psA9VXBx5Vw36HsOP6je89WXc6zq	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-26 09:39:14	7caa58686a2e81d7556cdbc09111bd7d:y0pDgciMqwJR9QruWgTFj14nMkmdrU66	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-26 09:40:03	11c0c578baa2d9904ec33f9df97dc961:4IL0yqclScwaYgmSTMji2N6eb74hUzNR	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-26 09:40:48	ec60bd63e528b37321432b2f261e5313:63ArtLUhnLuF1XiWbP4bbfTbsVk54OrB	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-26 09:41:30	4d35a136aff9dae1ade01bf5998f7739:lckT538BODnGGwK4ZZxQYxVSDK9o4ytP	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-26 09:42:15	c7bdb71432a1d675f9b0ac10c2c80c22:yBAAjGKZsWEbRdDfgwaC4Y7ZGhTNOI9m	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-26 09:43:27	08c90e4cd51810eed53318b6d56723dc:ocy92Rv7sX81O0rsJfBGvIz3hclBGYTG	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	180.217.130.77
2018-04-26 09:45:32	0532fe90202377737624c6ae429d00af:KvyFnEcGCqYembEmnS4kHAO4hgtLokgk	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
