2018-04-20 01:22:29	5725dbced74c78096bde0660ec5070f3:z42ho7yQufgX08eBsuDWwOeH6hlUEfSh	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.138.96.250
2018-04-20 01:48:29	ee854dce22db244f1616a33ee0adb994:SG2dpypw81hf63HniQL4hRTbbQmsrFMD	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.187.231
2018-04-20 02:02:03	95d4a02e79673dafca7bd9f6f49f8f46:m8N1i1LCZlAwTf607smmCemXHzKR5Ojr	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	42.72.239.88
2018-04-20 02:11:04	caf862be72fa2735fb2dabfbef6b32ff:Q3raZgUH3HsdzDWTTE1fgMOhuBhzo3pq	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	1.34.243.214
2018-04-20 02:23:20	63f532d688df410c07a84cb76206ab3f:q7suPmw6HR3PWLshH1UCGCPOgd7OW7Ze	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	118.233.155.85
2018-04-20 02:39:49	5a71e795839b2b7de31ed7d0a50a6b50:YvM3YykCdweM1nTrarA6SS52wuumsvbg	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	223.136.99.230
2018-04-20 02:49:33	32d541cc8e22980f7b6153f5d1229ee8:2KRNAwBKQUIAWz7onEYSumTv3AyUxmlc	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	220.135.88.72
2018-04-20 05:48:46	eeb682a153fb95470227da382e8b06d2:pNpWnrnRHviNgc50B1YvR5d8tJhFsTT1	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	111.248.199.11
2018-04-20 06:14:05	108877d5400d1e94a72bc8fc007ec33a:TyiLgXUqDH2ZT1sjHGloAFujxVGMp9S7	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.136.212.19
2018-04-20 07:18:20	6f3e73f743317eaa166ea26bed34179f:Lom2id8OKTfyjYEvcRcgw8rg6ryOrqo6	Q1:閃亮文山．越夜越美麗	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	111.240.219.202
