2017-07-03 09:17:49	34d62a2a1f528a65a59ea5a4034f68cf:lpN4dHN3AOdnYbGDAehyTTvzOkR6ylk1	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.180.47
2017-07-03 09:21:30	db33f21a4dce455e877b457bf3b9436e:5P2FrsnBM9QbyYNvHjrx8rCmvHNb7MFP	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.180.47
2017-07-03 09:24:03	cd2f58aa52668483faeaaafc290cb39a:4eX5uMpqnrgHzEFysE6D58YUeEGq3MNW	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,改造台北漁市市場周邊，行銷臺北市,;	123.192.172.97
2017-07-03 09:24:40	e040af8955b56fdb390a53a7d399af11:8Rdo6P0N88csHqpYIH0iJ3cpG2m6Lzla	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.180.47
2017-07-03 09:27:07	ecc5d61b6d48b48ea78cb4a8c189790c:wOSUd09r3v2MffuJ9yEO5WmmuphExaic	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.180.47
2017-07-03 09:28:08	3826fc75991565d544e78091b3f65e19:uiAkN2pDW6JcAWrxBpPGrxpp3mrVMOjn	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.176.41
2017-07-03 09:31:07	dbaeeb907d978ffac11551a4c86ea1b7:v1uk89PBk3v2QU9dd5PgisZpwSffGu7K	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.180.47
2017-07-03 09:33:15	b68cd705e89645af4b2ee4f6a3500565:X7KfFKzsygH6Cxioa4mpz7MCzXoOUNhm	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.176.41
2017-07-03 09:37:33	546b4e39ba68daf9c9444fbc42d097c0:Ad2BsVK6KQx79aPOpImzOuEclJaErltP	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.176.41
2017-07-03 09:39:54	9fe4c6c76e15579a514dbd5d05b15f68:1mq3yJ2lSSjIlOcT116oUEeJgS44u3wN	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.177.167
2017-07-03 09:43:08	a8d4332ef78eecf9bdb53b51d686528e:H6frxcgvyhnlHTZzeq0u3GSrzBOAbYOf	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.176.41
2017-07-03 09:43:38	aa2adb2aad69bd2cdc8e78af217c96fd:mcx7A5L5pFVXynvWIkXbreEKUyZDI3OE	Q1:新興公園改造計畫,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	10.4.9.60
2017-07-03 09:45:24	e90d3ffcf5e50d17f15cc2e4f0e4bdaf:J50p2umiJWhxzs3tMzgWmHNaE3tloO4W	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.176.41
2017-07-03 09:46:30	263c7cba0233bf1fc5efc7d4a6dcb087:ZQGjiYqcRU0D20bvbMMmQSuMxqVUmbwJ	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.177.144
2017-07-03 09:51:11	c4485fcaffa6e74af564752d51b810d1:SVE6WQhrZPjrmmsevaM2HbUEieFpfitr	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.180.154
2017-07-03 09:51:28	006656fd3535a581ee81f5a4f31869cd:YZRGs5kwYlhxsb5DVidr5OFzwc7hRy2k	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.177.144
2017-07-03 09:54:59	6df7fe2fdaeb0d921d27860b18fe9ebb:awa9cvfWNmab7bs7ULR1VaKtcuaWcfWw	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.180.154
2017-07-03 09:55:09	d1f759a5e881f465210bd971c8827052:WcLvJ475a1S8LUN9ICwttvves7VF3Que	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.176.41
2017-07-03 09:57:16	3b0d42319c923c403592e6bd459e3cf5:zlp69dJIiVRqPQS07SOBbX1l8bjnZmFY	Q1:新興公園改造計畫,安東綠茵園,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.176.41
2017-07-03 09:58:10	f9eb454a232053c539d86dcf51bd472a:lRjFXvx4pdgneDrT85ci25j2AV0iiPWb	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.177.144
2017-07-03 09:58:49	358ffce9226ded83f9864750e54dd407:dUzgUDVeqpJyKBTU7OX07PcsXg1Zv6xe	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.176.41
2017-07-03 10:02:45	20cee5917c5314fadb1424b6da0dfd7b:CAH17ZQ58gw8G4USCRDN3gg8ECPkJwy3	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.176.41
2017-07-03 10:05:58	fcbfb928fae44f0bb60bb6d9c27b96af:qUF6pnwaRyBPHzwZYzrOO8JgaiyZjbtS	Q1:永靜公園賞櫻趣，白天夜晚都美麗,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.176.41
2017-07-03 10:06:43	e5b9824f1cda376b9d64168a1cdbbed8:rGGTySu4CJHKx5dhgAyVVOeDLxqI7paB	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.177.144
2017-07-03 10:07:41	b2f174bb743a08cd8fed8d0d5c5a7a1d:1hMwNNorei3olyHtA0fHvbqMRNLu6aGb	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.176.41
2017-07-03 10:08:08	ae2df0647a1302e64b43dee152a70a30:ZkQtrCqcLsRp2XzpdxmoKHglzn50qRUZ	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.177.144
2017-07-03 10:09:49	846b7f36ccae43ed753c25c45a327618:Uc5v1WtVqcfc9awPU5707Zc7KO5WQfb3	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.177.144
2017-07-03 10:11:30	4ea0880636e7732483dddc31a3051db9:8w2JEcB6WZ6Y38DsFRNp0TA4jYyYO8Q9	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,改造台北漁市市場周邊，行銷臺北市,;	101.13.195.99
