2018-04-29 08:34:30	8c6bc3d5a277e2d28061aedf359a6375:Mh0CvyERhtZk7owedHHDuAcYzOfJ73Wn	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 08:36:14	f4e8535910c380f205cf2a462bd6492f:fKJ7Gwk2f664mQ03IKTlUnvFdxG7nCJe	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 08:38:57	ca48d5569336dc5678a831602ed229bc:Ozqa7umDa7EK1TH3Vn6tsdESlOGKsDhq	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 08:40:15	d10a6b632bfbf37d84a6d7a09858fb54:YfPop0pVOMuCeecbuFdR1hTwRgQXuZe1	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 08:41:45	84c3b280b3c02778323373349dff2075:cNbOixf2nrbj1W6htbVZ3riMat4hKCcc	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 08:43:09	cb86283ac306f93490c2336346ec7713:wRclmVmss17Q6afkMLLwkQnfyM2vuF9X	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 08:44:31	91b2d8247bf6e979ec622db00aec959a:qGAYxSGDIjz8AizeoYzzACJff6lMEzA6	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 08:46:51	af1f76183e5eb1a488125430e0da3085:pz6E4OTCdLZlA8mzP4370X3wuk7Oyk5B	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
2018-04-29 08:47:23	126b96cf76e56c8bc2bee7f6e4d3ef1d:rx7CMBHZzGdDqzkBVQl23FByv2TWlSeo	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	218.187.98.122
2018-04-29 08:48:46	b70cb468f84cf07fc238ebb0ebd88e96:gnKgi3yUsOBi98AM8evPtWWoSVQrfcES	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.90.175
