2017-07-07 10:44:21	e71fda9a314ccb142ae056595151d3b9:K50nWEuja3t22ttfcqaV1kjbDgpB9zxy	Q1:公館藝文特區,老人幼兒照護,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.137
2017-07-07 10:47:31	9286e1a44255fa7bf9af3ebf86d0e8d0:rrq3tyNNjNc4v2p0DF4G8KVXjXBKcB5d	Q1:老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	223.140.129.111
2017-07-07 10:50:12	032c325c26e969d6067c57fd95a00c80:qNdkhaqtW5TVkO8RX53nOIzDZYjisfFE	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.204
2017-07-07 10:51:29	c25a4300ba6b8fbd8e3f505ee0fc2746:IalbhTj467gTulDE5nHUaveoa3ABRHZ3	Q1:老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	39.12.72.226
2017-07-07 10:52:15	8431c54043696770e66d1d980235168c:FET0V4TKHppqsqVDxAKGgwGbmvCKh2Ti	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	115.82.215.224
2017-07-07 10:54:49	0a8b9aa423a4ca031286d4f327392443:S9pijGgObkDW2618rTmyzGPcm06rBJG7	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.204
2017-07-07 10:56:39	c83acd21e4aa8b7ab860e01f37ef8fd2:qeQ1tuijkCXO6yDF4vajyWOP5nJ3mVVE	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.204
2017-07-07 10:57:54	c959054083266cb38a01cc0a59845b4b:KshuLq0gswKezBeNXccd8vGulCZUqnB0	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.204
2017-07-07 10:58:59	d3484ea0778bbc1404e8edc096475981:zTUCsIhovh1xz9x37YGKns8hFcpuSNdX	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	115.82.215.224
2017-07-07 10:59:03	80b597012e5d12cb648a960aac237790:CRpJhJOG00XAz4zwvpjMCw86zLrnumXA	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.204
2017-07-07 10:59:06	1032d1c2e582fd78565972c0b5bbd6f9:UYWQnzAxhjFsRps3jgIB8MRNAGcpMIUV	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,;	10.254.248.169
2017-07-07 11:00:13	8a86d8c4296679626bd5d5a6bd2ae4a6:fwfDPHac3lDH56BMUG3HkbvllKxXJirJ	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.204
2017-07-07 11:01:35	ef8bac5671b5fd75f260f8759324e54b:PzQNYosYRl3ZeTG6AJIbeA6DnsAFW91q	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.204
2017-07-07 11:04:19	6c610f0e528a47ab9489208a53d3d8aa:4npHLvFMQSGaAbQLmok25T0qFM2FrHU6	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	115.82.215.224
2017-07-07 11:05:43	2cc5fce3f1345a29317102cd0b684b2e:LRmYlechL63zTHtE6Mo803SMUgjZxejq	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.204
