2018-04-21 11:08:47	d4a20bd2a9d340ecbd8d47ddbccaf73a:Psa0DNgpkUqtEz2rQly8nwOK5SM801RT	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	101.13.34.124
2018-04-21 11:09:43	bbb5c26c41f036586e64d03ae84650fa:tjfOI6Fs4wHAVILcUpxI6MOWNgaWWAOc	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	60.250.122.123
2018-04-21 11:12:12	e46b0f2a8baf5bed750bfb8c452205e9:bcsT5CGXConrkHekiwZiBpXCZ6hQnHUJ	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	119.14.50.21
2018-04-21 11:15:53	bada9ed20e580d8ae2175493f61dc12b:kX54t68tvjqSRDUzi6DT7Ani3ohNzR1Q	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.9.146.126
2018-04-21 11:17:25	de1d26f87e8a855e34890673dc4d4371:TOBpXGhGZ4ZHh628voXpEtT21N8et6Ip	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.13.34.124
2018-04-21 11:20:01	50bee6184eec84d1ac697ea40bdddaec:gALOQyvif6tgi7OrRosy94C1CARJElPS	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	223.140.190.52
2018-04-21 11:21:43	12bc3a663117b27027e51dd829342c51:xA43DmilnyAD9YFBT0zrvk7BIW895beV	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.13.34.124
2018-04-21 11:24:30	9ce13b501666b9a1bffafdef2f98186c:qJPNluMHjzDvIc5tKC3XKBA3fFvXZdr5	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	59.115.33.220
2018-04-21 11:30:49	53f0498dae4fec1b988b453b87e25f11:vadE25FAT9DD8faLKp1PWgOBmmgXX8Pi	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.13.34.124
2018-04-21 11:31:39	4341b1cc65464dc5506ce44292dc5971:sFfG1ucdENuuY8rYHuRMCKVO9Xfod91S	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	101.9.146.126
