2018-04-17 09:48:53	cf4ad6127edf5dd30722eee7810c2659:dZojHrXBBrq0etCnGNBXyjRIlRuNONJr	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-17 09:50:20	fcd7c2c149a830454cdb3a10550df202:pCbtVtu23tEGsHInsmzptnPihuCstVjO	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.101
2018-04-17 09:50:35	bc1cc844e6aee6429857ca1087c1fa4c:oLpZD7bPkXfboXPZRfgCEilJTJnZHDyb	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.136.196.139
2018-04-17 09:59:16	c85c03cc4dffd7c82c4c4b8a62a1eeca:zIUxABI9EBvfpqe1IsaUdt5F2X9BTIyU	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	114.136.196.139
2018-04-17 10:02:34	112a5b58ee4d5c49d6e3603dd97b653f:rPXMAF0hws66ACAAIT275Wxpxe8cXo3u	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	39.9.38.51
2018-04-17 10:04:32	e5fa2182a911c0ec7c18dd69117a7a4b:CeOS3SKVxWJhWoN9x4VahZMSuzJUBYWl	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.198
2018-04-17 10:05:17	1a3bf2bb591bdbbb71055db39855620a:FSeVoYuaG6Ht69YbK2hffkmSy3jSd2Og	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-17 10:06:03	c26746ba9279c807038a35486c1c1c41:t36v2etEt5r7UFf3CU4u5bCqT7pDJxAR	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.136.196.139
2018-04-17 10:08:02	b6f033b533db6148bd3515338298aa8c:ags1whFMimxv9NxptvCheS6lioeNqe2a	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,;	223.140.68.17
2018-04-17 10:09:53	f235f97b76e41f4d3a1fc9668f11b9ed:7qMQFmWr3O7mr6wTRIcZvCvKuZvjPReW	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.18
2018-04-17 10:10:35	7aebf8cfd97d64d8168691f461e7dd05:I3kiVCIPI45Wsl0hngnnLNxKYBFQf5cO	Q1:活化青年公園,艋舺服飾商圈	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	39.9.38.51
2018-04-17 10:11:06	44bf3d58d5009cf56490e6cceaf9efe0:Vaek1lxHmEWfruKqSSywQUYJbzIJmL8l	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.6
2018-04-17 10:13:48	15a7e07adcc2112e60c8c560677a2cfc:T5y7LKQAZ5qS3sjAQp7LUYhHa0XsvgII	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	39.9.38.51
2018-04-17 10:14:45	2beea72f3a56c0f4de8c9a79646ebbaa:ly5cfzZNzn7mAiSK2DL5kH4j3e79pffQ	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-17 10:16:20	54d1399ce355239d952d10bb71625e34:gfRKAxZyOJg23L60o9PVgU7WlthQwPcx	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-17 10:17:16	325eba2a1f59cf219f6ba8fa1694cfb5:Lg1dAtCMQzJaV2PfjVQa5Vot0xp55cD2	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.137.61.12
2018-04-17 10:17:45	17f90fb47a34b89358257b8a873320eb:wHXEjKjOMNXEhK8YuzkPtettPqMu21Sc	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	49.215.229.49
2018-04-17 10:17:47	63ab99c2e05fe1d2a2b5139acb57ef4b:t7nlOnPrujHDFLcoYQj5WhYJjcnMidPU	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.136.68.181
2018-04-17 10:19:18	5f9bc857b3be61500bf5587c665907c1:pdlLGeBGp0TuzthiXuhAgCrg8an4WDkc	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	39.9.38.51
2018-04-17 10:21:13	da4e7b2b7b78a391580a31ae4b2838e9:C5HF3BDUDlOUKnVrCObT5yybqyXsUrLX	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-17 10:21:14	977187d5e8264eda0119e08bbb54a238:WgenJWyelee4JhZIQ4oWzJwKg1IrBHL8	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.136.90.63
2018-04-17 10:21:43	147e9d36a2b8157cf01a63d61e14de42:CJ6iKNiMfrb7caLD53rZi4JuI74iwjS0	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.10
2018-04-17 10:23:35	c3ec8bcd81e4acad4818cff90caed6bb:XG8NQJNVNJDrExHxzoAbSOhB0C74gW0G	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	223.136.171.221
2018-04-17 10:24:38	e711b77184d36c75a9cd1cd4d9cea6b0:xihQ7rSBz3g4AAhPs8VzO4GHCiQkqIch	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.138.51.79
2018-04-17 10:24:40	214ce3230be032dc4c9b8baba7d4ec7b:AqLQ2fdI7kX1xUWPJu1XzPoG0anPV7Xo	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.10
2018-04-17 10:25:50	da0211fdaa397c92123eeff5196a2da4:0YtMWBFPSBrAtJV0MZ4B8AbaLbBFmFmS	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.136.130.138
2018-04-17 10:26:34	8d33c66b7d0c8b2e3beddd9c1cd66abe:p7IcqZCkOfEINk4LR1a1aACaSKYVWgAi	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-17 10:26:41	53567eb99f672c40de85f3070f3281c4:z4wHDb42Dv3ZJd4bYOX9NjlTJ4OkB469	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.136.190.253
2018-04-17 10:26:44	677d2ad41b5c5661ba9eb3f34500026a:dM6CatMk1Royc6j62AFIaSPgL7y7TsGa	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,;	39.9.38.51
2018-04-17 10:26:49	b1c628ccdb742ab51300bcac9985521c:PaGBiqDZKSUNTzsqdT4dxilv56VFyyxS	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.136.61.121
2018-04-17 10:26:52	22eee083ded5d9314721bcca6c4117a1:Ds443vG5yj0znu3vrjBRuHCB19hxPH62	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.140.0.245
2018-04-17 10:27:21	88a5b29cdcc80f42c2d005bc2f671960:2GFIDw0olLQ8erW5PtPgyCljJliYLlZF	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-17 10:28:44	9d2ae8edb70eb767881eae1ffacd1f24:drlIQAFk01U97LyhVMEF5fIcwsTltL55	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	110.28.99.207
2018-04-17 10:29:55	9700d12aa7652d9ef065731347d84f2a:jPHAK3VlAncpWK0BjNLOE1fQ47CzrTOp	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-17 10:31:20	a07154ad0de6a8647b4965cd84883d9e:tya5pTKAk4NXRjcJxVdJ6PUdPceS9zEk	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	103.31.196.193
2018-04-17 10:31:30	e259b2b4efbd00e7560746c6322dd6bc:wUhClgqlelrnZej1vtF7C3XsuurvzbQl	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.136.48.225
