2018-04-26 09:20:26	f4204447b89790399d430aa913032f2e:AH3tmYFTOp2xUqaCK6fTFR70KBxnpuRb	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	27.246.192.132
2018-04-26 09:21:03	1365385ab8bcb924789871b0deefd68e:ZFAMKMFVKL8j8OBoBR3bhqGN08TdZJse	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.97
2018-04-26 09:22:01	b5005b148e6acc93c13657d2b5a13cb7:3R77ZJPUvsM7z8CY9ucE5LK5kEGBssMb	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.97
2018-04-26 09:22:24	d8075adb1898808167da5bf63694f8d2:89uB0GytsOrOCIOFViHq9NplRlYm4v5z	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	27.246.192.132
2018-04-26 09:23:15	9aab89e762335e434f3a02dee451b3de:OBsx0HW48nndWl9OxbNcTbCfxqNCvDgR	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.97
2018-04-26 09:23:47	27293c4049eb6f7fa7080f716ee22d06:WAIrlHi1g451L36DsF1ktJC0MeMDdf7C	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-26 09:24:31	ab6f056454de7f3a995c5ae05f311dd0:Gp9OUSG0CLoQziRUHBCgguAqfdR7l7O7	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.97
2018-04-26 09:25:22	5d06efe5a71763eb3ccb3130ca9657e9:VEaSNnT1NnIaE2tIRuziodOTXLY0vtBK	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.97
2018-04-26 09:26:13	2d456684653a1f1430e01f719bfa0001:8353yfsXKZV2h3OEj4rK6WjfXnIGoKTf	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-26 09:26:48	bdf1733ecdbbca0eb60fbd295d752634:f4iE6nQzZ1Sztf1E3z92VauBCbkTaxKW	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-26 09:30:15	1ae4b52da4e99253abb3a30b9cf7c361:IyMapJyFlmC4aeis3ocIeC0wjSDUEpRz	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	172.28.52.104
2018-04-26 09:31:51	7741dcc67538d26c6eb19f9292eef38f:rG6LefxENRBc92NzkKykdI7vhYSikOtj	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-26 09:33:04	449e5a770008af4997379f2f007c673a:TDCQIWh8KKodL3Q4yvmFE9GzNAjB36m5	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-26 09:33:20	46fbe702b8fadb1182978b2cb9aa50a2:oABe6M0tYi8MUMtP4RSQbGLqEo5uvnpp	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	172.28.52.104
2018-04-26 09:33:45	4835ae8f0d5e3bca2fe2d2cdbbd74fa8:g9hogcuXAjSuVgboiM2torDnoIPeEadw	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-26 09:35:04	833efa902df952fcd46e176918b967f7:1XrWBagYvg2g5hGuPYTss9kXkz2eBSAc	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	172.28.52.104
