2018-04-17 09:26:14	8de06945f604a2383cead189bea23ee3:TKOQhV2583kr2EJvhhL9OjedyyZ8VOFW	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
2018-04-17 09:27:33	77dd66957919bb532b7b111f86c9fa0c:0HwJrYxBPCC0lUOrYorBlxyTUJGRNqkd	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-17 09:28:07	a838ecf4e3bcb0d997bdaf36a7da01a5:Q1c47A6fKGowmqs75vpbp6QE0M86Xm32	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	223.136.18.117
2018-04-17 09:28:17	4b67e0c582e539097c7b4f0b90a2056a:CGGthor3fPffpDK4P8YGIElXZzxNfRND	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	106.105.178.40
2018-04-17 09:30:44	baad523ed1f93364222676a6e6ca633e:OgmiRK0MaK0dhl4yz7iXQFSPRCvkj1OX	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
2018-04-17 09:31:33	af621a86d07d997043addf4ee7ea4de0:mGlf5pCfclbWfM3FC19CfcdzhLrNS8U2	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.140.99.241
2018-04-17 09:31:44	5f90b768b6fa95e629d1660a6199daca:4sSzI8LF7EgHwwlzIwLUTtErNkVQAlFm	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-17 09:33:29	617f637127e0ff860b7f4678f00a4b0f:VvYkEKYRJqgaN0cvTiEPt1zCCtaSA3jn	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.180.166
2018-04-17 09:36:38	7e8a93fa4af6c36d8de2fb6f50a094c2:RpEh69Rge4mW6s3W76IrbEfpvh42WGpi	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-17 09:36:54	b191ea5bbf64fb62dd5e6289a1ebb813:3DNOK7d4mBqQZn7UukbNUM7qSj4FvY3E	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	220.133.44.121
