2018-04-17 11:31:55	b1857000f805968d217e6dba54aa31fe:1McuqRHmE8RiutcEE0FBXKaTYgeTpIsN	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.245
2018-04-17 11:32:46	0bfcd297da5ec4b78889873f5fb83601:YA8YqIFh3iWJ4VMh4aRpDfUOQUFqf7i8	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.67.159
2018-04-17 11:32:55	1d861c74b2cad081bd1e38ed588f4c79:ZeAmGtgmtrz9MLpUQzTvd9vY8jsjknL9	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.161
2018-04-17 11:33:10	a41194121b44acd718cf543f6b785de3:FT0JqgBpOPKIFyCZ5m8gSK7nuv6LjVxn	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.17
2018-04-17 11:37:18	8a359f0bab4a72b08c1cc459f48fc9cf:kkej2fmdlAoBuhqrendTDLoLethmgmgv	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.29.128.190
2018-04-17 11:39:29	4629d69e15eb5b42e15f8ff2316d56ab:RSAPIdrOFpNnhZhRczvACCI6amHGtagU	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.136.90.57
2018-04-17 11:41:59	762324db93ceea056f4d3b2e7b0aefa7:Y0KQncQS96577HHJgeRaU2oJMcosBE4I	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.67.201
2018-04-17 11:42:39	169f4e7679fadbfb8b5e0c0cf9da9872:d3AMyJEcg1056BrxsDJdP6ORRkDsKuyz	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.21
2018-04-17 11:44:08	4713c67a50b2525a8da3547cfbeab95d:yWB3pw55oXgECH7IIizVtGXuBFlFt6Hy	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.67.178
2018-04-17 11:44:46	37ba9e22a82d68b6fb6520b60ad7e8c0:at6jwpHZkw7RnIuVUz3M7uzrSuupdWXR	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.245
2018-04-17 11:46:14	093abc33256b07b9c2ce9654a9e9e2cf:VYrIR55rRzYj0Mj3idhTU1wRVNxeC0rt	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.15.142
2018-04-17 11:59:19	867d00c98eb9073fb3d40bb71f58aa21:E1fqVgGb2ert8rGazvVnZCN8YWu2oPsB	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.21
