2018-04-24 08:54:58	47d9d81bc32f772b08ce2a2633768c0f:H0GAwsNAUOwrbcjms8r70hnvLwKnGhf0	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,;	172.29.17.50
2018-04-24 08:55:30	14f563a14766c59f2e4dd5300604d08c:booYNMrchTbmzsuuB3ggefZRzE5c8ouh	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-24 08:56:19	dc78fa4bae6752add68763bd9dda0151:shfXbv27n33yYMQtJkBVnya9UnssO75s	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.198
2018-04-24 09:00:08	fa5669130bfef1b8f0d0a1ca9f951b98:1v5LmStCcP3k0LGRLk57CFndqyQZWKfD	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.17.50
2018-04-24 09:00:09	ced95b39bbbb0877e8dec6614c3536a2:qBgFH1mKnYAPvtaxR1r7r6eKjZn6ugJK	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.198
2018-04-24 09:00:15	29e5e448ea3ce4c12694cd5c72f182cb:5WpOSiJAhcEwzoVq2Zv1uZFqcFXO0jZd	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,;	103.31.196.193
2018-04-24 09:00:57	c205865c940ef3a3f3ff244066088b2a:5ujhVgRJTNkgbhsNLeyw1KhYh1kXkQh7	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.137.173.3
2018-04-24 09:03:09	88560a3f5cd7b08971fe13fafce829cb:qTJaOfCVE79pBddRsnKbQET3GB078LmT	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.137.173.3
2018-04-24 09:04:12	9193a5fe4a686e890770b35d1fa1069d:1jnylbN5k4tCgq44tf9DR51by7vsoyOE	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-24 09:05:35	391d274bc17a5b2c2a97491f1351da34:ETjEcgJNycNuwyFussyhhjGt5ryLYS1O	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.137.173.3
