2018-04-24 09:55:48	acc3640c6fee7712db695d4aa9450d59:PIGnFGGLZpx1AbUmehmpqf79DFEUABCJ	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.184
2018-04-24 09:56:48	92ae54630c822a3272fcc965062bc989:81zaoF0j2dvBR7noCifkIryMzAmZTH4f	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.184
2018-04-24 09:57:39	5fbd387262babf0c80a3a863ca015eb9:Yydp0AKHUEIUd4bpV3ebhznrDDaEHLFj	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.184
2018-04-24 09:58:12	9f49cb3419d793be989b5a36384616f9:RYNIHOdmrtVghM5sXVMpkvwaixstykcw	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	172.28.48.170
2018-04-24 10:00:13	51051a345b52d49cd8e361873cec7375:ppRFLBdki5LWLXDNZo0zB2fIBP9oXSNs	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.192
2018-04-24 10:02:22	ada50a5098cbe475d19a47c90f927385:1zzgbhFbPS5Q2hXX4pJvhpCxUvInx2Lo	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	114.136.186.196
2018-04-24 10:02:33	2300b2cdbd989c1e05e17e2554f5581d:RYaRGeUFGkfIFf920OwEem2b5ejXwBEK	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	172.28.48.170
2018-04-24 10:04:37	cd4710003236fa8bf2f6dcda8a816111:24kdn5JkKQ54wEDUeF50lklcpv8vykMh	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	172.28.48.170
2018-04-24 10:07:18	d90a0e5a473c80b15d8bdf2e400032d9:7XIiYV2sqVUrKOSqoCzA7C4HApDUCKba	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	172.28.48.170
2018-04-24 10:12:47	eb6d49406c649981d758335c1ce2cda6:5AOgJWYOAmAaMJonDCDkyHwrcLGH0Ava	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	163.21.222.234
