2017-07-07 09:34:14	d6b501aa6bbcc035596682df8c0fd583:QFOOnCyVFXv3VrvkD6XOcR6f0OUFRDJW	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.18.87.42
2017-07-07 09:34:19	74842eab1c17f2920f6802cc45bb9c3b:Eu7azKNHs5VNSOFvx92v7x1Ll52TTZlR	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.177.76
2017-07-07 09:34:49	f20b194cf4c32dd21556954959075923:H9vfW2AV4cNRMF62L0DdsI5czXbH13qJ	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	223.137.43.201
2017-07-07 09:35:01	755efc99544b6d77b0f7045e49ea0be2:ziEeg9zMMzk9mUudqiQ64osA0DqyNQCA	Q1:安東綠茵園,渭水夢幻3D人行道,改造台北漁市市場周邊，行銷臺北市,;	123.192.223.8
2017-07-07 09:37:37	be8f71733843c04215d51d3f7d5103c0:S7tuYNsRwAQbmpIKNURHx2YmgWHAbikn	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.177.76
2017-07-07 09:39:01	6162cd64071bb21d97727941dd8ec3e5:1eL7qiWvbV6zvk9G30K5joWwiVzFM1YF	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.177.76
2017-07-07 09:40:26	efb02a30ce32bc6c9621093d99ad232f:HH8tJ67toTDsRLfPsEfTs8HJJvccfBM4	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.18.87.42
2017-07-07 09:41:08	52d02ab778896d2d2a9949cf3efb6a19:SX7A9lOB9oWimZESztywIoBzI1k5oDdi	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	10.254.248.73
2017-07-07 09:41:40	718f4251bb8ab2b2a7af330a5c6fbd18:9ubNwchAyLeD68iUlcWp1OselKIM3mFL	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.177.76
2017-07-07 09:44:05	47693ec07f888ea3faea4d7687a51e88:yDEvIaPklNA7fv7n3OpswtZP6iL5MtCW	Q1:永靜公園賞櫻趣，白天夜晚都美麗,新興公園改造計畫,安東綠茵園,渭水夢幻3D人行道,永安公園再造計畫,改造台北漁市市場周邊，行銷臺北市,;	172.29.177.76
