2018-04-30 08:57:35	e3a08961b8e1a221360fa9d59a7ce4a9:zPBBRa4nwKqgThtyCUV2f6sNne4VQyxb	Q1:信義後花園-松隆映像	,公園內建廁所	,台北市新亮點最長巷之前世今生	,;	49.215.246.139
2018-04-30 09:00:07	e26fc668777c148a8d5fa1bb48040157:1CgNKb5ECrldpiU9g3XUAZvx7dnUW3H6	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.69
2018-04-30 09:02:01	c3bc623015ca6fcb150cf83e8c49d506:fM4nFka1OlzEORBu84cvU5a4bOI9bRJl	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.69
2018-04-30 09:05:18	1f448e8d2e8b7eb4d316bec8a58852d3:kLij9FvAKYL0bvhANzMzpY5xMFtBjHhJ	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.59
2018-04-30 09:07:02	46d8c7102ce890980d8574734ac7e6d9:HlBMyrAebqCaxbx9ABNjDGMKeGKE531U	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	42.73.74.112
2018-04-30 09:09:29	c34fdec1d514388d31a21783cc8d553b:Pdvb5dFZtvn3ctSTF3MvSklO2ZVyW8Kj	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,閃亮永春-商圈重生	,;	110.28.96.214
2018-04-30 09:10:00	3faca6cf1b3377114c8c7bad3317a04f:vwdYDKsdMvbCPvnPKVf7RU5rNVVO43fm	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	101.15.195.244
2018-04-30 09:10:48	44fe4ceaf2e862e1736621af12a239a0:lnpVP89Ry5D6ulSBPX05mnDyzF7y5cOv	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.32
2018-04-30 09:11:09	0a03e5dc04ead924fb300075d59ab90c:XUkmDqGwuQLb5Dk5CYKln5TxTU9jhwCQ	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	115.82.163.155
2018-04-30 09:11:47	3653d003432e2cf589e1098b1dbbf694:16GBHJR4L75pujLdB8h1q5NmKRVQvzxW	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	172.29.121.10
2018-04-30 09:12:11	d9bbec331059928fb2749425de11898d:DkWPn07d15Wpruw23jpQINFVa0Bsjbxh	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	172.29.121.69
2018-04-30 09:18:02	6bd5ebfe3d1bd746aa5540f98105a92b:6REo0dEdQbhzquRlGKqs0KxKWA86Hvbb	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.69
2018-04-30 09:19:30	ac8b044e1b9f3d6f4df78fe3e16edfeb:ORMcPNCAYHojbW27puk1vLiVSUeNMNL9	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.69
2018-04-30 09:21:32	8fb631b1afc8d3965d839d7fa694b978:4yk1LRqrfQymGEBkxxIEVTdHqldu23DG	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	180.204.21.111
2018-04-30 09:22:37	a3b28f115671a36e0ded81def26dc27c:gweorcS9hpB829gOHcT2Y33RXpCAysi4	Q1:樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.69
2018-04-30 09:23:32	6babd6a2a7595dec5e2d9783e848fb66:yJRX88lCWnFMAtVvhirVRtnllzCa6wKN	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.69
2018-04-30 09:24:27	d2f5ac0c40e3fbb175f6498acec8d861:o7txd4dlznGt1FBNO7UZiOjeg13ZQnlq	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	163.21.197.253
2018-04-30 09:25:08	20e95301ef81e0ff6d5955798e03245b:TGGtirECJcev5PCCF3cqXFIfU3hIld5D	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	180.204.21.111
