2018-04-26 09:56:23	6bc3948ca36247101bf3093b7818bdaa:iiXcrBSDe6dBRHsujd5ySEijrtcYuWLu	Q1:信義之星-中興里區民活動中心	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.211.241
2018-04-26 09:58:00	18a152b1ac3612ab2fbc703fbc2bb7d5:IwyP4ihboDrILvaFFQqLWVYZgzktONdU	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	61.228.123.118
2018-04-26 09:58:01	efa2e93a92fd60a416ab12c8d527078f:deXapCoIUDKZjaFJMWRJOwth7BBPW28H	Q1:信義之星-中興里區民活動中心	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.211.241
2018-04-26 10:00:15	10968d8b91f082ca730b4a51cdfca373:yszUWlsVl1skPQUTQdaUW2umCer1Ci4D	Q1:樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.211.241
2018-04-26 10:02:52	e04aa7987f40ed9eb094be8793aa9cec:4GNqeAo8fDMMAeaIAMDBZgch9ehnwbC9	Q1:樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.211.241
2018-04-26 10:04:24	bc455a04e7e06c19c65f57991a7ac1c3:Pwbu3ApnYDN5U1m6CqjjEGl79M3n1ujo	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	122.146.127.46
2018-04-26 10:05:10	9457aebb12f5647d6e91a319f50a6466:qmghg2ubUtubgFmOmbnp9ouyew2jNVH7	Q1:樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.211.241
2018-04-26 10:06:52	0aec36f168f5443d7f823ac3eb13f2f4:qMGWm88U4tAnnT47MuVZwAtFyTmMu6Kv	Q1:信義之星-中興里區民活動中心	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.211.241
2018-04-26 10:21:42	2c49cb0baa6d71aa64200427233e4180:IBx1u74rIBcejmUdVmGzKEpZ4qDLUoqY	Q1:公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	122.146.127.46
2018-04-26 10:30:29	83f0d3c92533c8e0d2b1fa2b64259b8d:hfZu519llnKqZoVDWZ18FOvx4mldsWi8	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	172.29.121.12
2018-04-26 10:31:06	12eb0683937904743b478afa7a019a89:Kk8nNzc4hINLjo8T2e0fOVU1ijq0T8ne	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,;	42.76.253.151
2018-04-26 10:35:33	bb7c4ddd7f620a3c8213e88152c57f8e:ThMcWNtxGEfmyT8Sg321onPNPrvM6kV5	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	49.216.198.44
2018-04-26 10:38:22	2e52f47b67e13d5969c0fd96901190b4:BRUQtM4dV8m2D3II1G1sKtSPOFM5sQqF	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	49.216.198.44
2018-04-26 10:41:19	0dac63a6542853182b47f19d1037f0c0:Gmdt7BUjJhkvqea0pRyyyzsFdxdQf1yp	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	49.216.198.44
2018-04-26 10:44:02	731a3fc1ff1ef81cc9c57bd0ea4c695d:YvA8rym0SvkrdZBqDphu6V7aZdkKRCCZ	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	49.216.198.44
2018-04-26 10:46:22	fa62c87bdc25a131a468544dc12d0050:gXJirC39q6USSB7Vzek8YKRXKb4gINfR	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	49.216.198.44
2018-04-26 10:49:46	04e41310f240add09c0f6bbd71fdaf98:ylCkFmGrFZIO37sYURYm9lMypIl7vmpV	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	49.216.198.44
2018-04-26 10:50:06	6ac200a8ee381acb30b0535dc953fa7b:6xqHpXkzpgrtt4u4vkEpUyMvM7SeHZCj	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,樂活後山埤一號計畫	,;	111.71.25.200
2018-04-26 10:50:33	1d89dea302ebb82e434b24b14396999e:wyLgzIqjZqjnzaiJFfpdAIw1KJF4ZmY1	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	106.105.178.39
2018-04-26 10:52:41	34a42a03d647836ba6d5bc73be65e955:0BroiPD2dQecjWn1qttspdnzCtWBRHwC	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-26 10:53:36	57fbdcb7d3e8e4632f8e56cc58a6e66b:cbmBVLpxHtLma0sHC3KWaCbB1L7xydlC	Q1:公園內建廁所	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.71.25.200
2018-04-26 10:54:25	7d18f79c2b81403f476a5bbd74e4c2dc:FWmbHyJrPuvYmfkOsvQDXUYslyNGrb3B	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	49.216.198.44
2018-04-26 10:56:35	4945c0a49f78068cc40b1b40d9d97dc7:XD7l7jRRcYJLOpnK9sYNsIOWybUEt3mw	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	49.216.198.44
