2018-04-29 07:16:23	9fe4f08770acb6a76b03109529e905ce:Pw2U7mORDqvLg846LoT0pQtx3j7jKwrk	Q1:活化青年公園,艋舺服飾商圈	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	111.71.110.66
2018-04-29 07:19:42	0207ea52966e28c9ecb049d0d5a569dc:Gio4VR9ksJljaGz9G3BOfdUYbVLJk7lx	Q1:活化青年公園,艋舺服飾商圈	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	111.71.110.66
2018-04-29 07:41:16	307c7ff7d29d051391f0d4e9f8261844:XNJkWoWtuJa8stN71eSCgtCPiYHbhDVK	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	223.141.225.127
2018-04-29 07:48:34	c44051b93b80fa312068ef14b488b433:DbA1YzYlqs2eokKyimXz3NBeCwt8dJQD	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	223.141.225.127
2018-04-29 07:54:11	913b5b3bbb3ad11d8e1ad0a36a9f9a9d:QiL3afSyK8LwSZZofrjQBVLeW5yVV1TF	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:54:20	400ac40eb6e146d3362a07bd3c9d5504:ITVqiZ1HCbf8Jpxp4PGcAKEdZIOTfz0u	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:54:27	89ee147edf0471db9064e729e5b876ce:1vGQfMK8mZK2ayd2Z002xmWwqLHV58X6	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:54:40	8d96733bce4fb5a46170b49d4c977623:hwzEzI1lGPRSeh7SN0QTf4aLax40627Y	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:54:48	073cc9b93abca26b7843bcafaa35b809:i6tj8S9jeiruay2FPIX04PlSAG54Bzyk	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:54:56	d872e2fcb322fe95da46fdfe592f7c5d:EOoED3LF1TFVKr7md3DgypTTMYZvrwgK	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:55:05	24cbb94f49465ed2d8d3852f37e46104:c2HurTabsyuqRP4wfMsb8XIESwOQny9f	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:55:15	a542b461988822c27d6dcce1dba32a35:mPYvi6D1w6uN6PXpuVva3h6Z1pEsxxxB	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:55:30	c5f345ab607e53705a6bef24f429be77:Ug1y6M7HIzyukRlIPsr8f7QCROI88eUH	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:55:38	b1793212f324dc6c7c7e37a44b5ef2eb:UVcfy89USH2zLU4GunXIPbNFHOROUAv9	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:55:48	8229be735c73f2d9cea564c37bce2e2c:ZU3jItmwRlXqXK2LorJ8QfTXhvWPmD8r	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:55:56	6acee2e67e29273fee67367611574cdb:gIvhwT9ERUhCm5kKSKZeWWRYLLbb6ttD	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:56:03	8ec567d9f92491fa06094d5de502146d:oJ9NBCVxQxhI91GVVWabbNJZeJQwmqbH	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:56:12	d37a6c17f66a7365f2f3177eaa513909:XyeIhAfLhyevAPaycFVSQfP0l6N9g7L7	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:56:19	f5975efb649a909aed5d91c2b0a16a8d:sPSBwq4YBDoLUXEMSxDmgqAcEonRPIC2	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:56:27	5f7c7bde0077fee4713c1ae7730cfef3:KBXaUnEMHwwCi5eOEcvCRt7mSTam6Xoh	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:56:34	7a6abc549fe9cc1c7dc0d6fa70620e3a:X89TOQtfw9QlCk9zaVjAtHEc3dtxQ4kN	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:56:41	b6e232d0ce1fe53100aec0018614822b:ydfZLw1iQMiOnGs50zOvmMxkWjlUlmej	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
