2018-04-30 10:17:46	3de0d841b999dc2be54a738f840a2db7:nS6kaemxJv6boisFif4xz4xY60NATt62	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.78
2018-04-30 10:24:29	aef6c5ccc5ac7140b5ac97776b4d8036:iGWyvh0XPfQNhfOUOHxd8FBUdWan2cnJ	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-30 10:26:56	b5fac663b3fbd5305f4e2a272b55cbd8:UF1Clz6KEiSEvjpU8o9p0exFcBB2hSpP	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-30 10:27:59	b359ef05f8b2f2132a5135ed303ab13e:6JNW8xgTRufjbcaSt2FsUMObKvvQFGHJ	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-30 10:29:12	cf3a07c470d9b94422e76309c4d9828d:nD3ekfuxsmhkBYYpfIqVaIyagKQRnKVA	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-30 10:29:17	0883aae7464d78964606a47cb6f5f675:QCkcsrSsccrMTZ6w8vPJOolRjkurRsYf	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	203.72.235.251
2018-04-30 10:30:07	84a3c20c4fc95e6c4516d8f28cab41b7:fG335YeYvNkJSJgoKkchVdjiykINfZoA	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-30 10:31:05	57be78da84bfa9f26652683d670ede53:BoWZElztC03e6tBANe6BwCgubhG7avia	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-30 10:32:35	1ec18c77346ee2c757f7380873ef5106:QMBLQqtyu74MRXGtx70iqsenMr7awJK3	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-30 10:33:11	e4205bb92a6a72c7f12349dc787a1d20:QV5kFEzyZuhpIfJL2LJCt6tb2nMsFgJJ	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-30 10:33:12	91cac13fc8fee22c5f6fddea3188ad3d:tWQRyJQ45rGa21TqGSfqD3T6AVvm4fO7	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.184
2018-04-30 10:33:49	4efee6321fa469e67aab1cafe57e6df4:tGLPbfO1P4deyiE3LBeIA4QwrQYX24GA	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.78
2018-04-30 10:34:21	c3706224c2e27b684002cb6a0a565af4:XdnzJSp07Q6t0ARzb3VF2p9PLsnuND2E	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.184
2018-04-30 10:34:25	2526c3fc4a0dceaeda3adb6d398e82cc:HC4eQOv1sQVzzELKJzK4Ebsgmn0hsMno	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-30 10:34:34	8c8252b019c319ee38fa30f6906c48d5:v3SffHXYZOzCzWnnrqBHWMbe1sPlchZy	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.78
2018-04-30 10:35:47	80374ec0d6f201867d5ec2c3295e810f:A0bwk5aPeqCmeuVsQNp7qMCziceb9NoG	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-30 10:35:47	94323558af8328e17f598ac091fb7a7a:b58BDVKbFzagtisFASPFh4m0Tn74ksDA	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.184
2018-04-30 10:36:36	1c0bae3878f817ce0b0eab8dc84c0b3a:5DoDUREQBm01AqJhPKeDGmb4aRu8nzMP	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.184
2018-04-30 10:37:24	abe2102685ac9ecd8f941b56ead67491:WauHgxGNXXk746oJ1RI0imXMXoeDbuoi	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.184
2018-04-30 10:38:10	3077f8da6dd2fc8a999891a912134820:B3qZhPQmyHSQYDACUR6NY5jEiRborsqg	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.184
2018-04-30 10:38:57	fa97cebc2f3f94f0b06547c828492a61:cnEGPAw6vGGYhDqtpRb9GLerc6qikAZN	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.184
2018-04-30 10:39:44	ccfb9875cd96d6e61a99a907351e33d3:pEOrWoIFzPhEY2xcSrdd14jqTADU6Z9Y	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.184
2018-04-30 10:40:21	a238ae305f678e26943c16c23de2cba3:9x63d4DC0l8uOtuJHkIKKcNLxNXHdv1f	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-30 10:40:51	8a2339588c62694cae64f8590be991b2:TnwFhLQ4l4XEKSXJMHrXhxtQgGKiADkS	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.184
2018-04-30 10:42:14	afa4dd97cd8e5fc0a6cbd9f6ff6e4860:5l4NSYHu2hzOQJPLIKYs6RWqTbCOlm13	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-30 10:42:43	a658db6dfab2044e2e0213994201eefa:8RzTtGK9oMJGWhgwsp9bjNc39XYfShnW	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.184
2018-04-30 10:43:05	1b4d8aa6c0d8fc61e5a3b2744279894a:3xybhRNDXqrLRKQLAp1YJMwgNXG6ruF0	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-30 10:43:31	39f0533d68c06df92a21a711cf849c2f:Ea9I3X7MPcMOHwubiDGxQdUTYsPaRSYL	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.184
2018-04-30 10:43:47	39870f7e19c5c28442380007cdd93017:qlH4EirmsfS29yE13elQBjdJlTXby2Cu	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	118.160.49.59
2018-04-30 10:44:08	aceecbe940cb140c135d1fb2cf8bcf7c:OZM1lrNfzVEHUwyH8eUG8NuTplQaEUMD	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-30 10:45:15	f0624c826a22276efd6d9c56c32865e0:IxBF8lHlliswMpS1BGYzWP2tk98vflia	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-30 10:48:16	de7f71115eb44a8760fcbaeb015343aa:2GNxrc2RHxESR7frjShnpv97UAs858f7	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-30 10:49:10	703232a7d29b40f4fbd019d29d97552f:oFPeW5bLntZ6LiuhDjRbiWOg40baU1vm	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-30 10:49:54	63e54679e4c2f28c1f29d1c1a7f8dd8f:eqeRwnyGvBVt813OlAKacxdJc3cgQrFd	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	163.21.222.252
2018-04-30 10:51:18	e8598bca05265d391504579067b23d88:h0ihZE2Mq0q05oQLKOiFYN5cwvFLOp8u	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	163.21.222.252
2018-04-30 10:51:30	02f3d62584745ede32dfedaf00c37061:FMFfeWg9k7Vwk6PQUaM0ZMLtHJukrcID	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-30 10:52:25	9eb4cd67ec904b332877765f63e0aa4d:G9Vhh7qycqgglIXxnnlm0MZK72VNDz7E	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	163.21.222.252
2018-04-30 10:52:29	8d42ee8ee3cfffa6c5301618a4746684:fHNurHTxZBm76YxMSiSq9GJdDMd6ONaM	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-30 10:58:18	979db0e71c7941a4b03a6f55bbd96b07:hnQ6mX3s1ntRoCxrbdGPYeuzEd7jGsUP	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-30 11:01:05	52d24b99159d4c3128ab28a8ce8c6635:INBEHSbpIJXcaVJ1MSfpfjteejeK0eD0	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-30 11:01:59	e510b4cadf6b7c9981eef079c7a9e180:EzNN7t9KZr2jnYKn1cuD0bcxxaFNAJxO	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-30 11:02:22	df691807994f57fb0afbfb55d5d25b71:R7qaAh4aCAWVyLZcLN97IWz6Ov7SShQZ	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.175
2018-04-30 11:09:46	5270dff13cc528efa355608df092c1a4:xnnw8fcB4j5dVKBuxciuuOui8Qb3saKk	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-30 11:10:03	a67e081011c6381b202e498d0f1b1989:1JGJTfTplbHHgRvCs1iAqv3ah3aENDjp	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.175
2018-04-30 11:12:19	a6627059fd6f9e41442e1fee6debc315:IQUZPWjIwbfndc1pMV2Sdj4pOtNZ7uWy	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.175
2018-04-30 11:13:27	bcecc62c59b74fca27633b77f0490fdd:OavVHTfIMbrIa8qsNEBJ9b7FKIwF0uVA	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.175
2018-04-30 11:16:21	a0503b2b83f7f4338bd051722c222511:1KNw2GDaLh4on1jaHHI5NpjMtmsBiJIe	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-30 11:21:26	9ef8a35b8ec260665967d11dc7bb4189:eyBJdpVWDfZKODEtJQcRXOZLQbDOpGQO	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.175
2018-04-30 11:22:42	1e2846faa432549cf6be5a14d2cb9f00:66gU3k6b8ZhcNQGtYZ5CYDkzb6PVBxtv	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.175
2018-04-30 11:22:50	d151ec499f1535b865f519ef3dd67573:SMeeMpjhGqeHmX3AIVm5lpuW1yQ6JTw6	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-30 11:23:47	ba99659df547047996c745b141587014:bNkoDHHHJOzZHfeZMhCV7FLS92IstV1Y	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-30 11:55:44	2c06e2aed375986703d8f63e50fd289d:fmmpvcYyAKMFLYLwA69X1AZSSFCbQoqj	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	110.26.11.50
2018-04-30 12:43:03	9b601dac75804f3c8e9d0f40ac536cd1:4LNA5QLa9cOeCXszJJJ1apoQvewcEHOM	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	117.19.193.30
2018-04-30 13:00:27	42f665b0e88c0d35f68a78bef41d66b6:NOCiZZ4gOn8MlchJG9QSTFmJuUNVSfOE	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-30 13:04:23	0d7b2879195691e0dc1a041aeddc8666:OEq6aAgIQhOaoPQ43yhZyva1S6h3qvR7	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
