2018-04-30 08:37:23	54238f772231b15e4c0abdd20f252825:XzC2ZXco2gE0ZJQ223zXL7rrDKwYbT0Y	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:37:33	10177370f64e252e36caee85a77ae2cf:OkoBwbVrjKiydpXInxaG2Thts8zsCA6n	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:37:42	f4077f899fe61d1fc65f01a35c7b96c9:mHemv81pouKRMZXmlIkhnNehgXsPfjXA	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:37:51	c1ee457757e98e8ac7ffd52d3cbc5b99:Odzeio71fBeLxB2qOOCKb0cTyCwrWNqO	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:38:02	22afc47472190c38664b74c14e786792:HZVIYtoeusZGr7oaK6WzsEjcHN5eHyJy	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:38:08	60291af0d5a5a9a7fb071889bd9b7800:RaOF3XXM00SGEDhJ6imy1TaJ1EF7X21Z	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	27.52.4.218
2018-04-30 08:38:12	414bbaaa052a6a2bfbb10869861922d7:oYAJHu75OK8jcJYM7kxiUOgbhqDy93An	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:38:22	19b3367b185376d1c7fa115e6415722e:YLS6U3kaMjWkoftejHEiY5ae88uLhhmn	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:38:30	f53e4aa21e9b04c2006d356e584b6745:oyhW5zJQGq2WGqhubCSsVtxGWbj9W7Pp	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:38:41	7bd09eabf09260ffdc8d1e3c6934a6c7:o59dwrK0GXM6XueZMrnbQEvj1wYBp2wJ	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:38:51	2f6aa3561edb7866e6797278c1d420fa:icMq6baU6ZO0aJSVMp0zwxQb6vTaR7ws	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:39:01	607d72840675a4e3da0e9c4f122ffb17:UwPlDhKEF3NYGtN63a0C8vO331JB6I7e	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
