2018-04-25 08:43:14	5f4e7934df148391425e66172436aa76:cPAtaDpfoGHbq6s9aajkOkTQ62mtyC81	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.161.34
2018-04-25 08:43:38	fc67184860c4a6480fcf6a893651a6b5:rCyBQHOCU1a4gdScCGSJiWrQkPLUOErM	Q1:唭哩岸打石文化,;	101.14.224.27
2018-04-25 08:43:39	169c48f8aa574498a2c9a87ecc7e9317:RnFUNgJrOyuPkAH4eLsxljPMwHHXt1ra	Q1:北投區環境資訊2.0	,;	49.219.136.197
2018-04-25 08:43:53	db16c040ad1c7437ca92a0b912eeb62d:1NRX056egi50IwdUYmPkhzSqcQedsHiX	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.137.171.142
2018-04-25 08:44:22	08bbf8581f6ece266d43ea6bfc348db3:d0eaAA6SZz6kxgAslUVHgPVmpOUfVcxF	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.139.206.166
2018-04-25 08:44:38	eec2b8cb5affae1681b2d4752220f3d8:rT83wn82oEN2y8HCQ9XTVZlXx9pppibh	Q1:唭哩岸打石文化,;	223.140.152.219
2018-04-25 08:44:43	800f59883c3d8e4db27d48ff677a4802:HXbbmK2NxwSyxUHshcoAZmWnsZvxxOOG	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	101.12.146.114
2018-04-25 08:44:46	4b1e6b73220047dd4c74d9550c7cad69:F7tMMOdhm4MCj9AOE21cjzYNYMeZbfUU	Q1:唭哩岸打石文化,;	223.137.206.147
2018-04-25 08:44:48	aee1b1a5de7d12a0da6ee3990de01914:ozCQu6GTAAGo4rUcJ1Hip6LDXLriYzd6	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	101.15.129.140
2018-04-25 08:45:24	02009c7ec3d47b4afea553ca0f9fe2a8:u5M34K3zwro5cmsW9s0ZXTIa7rsPM4Cl	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	101.15.163.234
2018-04-25 08:45:47	36f9a3b84c8b6e99f442b1a4abf51818:5CYiRdADuwr7wYYBamUaL3a2dfezM5KL	Q1:唭哩岸打石文化,;	223.136.105.148
2018-04-25 08:45:49	602574d274aef829ea3df53c29f43312:jL86LSa2pR9OosEku0hmoAsd7s52rXgg	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.191.122
2018-04-25 08:46:27	b62eccfe50fbcc58ac3ed170e28bcf1c:GESuI9PUnlTWNbZZXkqIrzl5kJ7wejx0	Q1:北投區環境資訊2.0	,;	223.137.62.198
2018-04-25 08:46:42	aed8d6c2c64cf987d6e2014469f73869:Z1SCJrarquoVF8ppeyXSqWDCjVwC1er8	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	101.15.0.6
2018-04-25 08:46:49	54bdc087f3fdfdbd64ccc5dd9f923e68:FCysm3Y2DJb6ScqpteSjRGacsq0vl7dJ	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	1.200.202.30
