2018-04-23 00:17:42	8803e6ea1a765f59a460c74865b669fc:pY22kYLz9panyFJBFrbo5fH2UVyOTddd	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-23 00:18:51	b56e606bcd687aa55dad2ce834f4a882:xqqa4neUmyJDvrCFX4b91TuD2Rr7jmxP	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-23 00:19:56	584dbd402101ac18c9fe043dceb31e1b:oICJPKlC4bUcQIJbI57IlRzoGy0dLCMW	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-23 00:20:58	6ba73ba9c895729653d839cd90874266:zhTZ81uVHwY0Ai11hkjt8v8yiE8PNEhk	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-23 00:22:23	d748b84fe7d54938baad0c5a53d50f0b:ZS4kQQ75Y2woEDIFfXl5EphunyQTxhdd	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-23 00:23:16	d36a81eec903bb36db2a315cc6542987:D7cs5GRqIn5rnMORR38BV2R3mWGvpf7C	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-23 00:24:14	5748cc6b556aa5942ef345764c3e7059:kTLCZ0zvkEaWE4wJXYOoxjb9uPoLu35l	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-23 00:25:26	a3aa2ac1803dd772f767c2de3684a299:s1uvcezueCY2iHXPq5KmnB1negJJ1STv	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-23 00:26:50	5620e2ac9ea9f340e35c68f34d0d48bc:RgDJXmz5nwaZYib4b3t1BXQ3m99dNSB3	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-23 00:27:46	7e91431574806c1e7a7bd36f7d8d65da:Rh2iiu9i6MYKGQitkfMU2bzaB7vOtyRH	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-23 00:28:43	1912b75f4d83f3aedc1aa8971759e6a4:KPT6WIVinixrgSj16Jqb9egndi6DJCqE	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-23 00:30:07	2a55a0368e65a0800db437676eef94e3:F2pmXQcDSv2oZA05jYoKsBU0mzyawStF	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.98.16
2018-04-23 01:11:22	0e0fcf1488a66dbb8d55baf3c360507e:wncatmkiPNZNIBjAXD3gIOHkZTOaKZba	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	36.238.115.96
2018-04-23 01:12:37	12d183d93a6afd191627585235dfff75:6iMWqzLle3mgjCLqnUM7YsWB5J4AFIOv	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	123.194.108.65
2018-04-23 03:56:39	c2553466a99f84cc4ca8943cdc7dd464:70tLtIzvEpevtuaalWR8D0wqs9ByouY1	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	115.82.99.193
2018-04-23 05:36:41	8fc8c96d338f2841b5b855465a82b290:VEK2AHPZKJ4aM01g18cqpcLR8NSPEC8c	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	1.160.30.251
2018-04-23 06:54:11	05a22c787166d0408cdf1285ff8c86b8:qzRouypAHqO38VjFocnMcjXnbx39jGei	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	61.230.201.17
2018-04-23 08:34:31	045a26af813f9efa3ea91b991da17ddf:LMzk7evUNeKpeiLoGHWK2Y85unnI26Xt	Q1:綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-23 08:36:54	1dbb8d4101d4e43012c46dffb377acda:brKvhjzMNoGe7LvgzwXBL7OyCvL6XPKp	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
