2018-04-17 09:33:58	058d721126d13db2ed203ba389a17277:A5vTtedFTOp6xRSLrc5Vej6AEwprjQCJ	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.9.123
2018-04-17 09:34:46	f1dbb6cc0f1da0b43c00258c45194304:Q6ncGesPLfEm0hmyU5bfntJZ2IyEUL44	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	103.226.215.188
2018-04-17 09:36:29	711aceeb7cc78be3e9f9296033726037:ZenNRJC8krpnm2wcyWpCyZ047Y4qOxDQ	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.9.123
2018-04-17 09:36:35	f9130e4f690772dfde4ec4ea63c44372:JImme7Lduw9FrUhVxvtj0afcXN7CRexl	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.183
2018-04-17 09:38:00	d5b94292c04a46c0eb4820799d90e565:1uHmrIkfNpLnwx346knPpastdnG02bCh	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.183
2018-04-17 09:38:03	e5686040982182e7ef281195d13165ce:nQugs784n35g4thpGZkXszUciyKGJHle	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	117.56.51.187
2018-04-17 09:39:14	ccdaa504fcd3a76e035f98ba7c2f3489:odRWHogzrWRQdxExk7EHMSlxA4asDQwQ	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.183
2018-04-17 09:40:45	d011f4d55cb49626622410c7547d62ac:B4Tl15Oyx8Oi1bDJ0twtH0ug94rvv9Au	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.183
2018-04-17 09:41:49	c7bab98335db284ee1c805236b995214:vXvsR4eTcUXyif5vrzAUjvKNIAF1NyiC	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.183
2018-04-17 09:42:26	f20f89a49ba28f9df3ec3a38a3119732:UlVHja3uUjtFwG1dEIxwFdT54KkjioRf	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.17.59
2018-04-17 09:42:43	fce66715a75ae3d57ab43bd835884000:zaLGNMoNTDfNELMaqMbJRNvVhDYK02Ti	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.28
2018-04-17 09:42:58	793452291f042120c290bf7d9b1a1bf1:NKA4OhFQZHPf7PlvRaIueIPWRZxmBgxh	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.183
2018-04-17 09:43:13	845654dca698d0b2708abae949c61c93:QoZZAm6rxQ7ojDEyAohB41HrfJf3JsnW	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-17 09:43:55	9398219ed3da9dfbe501c15b8555b88a:tNlELBnPL7QYbqMPFOztCigOLGHQsdb1	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.183
2018-04-17 09:45:53	a77b3a26a7b0d9d75e72809f49c91102:wfclyugPgceGqswUBDrio0ddZcKmFcDP	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	114.136.73.173
2018-04-17 09:47:00	7aceb3e4f644e541f51e0a0f0454754c:hWuEAsTLf7Bsr4WaOCAtOaUN40pVvcQ7	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.186
2018-04-17 09:47:42	966a8bb9113936a40228a9e712c464e4:ykRdsuH7YYyyqQVEZd1aYHr7cRJfemOe	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.23
2018-04-17 09:47:44	249e8126f70f185c206034687e49edb2:Pyq3mwC7ixzY2nuIkJnDRUr22YGg2QIZ	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-17 09:50:13	54311734f4e2a880edc1f1cd955f0be5:IGyFieGycTZ5GzSZqhQukrWRsdxfF3xD	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-17 09:54:15	98bea88a79901934005257219d938375:c0ERosnrK6bC9XQY2VFJnCUcVL6hABlt	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.206
2018-04-17 09:55:10	a4ccc8374f8f40f945d8f533c5837125:zxJmZ60Q7R3AS2n2nkHH1i68cnajLdH5	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.9.93
2018-04-17 09:57:30	fa8fa6db79d3d8ad8cc93e923752a298:0Jj3ZNkahAp2JAOi0kxNzMnhITc80Cup	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	101.10.1.60
2018-04-17 09:58:10	686257e93c2d3a93c7c12178e37f8a12:EaSZJyNH2ZsM1rZina0InqINRLyrlpw0	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-17 09:59:07	ed455b38990837ffb4ef3e360124c209:7cdeVoQqG5pBN6Jg8o7qXcPjsqTVSxis	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.24
2018-04-17 10:04:08	990ecabd501fa8d875304a341f28f4a2:rzZNJCdbZ0ziD73r9FuRlDreKqlySMEc	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-17 10:04:39	16f3043f251bb24e2f4267707ccd231c:fTVYyG1Sa6mu5DizpOSPpvlZP2OYKhvB	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	114.136.73.173
2018-04-17 10:06:53	3ab4dfd141373919c52818750ef5ea3f:xECT3U2g8p9qMRHFIWRRJbgBHxEyVZNr	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	103.226.215.188
2018-04-17 10:08:59	6c81a8b5283270a4a984037dc85034b5:XE8iDVUOEV9ps20pLsoE2atQAfJYLmMG	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	172.29.8.212
2018-04-17 10:14:01	67296416097b3f677218ffa3a3521f87:AMj771kcXBmexB57yz2yBmCWKgHgWR2E	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	223.140.228.9
2018-04-17 10:14:47	747dac1d1f203af29c531c34cc938324:f74nVqajH5FJ9MC0GumzaOTPca2Kl6kY	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	103.226.215.188
2018-04-17 10:17:32	9e37280d30edb0ed60c22d9d09267366:eORKmPBbxV6z4kLMCh6UeuhPoGJQc0Zw	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.212
2018-04-17 10:18:09	e1773444dd85e80bbb9bb95e228dd9af:2VztmyUAAjZFIF84wkqxPVm7cTsIkZqV	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	172.29.9.197
2018-04-17 10:19:33	2fb39c36430b00630552a0b60e166e86:aFcHIKXUnHj5J9UisrxKxSmcJrW1vFUj	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	103.226.215.188
2018-04-17 10:20:07	10ab8c995193c2ef9c1589de5b0fd251:GJRxHGLuoSZjcbNxCQfYosdLr539hrwW	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-17 10:29:10	ac3f90b15c7371b5d3c8c0ceb3e28cb3:CGKMMXI13NgEBUxewII69mHp99VJeesK	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.140.85.50
2018-04-17 10:33:08	259696903413e21d0b334a6e57e8cb93:5oIFNiBYZrxFVSOyfVHbfgzE7hdQGDtV	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	223.140.228.9
2018-04-17 10:33:37	6f103418d7b5fb070252a25e0ea41c39:U02DeY4FG5w42w1u5iiTRNLU751JE2UT	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-17 10:34:38	6cee37f113318c0334cf2c2ebc5dec61:gtDOiI5CnyycMxp3NQpFDKQJ8E0KnYUB	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	223.140.228.9
2018-04-17 10:36:31	aabba574d6b7b600a098bb3ea3fb200c:ofv6Lh7SZF3YEhS7hAoT85PYDDl2yByH	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	223.140.228.9
2018-04-17 10:38:26	b937566b66afb32a0e962e2e65bd5ffb:itpkMTez3twZJNLS3ZFnH3mjlXYXF9eW	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	223.140.228.9
2018-04-17 10:39:53	d4ac76dd885587bda9062daf8f91cc9c:Ba4hJPh4BRjwn8gn7vu5HD6L5MfmwxQI	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-17 10:40:51	32e2fd7d50ce3f6ce547531e01aeda39:N412Hg2fyTtWhFV4AAPTJz3lmmnYf9AM	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	223.140.228.9
2018-04-17 10:45:42	398a2e3e5e0a3d4b1f7142aa0c75c7cb:noNkqsH8MPAGcNXBsyw6waklzp8gxyQw	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	114.136.73.173
2018-04-17 10:46:14	2daf9bb328983383753c2720955f4f53:AB5WVYMLiu1tQEPA23TAt1HRPhQxZ4jS	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.206
2018-04-17 10:47:50	818126a10699d318a829c7048c024fcf:SMzkfKVDDmD3r57vdTzGSBFqJTIuWWyy	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.210
2018-04-17 10:49:33	a2f86ad1417698b8e30539382a04ffa4:bMagHp8CT9XNKkHjED2SZETswMQPKHJ3	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	223.140.228.9
2018-04-17 10:49:54	105a4cee60bda0249fa94e9be08e8027:5j3bG6640lWLRfUWJRls6tof3gIV7Pcl	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-17 10:51:56	ab7d4c425f876ee074dc280340fbc8d6:faaAiTadDcJz1xS3vu0LK4eSU0SnAP3Z	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	223.140.228.9
2018-04-17 10:54:08	852660cbe5379cdcf1524a78b81f334a:5o3ivgTteHQamcvFnjn79RcPkwHwRukT	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	223.140.228.9
