2018-04-19 09:11:04	3a997fffc54f296b575479b02c8b2d0a:h4OS74JduzoxtPlj7orAF29Sj5Z6TZ6R	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-19 09:13:21	f9f9cffb59febfc3c82befbf583666a9:i7qd5aOmKBcN0RvgwPVna2kRo8d1OXis	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	172.29.114.102
2018-04-19 09:16:08	ac2b319ce76d0178a9839013e8a51081:FHbvXxGtXK3iG7E7uorDCpbp7fkSIJqg	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	163.29.251.149
2018-04-19 09:16:39	f388ba007d18ce8359c3c9b76a95f184:s9WYtxe7IhpTBPIPTSMUoP4iw4PpHC0F	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.85.94
2018-04-19 09:18:13	7efc30880f1c6c60079c28a310315fb1:9EN7HHI0QOIvzPkDJspYMkh4znVSnUbq	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	117.56.233.181
2018-04-19 09:19:07	f7ee92cc163e91d84ce05b38e060fb89:a3nelUDMjbDA5MNkq67Nf2mqJSZRXnK6	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-19 09:20:29	dc9956d67214d7308470b2f276847e30:0ak1q3H7MnqHth2MP3CnDifhaLLXRWpf	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,;	110.26.34.216
2018-04-19 09:20:49	d1bfc60467a5362355dc60087aed6745:8F9aTMLpQqS13FHGYiSoDHV25uMkE7yd	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.136.58.20
2018-04-19 09:21:20	592f0558d7679307b5588df024f97c47:NDJGJWbPADvvzzB77ZH64Ppaievo5FHj	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.136.123.207
2018-04-19 09:21:44	d823a5bc2486d37bb45f7001c0073633:t9kazlYzwvDJToyXhDNdGZ96FmZ3TXPg	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.85.94
2018-04-19 09:23:23	4c0515b2cac17d8f6fadbf0642be2d33:HiSSVBNWWTxxNjxsm7xzyqzccVk8vGlW	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-19 09:23:41	0193c91a78521964dc7d558f139a7c08:JpIoDQmDKfs5VnGdxhWj1Bprhakp1lGh	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.136.228.208
2018-04-19 09:24:31	15d3e1b84989517af978afe93a133ebe:1MrPfik7XY1r35uY3TqffzQU6jvNmBXx	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-19 09:25:34	99c83b103242e3ffd48457de18dd323d:FdkSF9WhElmDXQBLZ0IXizX1JQp9byVp	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.85.94
2018-04-19 09:25:39	0f1051b7b000ef39edf198f21dd5d622:ZtCWRMSNQsQSgMhiK9EpH1MxnbBNPgOI	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-19 09:25:55	915f96ff2a4389ebc8f23a5c7e10cf5a:RfADj6cJbcUBY7XgbYEOxsZhmaHvxrIs	Q1:信義後花園-松隆映像	,公園內建廁所	,台北市新亮點最長巷之前世今生	,;	203.73.155.178
2018-04-19 09:26:51	f2eec7ee11003dd9dc09449a3af0b6f7:dHGxCM5oe92Zualc4St5J7cy1qSB1lAR	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-19 09:26:51	25f98f0c0ad2dee40c20940ad9ec2b54:xxwcrcAq7JGhjRfKUEkk3mkmCgnuF5sW	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.136.228.208
2018-04-19 09:27:07	279b185d39c72011b957d82f8ab2407d:gL8L0izfQXb8eY9YhJ6beO6BW2kLyKCP	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	61.230.16.187
2018-04-19 09:28:29	eb45412db9f9116fb2f555ece9f5697e:OkPvE1PicdlGJNlmYbGtUekcD9gpCNez	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	10.24.1.11
2018-04-19 09:28:33	6af4dcb4a5d5f9b8fe83cfe473a392f4:MyYPhbnXHYgDJy0gizmtCilJEEmAMBfg	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	10.24.6.10
2018-04-19 09:28:38	b1d8fe66266c7cce9ee0e01891233443:Eq6FuaIhiicghckmU9vr85HvbVfajzTw	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.136.228.208
2018-04-19 09:28:57	2a36cea9350cd2b701ff13276c40a48f:nAOjSHk2wIexO7bEEmYB7vc63hFm7cpp	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-19 09:30:04	248f62b7e4c2e5d08b60a3ffc7785652:m6mrQM7K6Un96QVGVRSYwgToBks55kS8	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-19 09:30:16	24c97031fdca2fe683d96789d103252b:hzvsetKIPSsgKEPlll91L4Ivkf0AKHOd	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	223.136.228.208
