2018-04-23 08:03:07	81d0556f51d6ff9fb360006e610f703a:CC7ySdGSFHZWWSN0qKtcyoROyglhH60N	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	114.136.53.6
2018-04-23 08:03:12	f290fe0492c51173abf724fd3b4a5533:NauhGoOYgzZbf1UXb64sZuSY61p1JLOC	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	110.50.144.130
2018-04-23 08:03:16	abd3cee372e58cf9bca3f8e9d67e4cef:YbfrjrVmo7FFUUFr41US7rQH120oKIi2	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	39.12.101.246
2018-04-23 08:03:19	141143d0745b7db29fb56ee15da3badc:YFJh0wVJPYodEUZirI4vsgRaOQrZyMx6	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.13.34.124
2018-04-23 08:03:19	2a7faf46ffe1bf37e1ebf94f964bb034:yek39mQDVW9eGCiFMVNAc9bTUxnE6N0m	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	163.21.222.234
2018-04-23 08:03:27	574ab52298991f565f4b5b82a60273b8:yry4iEMPxup4h3PUJpAs9LexTqswKPKr	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	49.219.102.249
2018-04-23 08:03:33	72dd37edf3f883fe58a98f37930b7472:YvMgXdRTszRMdp7JUbnAAmiUFE4ujxGo	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.203
2018-04-23 08:03:41	7ec623da5df34f4566baf8f27dbbaf75:ZXvkB7kh4e3JR6tl2ilqFaw57YF7Z4XM	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	27.247.131.41
2018-04-23 08:04:00	c499013a4b9ee56917bdf54e14e4060e:9f9dISE9UwU7GfMTtWWAALlcPVIbARxm	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.139.168.80
2018-04-23 08:04:05	b9f88da7cb4454dc6c5528c7aa66ade6:jpFkVvLL9VJRl8vxKi5rHNLz1dw9U6N3	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.12.50.136
