2017-07-04 09:23:52	ff2b1b2ed5b05989a43245aa97cd4562:Qthz2xAfXlKFor40fsnKzJPciaby1WDS	Q1:信義區方便計畫,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,象山好行,;	210.203.56.96
2017-07-04 09:24:41	0ae7ba00b442aaa0c24aad3d21389bef:RhxmaTdrpaPXyEYgrngT9nAY0QhwNofn	Q1:信義區方便計畫,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.120.140
2017-07-04 09:25:49	50a580f919eb43146a17c8b3e792c5f8:L0hdLtKtsaCf5Ktp5UFYg9ddnm84WiBF	Q1:信義區方便計畫,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,象山好行,;	10.24.3.6
2017-07-04 09:25:53	49a95d2a3be03c23d8d759f42c893bdd:VALBZEASFn89hyzA2i1FgVbU41d3apxV	Q1:信義區方便計畫,信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,;	172.29.120.140
2017-07-04 09:26:17	73573a87cd6be0e9114c4f67509a0725:mAfgeEtubHhua03QNbTFiCHcjT0fY6Qg	Q1:信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,象山好行,;	172.18.25.66
2017-07-04 09:26:52	dac073677ef77e900b977a1d5d0a8591:pqGMrwv4qjvoRMEOLYYtr99I4QWmH7b4	Q1:信義區方便計畫,友善樂活社區─公園再造計畫,東大排新綠徑,象山好行,;	163.21.25.4
2017-07-04 09:29:01	9737588ce1dea509bb3362dff4df06a1:WTe45zVYT78LIflQusybBNDfaKZh32wO	Q1:信義區方便計畫,信義區四育區民活動中心,象山心入口,象山好行,;	172.18.97.73
2017-07-04 09:30:06	c5a28d59ab7b99a00dd01c47e85d60bd:oms6jX5mV07apNyju08Rkj1vlsZk1lu0	Q1:信義區方便計畫,信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,;	172.29.120.140
2017-07-04 09:31:02	11cdff16743b0b200d3307c3da443d24:r2RyGHRG8KPALCdvQzd4klYFWGlsXo1Y	Q1:信義區方便計畫,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,象山好行,;	172.18.25.66
2017-07-04 09:33:46	e0ebcf78b519b6b3e42e6e5383672e87:LyRtJIOTzwDwz7dxLBsh6EnCyCb2BwDp	Q1:信義區方便計畫,信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,;	172.29.120.140
2017-07-04 09:34:50	0591361d6569ba48ce4214b0ed90e812:U4GedBIYgiidoG4GISeQ3odNqAqVroO7	Q1:信義區方便計畫,信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,;	172.29.120.140
2017-07-04 09:35:14	6c72bb09dca830e5c7ab516c8b4ae14f:lChGuzLYqZETtuHIle8m2Get92BqvVp2	Q1:信義區方便計畫,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,;	10.24.1.10
2017-07-04 09:35:41	1c70f58ea832d006bf2d67219f22cf08:4JKfLGZsyYOQ9cCVQpffdLJ7265epLls	Q1:信義區方便計畫,信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,;	172.18.25.66
2017-07-04 09:36:05	31b4a75d930f06e7b89ba038fa167031:K8xBbcIQyeCNoyyh2HTZYflOAzPWx4Y8	Q1:信義區方便計畫,信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,;	172.29.120.140
2017-07-04 09:37:11	3dcacc3446d27fdf046848ce494f1a51:KYOaEGl32ai9cTcpjMLudR7IANp4dNVn	Q1:信義區方便計畫,信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,;	172.29.120.140
2017-07-04 09:38:51	3effb06094c1c6ce8026aceb677e1c06:nwLpLxOAmNpe03zb8NQHKvUqYCUgHyZt	Q1:信義區方便計畫,信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,;	172.29.120.140
2017-07-04 09:47:54	767a382fbfb1d740c394596aa36c0673:m5b7bSFGYlaZv0ypiL6vuYvoJ9o3DMUa	Q1:提倡綠能香格里拉作伙來!,東大排新綠徑,象山心入口,象山好行,;	223.140.102.199
2017-07-04 09:48:40	920ce7fd1e407603b80ed09107e05bb2:EoXDo7EWZ1qy567b1BO9gknmweszzTkz	Q1:信義區方便計畫,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,象山好行,;	172.18.25.66
2017-07-04 09:53:30	cb385e660b98b8ea730554e832b1b9d7:sJ81C416fVxcgozlxsSNbhwFGDPco2oa	Q1:信義區方便計畫,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,象山好行,;	172.18.25.66
2017-07-04 09:59:50	60a6b7a41eecbea7129dded640de2c55:aLzBqrCUVpguHrzJ9AD1sO0jCkjpR4hO	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.120.140
2017-07-04 10:01:23	100cb041c6e7ce7cf9f2894a77498dc3:6xDc9xUS9aPVrVpFhzKTH7szFph2iyK4	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.120.140
2017-07-04 10:02:51	dba6dcd2e854c03697f3f0bffda8dfb3:OUr66tafiYJtv2U2KqAvBlqaQ19ye8c3	Q1:信義區方便計畫,提倡綠能香格里拉作伙來!,象山心入口,象山好行,;	10.4.9.60
2017-07-04 10:04:08	409c4b5dd78bbffaf027e0faae9f01d3:A5JqGubS0LI0Dv41ArYh0u2yGciNc5LU	Q1:信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.120.140
2017-07-04 10:05:05	e82d1a7d5dc65b09b9b5c8382fcbbdaf:mTO8hm9H0LgHYsJOPGkMzbW7zvZmXLkA	Q1:信義區方便計畫,信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,;	172.29.121.90
2017-07-04 10:16:59	6cf987f9aeff380abcddf17a73bc70d3:3Z1F0d3ZtPQIJm1qADDLTmL5bluv4lfk	Q1:信義區方便計畫,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,;	60.250.101.6
2017-07-04 10:17:04	ac85072e489ebc0ce19ee96bcc7bc47b:uOs9K1RY3ftWOSYHf0D6SyUJOA7T6IjT	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,象山好行,;	172.29.120.140
2017-07-04 10:17:32	818dabafe55c332452b3bfbc767a85b0:zZs6eI5ZHqDol7payYZpqHwndR4LzEKt	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.121.69
