2018-04-26 08:28:40	81cfc046ef3ccc702f2a2449a259c2ec:8LdsNGZWgmai3ntwfx1ZUHGE2i6uDt5D	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.150
2018-04-26 08:30:41	c3b72bb0b39757befdef0bca60b9ea20:thVHLxeHof3C9l9D9GDsQFz7Ra4PWb7q	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.150
2018-04-26 08:32:08	824883aab7aa84ae60787c834644a315:lwWpm6WXehdtuj8HMHMT5h6DHfGvRWXT	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.150
2018-04-26 08:34:46	d1de497feefc32ca6421504b08fa6085:FKQWRjOzytrUEbC4Ga9LWeaI2eYpx56U	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-26 08:34:48	70358967457b56b042c94b1a73b97377:vkC3rQiu6Ab4xmRRN112z2w0XPzikQry	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.150
2018-04-26 08:37:05	120f558af8521300f19bb04bfa3dcb55:DX37LZ3NO39j1ABN9mbMnguswqJ9GLQ0	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-26 08:38:28	e6020c17c56e56a0b3e3a4fea1a5d50e:xUCKeYa2Ws5cNGJGH6HDJ4I57pjwGbWp	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.150
2018-04-26 08:38:41	9c5a35bb28c9fb4258010bf8c76cc626:4gComUChFfEudAsdPM71GGe65zlFhOg3	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-26 08:38:55	5174773c72553d0f01dda28c6d07ca4a:mznrhpJV9nP1mVbIf0lRcFPCxx3GkZgj	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.108
2018-04-26 08:41:11	21dc09325370984d7bb3aa24e38dcd1b:4ibDy0ZiHOOVTL0PnVmYz5z2IEEt3RI4	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.150
