2018-04-25 08:47:51	426bcbf6c6db187ae16226b42239593f:tTrgUnargGPqGWys5yrKWEwysESXtXpW	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-25 08:47:57	20723aa649ba3b2d3acc96d82a954a3d:smg2YRHJxni40HH2fd97Yi81brdjX7KV	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	117.19.38.164
2018-04-25 08:48:00	9b6b4d79e0e95d9c19b4b9aea643f52a:51AFPs1NstQU1uzuwaKdVWNUF3ucUY22	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	180.217.141.123
2018-04-25 08:48:44	5704cc71000c3541ce75c5cc2838e74a:AEDL39EjqsaIftxM55JzUG8EhhkUyoVo	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	211.75.180.180
2018-04-25 08:51:28	1157c282fe819e885cbc30f2aa314013:otrwFiP8kB2Bo21PKZAnqsIKMmTQTDj5	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-25 08:57:22	05574f2bf631723b49c2e36c061b207e:yCyDv1zPAUBsoC7NBdKfSStaOivXae9r	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-25 08:57:45	60eac872200a0eb8447be972ba453411:W2uru5yijOiAQjhyblTSeBDSTyJPELHt	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.135
2018-04-25 08:59:55	fbd57343d26c96ecae2967a8ac88fabf:yltNLO1e95tWjPTVyEhAfmHBDTZWSF14	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-25 09:01:26	2acc5f652c7f1957226ef33d322744b9:HM4N9dBCaajgIWNEkWZvIEHPeADnscHa	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-25 09:04:51	0d15da5e560c450e585e23d3b803a219:sGuNJFbvpqDf5XNwjocvQjKpqm1cuzXJ	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-25 09:04:52	974ee77a2952311a556d4377dda942fa:sgs2B48Y9neIlBiAl7meFf4kqGLA7bYA	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-25 09:06:58	cb8666f2167ecc0609dc6db68547086e:yhzzY2hKujBUfJ38dLqX4bgnTOT9iqGf	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-25 09:11:56	82eeda37fec7e0c3907aa21aff16df28:DPTVD0QniFvLfs4qODcZ6shlWRmrRR3F	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-25 09:12:53	d1f7fe0b68beb119b7413da195713fc9:vwtSCKBpt1jsUSzXygH2Jv6BvaUtRanW	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-25 09:15:33	b9913dbc429a7155e85dae2f9bbfe58d:snoUYdWwYpgkkL3YBmwLkcTXBaFk28TD	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	172.28.52.104
2018-04-25 09:17:24	2b93d52f06cd023c31f190a674b4befd:CaTw62LnwYWupEZPPBhnbRaf4LKkhxCz	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	110.28.226.33
2018-04-25 09:19:12	35b6a10a1a4558b8fbf8b7945c6111d1:veL4KOVmJSwUz7ao3JywjSR0iE8YzdcW	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-25 09:21:17	93b47f59cd082d1692e5419bd01bc3cf:QDwSX1IRcDoj8B7YGhCoWBRpAoSQNsoL	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-25 09:26:24	eb652797d3978ada2da9f33fe96d757f:OJFMuTokNTXCeJoddzDQizZEh8lQ4Yde	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.192
2018-04-25 09:27:37	86d0d0f135b3276daabc9d2370bcc599:CNUjoDqGuMpfwLIeYAIxxHi9FN7Va1Sa	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-25 09:28:04	c8673c5a970a09431565af6b827ea6f8:kv6kX2tWOahs4OLBlaPPOiJl33fUgebf	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.192
2018-04-25 09:29:08	f51cacacc4c0e818f17ce2d23afff4a4:7ABbWJnkwWSTe687rLIvCXUV6tX8iV6S	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.192
2018-04-25 09:30:00	e569be4b39a5b3cfeee9a02abe2fc76c:ROxWE31qizWLyjxRA8gyIBD5nt1yOHEH	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.192
2018-04-25 09:30:22	0db32bdb0218ebb2d464f6a976e42486:g544YafZvwQ8l2vrpUYEQaOWf66LmVYq	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-25 09:31:25	7face5e7b5db9cf090892e6e067c7ead:mVHpOTVfjFl4ybMRNxtF0WpOfF5L3Zza	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.192
2018-04-25 09:32:22	89449bde33bec127c43b3a8b49b232ae:bdJCBGUEw9i662vcjytB7R5Cx1v5PQRd	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.192
2018-04-25 09:33:17	3199d9775c8650df4283e5ebb1b98b40:xDGoCZGFBSpKl7sdty45bil3W61aciIh	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.192
2018-04-25 09:34:15	a07214204a613bbd90d4061e207da2e8:GH9HxC36X947971VElYDOoutNReo5xZy	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.192
2018-04-25 09:35:09	5c117834be94cdc2746caa6ce8ff0d72:luHp1rmr4hrk8COiLsdDD0hDPQf09yua	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.192
2018-04-25 09:35:57	a76826e763482e35b9fd53fa0f38c59b:QR5CJWXbA1JbA3QWSFmXn4rvM1qbQeux	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.162
2018-04-25 09:36:01	e344d5f835b73b4090f8d5af6d2429b7:QEH3e8E2FFMSdV1AFtPPXgpUqULtrzsQ	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	220.141.159.53
2018-04-25 09:36:03	b633477be5d70439635811418ab75ddb:lRmNRB9nNKaOV46SY44w3DILfydIKi5k	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.192
2018-04-25 09:36:59	51d25d4465041fb142f28088c4fc6713:7ejNINqGIUbfIwC8KoX0hauR12QQ5qvm	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-25 09:37:03	f6a2590e3d4c6282b3eef616ef84c002:4NvXHaNuUTphAzJzcI7GaynaZ6VDvUiw	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	163.21.222.12
2018-04-25 09:37:19	177f4b6dada137f086f34b95b1eebc9f:d7SgQthJVvuvHHR6gBRRgYNIWSOYLwgb	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.192
2018-04-25 09:38:26	68217bd026d533e9c1a9e6233fcdd96f:woIKLJl6gnnqiDpDaXezYZ4XVuxQ8hWG	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.192
2018-04-25 09:39:25	3b0837b00913ba4a6ac802f6768831ad:kwSEHWrTVvgXDiHPwUU4l4E0YZfcE3uq	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-25 09:40:49	3a9e06b54f3cb651782af0d725e1d50c:DcV22olDXs8pCOP7llEqFiAaFQR1i6vQ	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.192
2018-04-25 09:41:43	46e620b2cf0ae53bddf3091e5d872107:3WEvMZQwhno1dvfBZ2CsEQH6RQoWdCZF	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	220.141.159.53
2018-04-25 09:41:48	134098c23d7649a1dce805676493bb7e:VDPESccxDqSbpzn47QbhmoPuyU1KUarj	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.192
2018-04-25 09:44:12	e09165ef6e5808b3a5e778f7780a83bd:GCgDcqoCP8Q3w0QbmVOtmRywXaAfUPTp	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	220.141.159.53
2018-04-25 09:46:23	831a56ab9cab4f846e7151a6c03d1ca4:LWNLkE7G4oYKiXeKhyMPPNU0MPAZb70R	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	220.141.159.53
2018-04-25 09:46:46	49576cb621cf5124ca534a6c266be0dd:ezGbVaR89r65uLnJ7JK8nyEajoCZ44UW	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-25 09:51:04	754437af2052e19e1162dc60da7bdd53:Zf4G4RbJpy9yOKltjn03fklBQfix3Vna	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-25 09:54:31	ffda3dc51305bc39d16e1fa5a787a905:ZYbbDxueawzCFwbhlX18qzxb4WGws8Ts	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	123.51.210.253
2018-04-25 09:56:13	39835696a44d703b1c8a70edab297dea:kPELfkjERIjJMOuByRTVc1BzKf6rUXEN	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-25 09:57:58	2ae0049ddcd33f4e8d03f19e1adbaf74:j3ILtwl2ecW829fCaTv7hUv5bGEOxb7h	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-25 10:00:25	4858e7cb888b7bd3b7b8205bdd8ade19:JfNcN2k9NUXGJkqPjjIC9QciTzEjkVFj	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-25 10:03:55	bc768066a821c09e1683aeeff9535904:zIMHJU4cssnmendTa3CF1AbsmDVZdiss	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-25 10:09:51	49ea5de6610f0896b435b934e04eb140:e2TgFY3gqe2vbcQSFgEEJl2xIY8mbrDF	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-25 10:10:45	383ea935391ad44d48bb1b021052b78d:d36aSpO3K7j2I1PQZDlP7MUDaEOgRKkl	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	111.243.91.82
2018-04-25 10:13:30	ff455521dfc9ceceb7a8fe8fe97c997a:TM4feunDWquvFOaifeXboX8m4ZELZJ36	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	106.105.178.41
2018-04-25 10:13:32	f1f54663434eff13c3a3c590d24a3c08:twqhgydCoQ4Tqdz7g7E5X937Y3CWLLjQ	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	172.28.52.104
2018-04-25 10:16:34	86ac49ddfee97a9ca983f3828be00ffd:Z6IN0u4PcGiqiJVnapTcvMBgtJDrGKk1	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	163.21.222.252
