2018-04-21 01:19:20	61e4c79065a3b0618096f1ee3834fc8b:xRYveS4xEi2BykMPgN4BmW4AS5qoHdPs	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	111.248.194.123
2018-04-21 01:35:32	462c030dd17b0ab3ab11f7eb8699ba38:9TPSiITupr0Ye1MCXan9o77aGxuSujnc	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	101.13.210.251
2018-04-21 01:46:33	2e90f2850ee07230df64072ce94e2754:snGhUWvaDlsB8tZFqrxCfnLXdkidl5pP	Q1:閃亮文山．越夜越美麗	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	61.230.153.127
2018-04-21 02:03:18	e5c6757f0003e2f19c60640e058af8f9:IO3bg6mvPxqYiAwtXC455cE8elSTK73V	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	123.193.11.71
2018-04-21 03:52:09	9948d61d9245cc451863dc42dee218d9:lF1qGMYSq7gnUTqLBBEkBwvIZAEEAkJa	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.136.129.152
2018-04-21 03:54:38	ee41bedade1f3663b6d687a05c72fa3f:uT4lrYyeInJB7h8uotVAdXhr2nGJEaUo	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.136.129.152
2018-04-21 03:57:00	379c79c01fb5b0381ef189be46565b36:yKggRXBbRjxgdap26QV56anbv2U1dldE	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.136.129.152
2018-04-21 06:45:17	a57cdfb1ca95909deaaba425441e3488:BUcPNuhtaRsruYxQT7IKrBtjGQhnospO	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	123.193.69.85
2018-04-21 08:13:09	16bc9cf2cbfa1bf8da2c9994a0ce5868:DcqtHz3FpYnpLuNQPPaf9OxrnUqvbU5n	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.186.124
2018-04-21 08:13:41	0644e4d40c4873038ce791e1ff74f022:AF2q0R2U0W60DvDLzqzng86NBPefY0t8	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	1.171.45.112
