2018-04-18 09:19:13	60cfe0a7385856043739bb0d607b3943:UYxHdSoU1dUXrunHa1WyFKNVoZwawTLg	Q1:唭哩岸打石文化,;	61.64.138.107
2018-04-18 09:19:54	a4de553ede35ba81514c2955fff323ea:hCKQPNtvKHNbzrKaY5yjiMuEsECaO9Wv	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 09:20:03	b734191cc36234a47e4767dc31249889:T3WAFbMwjZrRdYBB6f9Mf9Y8pGbeMk6K	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 09:21:51	f02776aa141128b0334cded4c55e101a:IGkx98rtduB3wMCPGP4fQHzrHOIhFDmY	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 09:22:05	7611ac7bdd493666b57244917ab989c9:MYqfXiFBFxeXfIOy8gt0zXayMWEnnyN3	Q1:唭哩岸打石文化,;	61.64.138.107
2018-04-18 09:22:19	50efca4a303c18402762297b3e7cba51:ssFkIrTscDbHlAlru90j9SV9z7DN4wo0	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 09:22:37	a83946c1879f6a6f0cc37196167679ca:sd0YOjrwLyZ4T99VrufPdUpD5dhlRQgI	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.67.178
2018-04-18 09:23:14	4254dab1c9584262b718138ffb2b31c2:hVVJ9PPrq2EZDDo2PW9dYI7osewKpfFH	Q1:唭哩岸打石文化,;	61.64.138.107
2018-04-18 09:23:22	4168085c57d8daaa53519c307e5fee28:OSlR7VsgQvKk8k3vkYuNT7NxlruU3DA3	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.67.9
2018-04-18 09:23:50	2de39ff197788e12e4f5f147ac250f92:67J1JT4IK4zUJTB0Z3anxZv69I6fKegK	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 09:24:24	3dd3c599373db5e64e12826b352a079b:riuvmiqX3VlLd7sDGmGvL04q8puzAFKr	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
