2018-04-18 09:25:02	5d6cfd31a69c0f09c1cebc36d765328d:snHVE5T9zzFZjkT5HFUt6WNJnXENfpPo	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	172.29.35.253
2018-04-18 09:25:22	fd4390d6d250db920a442bc699bb2850:nlkRVFrkSSr3Ogqy5TH0V2WMWpdO3D1o	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	114.136.241.245
2018-04-18 09:26:07	81ae1b9c43d1d8d4804ad9dfa326dfce:ydZ3DhfpRWcv1PUmgrH6dxUxSSNcOab1	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	114.136.241.245
2018-04-18 09:29:33	905b992c6017d6d7f1cb2e24115f7ff7:wolhmcSx7xvR1MyHE3K7awQbcRRNMNsh	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	114.136.241.245
2018-04-18 09:30:23	d2b40fd3087aa38715430485eb856d40:fhNkqr0hofbaXPUXFPPNqcYobQBXdfef	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-18 09:32:10	81afc50f250db8e49dd6ce84908e898b:QCZG0UCxy4cVGXLEJ5SApA1fymiA7HDq	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	114.136.241.245
2018-04-18 09:32:23	4a42333f93b9f3fc6c2a251d0d2ecabd:RYing9CPNA3aAiT1l6vpEcAGw2oQTkt2	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.140.140.227
2018-04-18 09:33:06	5f2dcaf82171709aff5a3ae6db248ea8:8TDXq3g7OG7e3D5ZKaB143CaW95EZldr	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.9.96
2018-04-18 09:33:30	a3ce18cabf49e503afa075b937e60870:CDqtfBdq3OPiQbnxh9FC5X5VTVVVlXKG	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	114.136.241.245
2018-04-18 09:35:17	690ae41dd086c5355ca964a7869c37bd:V9HHlflsJHULM2CMO7vQsoerqFmboOZr	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	114.136.241.245
2018-04-18 09:36:58	79aa9c4d13db9b81d190b188bc936866:ql9ioR2YkFDLXm3DouoWRyjl0Ov1gVvL	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	103.226.215.188
2018-04-18 09:37:08	c07b8587de5773a016b1b988953c5793:cf8zDMGgfltZ481tIlNlDA7vRHx6P8hT	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	114.136.241.245
2018-04-18 09:39:58	1514231f5fc8fb056a717d9dd47a4c7a:BjXXur526o1RCQLbCMhNTOlEGgS462cw	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-18 09:40:28	c77d02c5b81d06e955a8956004886809:E4u1CfI85e5RlUInUePTO9GbWzjn6pt9	Q1:百年觀光新店溪河道再造	,住好住滿	,;	223.136.10.168
2018-04-18 09:43:39	04f2f38b24badb18b1b79aec25a3afc9:CxfKE9mg3hoto7nSjJV7qoWXLJSZCsLZ	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-18 09:45:17	3f47e9fbdf28bd3295a6b1f9ff5d6579:wWn96dF2FTOShtcJjch1veli9WerRPVl	Q1:人化交通，樂活中正	,住好住滿	,;	103.226.215.186
2018-04-18 09:46:08	4927e6e886e94e4069b7c2fd5ddfd35c:uDUePqCQEqSCgGrhNfFax01ipRnCS8BU	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.9.144
2018-04-18 09:46:19	38daa355d9c01c5763d4c48aafdd1782:PS3m3a24cri0KFE54rmoAgRAHB8qy0bA	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	114.136.241.245
2018-04-18 09:46:20	9a9d0e726bb55d0ccb3dd29b0cb88d54:3SdoN3rpTLxhyLChemsXjHR74Bunx7dF	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	103.226.215.188
2018-04-18 09:47:51	6d8e6f12e01f91af5f9d6e276e224b0c:yXZqXuWBG9N7mSSkqBR3XFMOuuyWGmU2	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.9.96
2018-04-18 09:50:50	3e2b15c55fe8d2163103d5970f00d18d:MyQUuwI6P1Dho57289mNS5yEis5UVi0V	Q1:人化交通，樂活中正	,住好住滿	,;	223.140.247.117
2018-04-18 09:51:45	34ddcdeceb78537249de6f95ec2815f2:hbAcViyDJWMQOHEYwpoosdh3z9WGVZ2C	Q1:百年觀光新店溪河道再造	,住好住滿	,;	114.136.241.245
2018-04-18 09:52:10	bba3ac74f378a39012120da8194622f3:D1lIj7frKiWE4Y1T4kao9yDCZp7ADA29	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-18 09:52:11	58593a25246dc45d57ab3f8a1ce796ff:QpLUD8Yt5MOciqwL9jzDRKUQCjqbAHWE	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	114.136.241.245
2018-04-18 09:54:08	88a7a79b48684217ccd476fee019a640:31sC5RwjCZ2gtoCTtOL6QbColuZwvmvc	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	114.136.241.245
2018-04-18 09:55:17	98eb861a25bc368d9066c719fe47b743:5rGQyi8jqAzZUlervWVC9WwFDFbPHYVI	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	180.217.142.60
2018-04-18 09:57:43	03e1a3e141ec67376a1114210dadeb7d:JYzWy93eoB7GXU9xWRKky4EvRRLkX6jw	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	114.136.241.245
2018-04-18 09:58:01	d2c821a8d5b2a397e43ab3d47d70d16c:DOaJES6UyDoZGfVX4lwqMlTr6iTliPc3	Q1:百年觀光新店溪河道再造	,住好住滿	,;	114.136.241.245
2018-04-18 10:00:15	1cb97fe8d6b37cc2cb506480194dc87a:BBpLApis9xlAl9TVeedK6N1AxoseuPHa	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	114.136.241.245
