2018-04-25 09:33:26	a3e5b6c59f135aa2548557493f89c1d0:6aAkRy63VbgygyJWhVacpG2p4mgKnJ3q	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-25 09:35:01	9ccdc125e67702c06570a8440596b407:KOWx9PTIynswyZSjOY7SqqbGa7ZPkOd9	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-25 09:35:26	639b59252eac41390c00664b9fb3a899:4CT76EOgBm0QMMcgYryLOO5Cp5nnycPk	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,;	110.26.33.168
2018-04-25 09:36:19	6e76ef7e77cdd4eb1630def8023e59f3:6J8sQJb4Cpoq5h1pZnoYtQ6QBwpwxWfX	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-25 09:36:42	1732c2ef6855b8dd0d579eaa4a60a65d:i5eaNIEwAT4HiqF3IjHc0YhhnWZdL6KU	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	110.26.33.168
2018-04-25 09:37:11	3dcd5151cb085dbf8638d8e1b9b46122:MQgNJQmLEEd08mk1itN8AZEWVxnpp6hv	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-25 09:38:15	05962d068f222affc307e13ce9787078:GI2pfryE4rSeRfROFdqXqXugIdFcdCVn	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-25 09:38:38	51f341f6b41f113f8dca4874cd80f17f:l99tHK6hj4ByOo14DNwIq8zuKWXEUd6d	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,;	110.26.33.168
2018-04-25 09:40:02	bbdddf8441dd8751e51e14d3265ad1b8:28yvV0IgyN1h3eyLMyMr19DXUIGeAWKZ	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-25 09:41:10	e177b484cd1d170de326ef21fe1f3bae:CBH63J17ODYBVCwSolKRT5BeRUlLI6bc	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,;	110.26.33.168
2018-04-25 09:42:09	8fe5a7f8fe9fbe6eccdc148e518be808:9iUSRJmWvG8doL51CacCjGoyKjFyhhKs	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	110.27.65.241
2018-04-25 09:42:12	2ff5dfab6075d484ce274cf06c6b8b0f:WP5HrH7OTRVqMNd13aitWjmeLFsWFDst	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-25 09:43:17	9f6ab4047344743118307f4c84203cc2:EEQUCCefuybnEexcXnZpRH0rwevG43AJ	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,台北市新亮點最長巷之前世今生	,;	172.29.114.103
2018-04-25 09:43:23	14f4ae109fdb6ac3fa8b21940edb4a1e:RrotPAPn1HuZBvzDhYX1FRquoxCCHW6Z	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-25 09:44:13	2d42cd97a86e91654c4ec5e6a4443d7a:vYjYbMO5Z30nQuA2keNdDKT7rbirQUr8	Q1:信義後花園-松隆映像	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.114.103
2018-04-25 09:44:58	86b0bd2f5095a32c211fb6900dac145e:vTN4S71MdwKpsmFKbkjO0l70jKbTkari	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-25 09:45:05	8772650a1c4a6b24ee024f4edff6f93d:RFyczMzlfTSWuHSmud96cuWYNQOctffF	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	110.26.33.168
2018-04-25 09:45:28	fbf3c129fe569c44a6df70b1ced93f76:4SRhI7DFtK9PehEdbq1WTfwOuw8Ya57m	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,台北市新亮點最長巷之前世今生	,;	172.29.114.103
2018-04-25 09:45:58	4858630639c9c45570ccb45c11f4046b:trgmEzGFhAeOOhdN4F6lGCy8QEOBPmMb	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-25 09:47:22	e937b833735b6dd682bbd09a3fbddbdc:4ujZPcOJ5mG9qg23KrxEXgMyQMxno8fJ	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	110.26.33.168
2018-04-25 09:52:56	e4379a48f962c7be9989629dcdf9fe58:5if9hcblsvzlQNzckdN3xLIbldbwb3Uf	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,閃亮永春-商圈重生	,;	101.15.20.85
2018-04-25 09:53:13	f543bbb2b3c058253e8abd13c08b919e:I6ZfsxHrxrc15N0EyZ0nxd3s7vj29NPn	Q1:信義後花園-松隆映像	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	49.217.82.138
2018-04-25 09:57:20	21e6a691ccb2ff5c16e3ecd2edb223b3:JzhCJacEPbhP3l8UWIuoA1qAxIMzqulT	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	110.26.33.168
2018-04-25 09:57:39	30addd4e3dd5f52b0b66e9704e55d2dd:VzGNYvK7fHZMU0e2YQfnuLiphuK7W0h3	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-25 09:58:59	c0b0e3d18347f6805e27169ccd5ade71:v998nxCgA1WIGRzldx0Fe1zj12KS9yVQ	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	110.26.33.168
2018-04-25 10:07:05	1882e4eca1dc24fa4afbd52a74993b89:tzF6JtcuSnB6wnN4FaRPXDHdi6bmrhbf	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-25 10:07:23	9ba0d1e1f8a09126acfdbb73e6ec6f19:u3nbMsxB6dWZRqZqWMsZqCmnFidsUlxX	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	110.26.33.168
2018-04-25 10:08:15	1b69d7e78f159f1ffc27fd33c54b7ab4:mbXTGNL7Fg9FGzpLDHJqwFGpu4rfUZWJ	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-25 10:12:32	ec19d2559c066c059916887b8a75c4db:IYbHAcZ0Q5x82agLUY1TJZPVR9lIUqyL	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-25 10:13:42	e89000f7e5364b60dc686df85ba1e0e3:QEAKFspsJ94IebiYrqizr5bo6Jtg9WZb	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-25 10:13:52	7c701f517460594a896b628ab154a527:Lj4ss3bXbbCSO2ED1JHMRNYPZ1XW45be	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	110.26.33.168
2018-04-25 10:14:49	6eded0ae131d5c870afdda3256a89800:3bUWuicSmmZc1aLjGdorD7huHZHEdmCn	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-25 10:15:59	41eb215b8437b0c88ba1e717d0a3fb90:heonUY1hKRL7mtKXoeiGZDpBPNw13KeP	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-25 10:16:52	a41171236b7421597ef9ecbfd570d738:WHzonpf1UaAZO7WSHJ7hYYmrMhfDQHMB	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-25 10:17:09	065a1777036107dcf41d5b6f3fd2ed5f:CzcskotfKLQUjEKZ3r7Tw42kOQQYVvYX	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.140.57.17
2018-04-25 10:17:22	0cd9706754bd6712ac8cd46c85da6dd8:xnJwXbct22Gl1tE1bA7g9ay8MSmwXGLB	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	49.216.162.133
2018-04-25 10:17:45	2fd1782d776db6a26a5fd860354795ba:WdE2UGsd8OHifh7fnlTDUnfUU81M9Ru6	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-25 10:17:54	49686802d4bd61c92be05441d9b89da6:coWj0tc2yBGNNc7PVfcChb7z7aHs075U	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	101.14.161.190
2018-04-25 10:17:57	47644ddd13e2beb68045f4d29232fd98:zBwFDSdpNntVrTTehYZJsU7Rrxv12sot	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	110.26.33.168
2018-04-25 10:18:37	9baad258c6184cdc2a7a0d3ca73cbb80:jl9HRwXT5O3EJH8ORbRoYvoVMjaKlftB	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-25 10:19:22	a6c4961d6fd72592a9d6967c136ad8cf:CzDqiar4C4MPrt8wzu8GZ0JnViTFJQcx	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-25 10:19:43	7a79a1044d5dd615c13782a908b31e25:rYxGVFbfq269haZZHeVn9qwvNPAYhfJ3	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	110.26.33.168
2018-04-25 10:19:56	427b077fb6c831b1b7def27aa1c4ed91:JL4AGnJCbxeOjxzun8B07yo916dONQfu	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.140.57.17
2018-04-25 10:21:34	4b2e79c547680efed05e005ec2211999:LNSs7GZhPK0appMjOtXpcix3YxhUOvRd	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	110.26.33.168
2018-04-25 10:22:14	b43566af3cd626d67b9f9ffcbecefa3c:7hCY9pZVfhPPEkszBJhTGLtiDIpnNs8g	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.140.57.17
2018-04-25 10:22:35	16f50a4220704ada81eb11411eb742ce:fbCjLfNBxVgZ5kAGLEdQ9NSGtc7TeYwB	Q1:公園內建廁所	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.114.102
2018-04-25 10:24:19	509d9e5c138381a98befe6979eacc168:cZgMdQRyeINUVJyOlY5UDNob0SC2T5CH	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	110.26.33.168
