2018-04-27 08:45:09	a64135262c0f84641b614d96ab4636b1:wlOrB9RQAN8Vcqh2J0Jt4EmpAWEGJuJJ	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	172.29.147.132
2018-04-27 08:47:08	5b6f9c6b6b1066034d421853195b9de1:ut1VoYG4UR9YyxYVXx4o6AJMWeWLxDHo	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-27 08:48:07	5f8fdcdd1a32cf58ed29450d80616828:moyREoqzRWUI0gHgcgord6nM4hpv4tJg	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-27 08:49:54	897a0ad546ba481d1d2e0688a21d05c9:xLYCYAPU57bJDAAMvNqYgcva427Qq6Vb	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	111.250.64.170
2018-04-27 08:53:17	cea744449e602e665599b89d90c8973d:h3ifpS7woxNyVBTp7nNqtzHZuttWWJyJ	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-27 08:56:24	c2e0a048b2c9369770a098ace6f41af3:v5QbS5nACUHGGFQT2nQ1v9ifvInIIg0d	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	114.136.10.117
2018-04-27 08:56:32	cdf6170a5075c2f1eb717f22fc4a5412:efN2ClogXwdbwfRH7LZZlUzOSK6tSR7U	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-27 08:58:44	2cc935b5d4fcba0813718040c9a4bcc8:sFbV50Ekc05SdEJZ1bb7CHaP7iLwNwDh	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-27 08:59:21	dd7650caa3a97126655df3c62438d24c:WgvClFjpCgSDjoW43bvTg7JUPrB6eABW	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	10.254.248.207
2018-04-27 09:04:04	8736f59402b074c44b143f7caeec319f:8piPo1capJdpSLxvx4H6r931zzjUs9bk	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-27 09:04:14	ce6df6dccb49554182c00e9e05c93b39:REPGf2EPWNGNUsObkRvBItnBt1YCTicr	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	165.225.102.66
2018-04-27 09:05:31	f51b79aec6c3181785f77052c487cd1c:Ls68oelV1hSUX3x8cGIxLOzbe2YtZQ7N	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	1.163.188.221
