2018-04-28 09:18:16	12568054b645061157389df68b227ef1:TtXgtbNV7ERMs3zS9DFfkZZbiWo37USO	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.55.235
2018-04-28 09:23:46	089fec825b0c53979441035986de7b33:esqpsFAYnjLEvn1lJLHtIpF7hz3DKfDb	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	117.19.193.30
2018-04-28 09:24:15	9af8f60b454855b5fca062faf575ae89:7kHrx3EOjPLwWXGCiCosHMOL4IR6nuC1	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.55.235
2018-04-28 09:26:51	a4e7f173a468838113091c40ddf9cafc:jk8REuYb6UnHcoVrLQGOG2nMT55acKSp	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.55.235
2018-04-28 09:29:53	d3900d6dc88bf8b80a911f7cca7d466e:Pzrc6B9cvhk9T7z2HStVMwJVARY0WtNy	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	117.19.193.30
2018-04-28 09:31:56	f1dd47abb27f9fc2902d0f3b8dc4fbc1:RBFdsE13RY9uQcZyzRGsGT0XfmADGyc3	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.55.235
2018-04-28 09:32:16	1b19c831a31f03ba3c328e75e1b6b3e8:AEEYLYrjDFPsTdxI6amWzEmwsv83PX68	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	117.19.193.30
2018-04-28 09:35:18	e77d594ec77c8ca0426ef9476b25f13d:zBRnsXpBTEISY42ugfzGgxb6Ptl3oDnN	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.55.235
2018-04-28 09:37:57	d0d3320953ee349df9dddf0c17f155ab:9GXMLgkWc80hGihKsdJQSoqxHAW6wgp9	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.55.235
2018-04-28 09:43:29	fb3317e4c9c729fc8dc456f794765812:2zP4DIIIm6etx4DIyAip7CUm4kj9SQat	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.55.235
2018-04-28 09:44:03	8af785d5f5462dbaf244308f2f45377f:SkEURiOTFximOuKa2Wnimfpy8j4ETCAm	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	117.19.193.30
2018-04-28 09:46:15	b8de01de5f6fd8530768687f7b3523a6:5Wc4ilDvLj2Y0CUQ1vdnBNHyVkyqm6sJ	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	117.19.193.30
