2018-04-25 01:16:11	1a3764dc837ec199debe1b9b639cf545:FkprobEcKNHMKmyG9vyJfjjAmH2ssvwo	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:16:36	666536e63de17e681c160b562fd89e08:GYY1R8FnZTcadpc1Ds4d4LEJ4EwDFHzS	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	1.160.59.48
2018-04-25 01:16:45	f7b475d18ce4fa2e4af1ea1fd49f111a:r3kANIQAOl6dOO86vlceLtCKfYPna1NV	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	101.15.192.186
2018-04-25 01:17:12	87f3ed0c57f04196f852d37ef7c50e85:5eQaxAdtXxWlTjpPIRlwyUdxTJhz1hG9	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	101.15.192.186
2018-04-25 01:17:52	394bc8d7c1ebd7c0b1898f5875cc3c29:SdH3EkLk24EqY5e34IWJTHCjqePwr7PM	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:18:27	52c884269cccd63814c0d38a08a3d482:uLqpGlS9BhN1SwveB1EszxBqsgTkqu4t	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	101.15.192.186
2018-04-25 01:19:06	ef29d976597048ca8c30ed896c8ade95:ONxFcrGenD8GGEPAWNAGyq84nSo0JG0L	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:19:41	f0656716180beebc5e402f747c52a1c8:9H835XyHgvU0S0FZ7ARoLYk0uuxllDg2	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:20:18	404a1eab88bc370accf44187f5c7a8a5:j8TnFtYECZU7ZbnOBXFkj3EPg1sVcfm1	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:20:56	d400e688d32f9ae4a30cc995c335150e:Y6ITkogIt99XJ9lmn7yPhQSviAi7wfpt	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	101.15.192.186
2018-04-25 01:25:16	5246eae2d52a469de6e2d6fc819a31af:ZC06KUQ7FuTPYKYnu7PUhnvJ8ryIiPiC	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	101.15.192.186
2018-04-25 01:25:48	b5aab7602a8ba53f4255fce2da7a03d7:o3BBXXFoyB3u1wGLBLANDmDienLg4Dsb	Q1:人化交通，樂活中正	,住好住滿	,;	101.15.192.186
2018-04-25 01:26:42	551ee93f7dc7e37a39d31da3bdb83f91:q7TqVQzbNXNRujQr0inhvxn17a8lFtvM	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	101.15.192.186
2018-04-25 01:27:24	eaccf02a9e5770fa72afb47dd489ebf2:9dfwe6pSy134079kq7rHCuhjyLR28XNP	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	101.15.192.186
2018-04-25 01:27:53	73510946f7b7748d6972c2fd086ce06c:2rhWkPzG60Hdz0Q0wRfRxgZ89KQnsZKr	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:28:22	2ff8a7ef5814081924b3a8927e746457:gJErRGaVPIln8MaitDiwaMWMLBhTYJ2W	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	101.15.192.186
2018-04-25 01:28:49	5a116ba1bbbd5d7cbb1db720b4066ced:IsZZI0QrkGFMhWZuMA4m8onpOV2hnZio	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:29:25	b24effd34e538bf0d85df8d3a8efc6d4:9yeGQGbCROPuPn10uAelbh1OshpBFqj2	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	101.15.192.186
2018-04-25 01:30:01	b46fdcb2836cd1f5c31a9eb77cdefdd5:6Wu8jZhkKQz2B50OWQimNfP4olksaY5i	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	101.15.192.186
2018-04-25 01:32:29	31fd2b18f30c884972e4343d298f3609:EHTrfA5Htq02PcSq4eVZgRv3KP2DzCeZ	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:33:26	5daf66f84312ffeee8ff63c09f655dc6:DRGL7qGB2kvMmW5xEwVSWmk3ejY3yco0	Q1:人化交通，樂活中正	,住好住滿	,;	101.15.192.186
2018-04-25 01:34:18	272eda7d5411e3f9a5d5211d8cc3f371:pjU7C9im88mPdGsdHNNokgh0DSjB9FNc	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:34:56	7012aea3266b4296c92f9b853259a1f0:wHMZFNSDbG1LVYYNUlchzNC8BG5hRWwc	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:35:34	4f410adef4ea0524388c8ad1168745b6:9EHERIZEYFuGjflAfX1H1s1IrW3ojYC2	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:36:26	6b8248f9655e779a14f60a49a396c7be:tBlKUZWrYChUIZs38O35kdHL4R59ghCe	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:37:19	07b3dde292ded9d1990bed4c8e50a062:o08QJqHPMkxDWLvxBjUjiI1VqeL3I0ps	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:38:28	f3a2339da00dd0819890705d2c00a9c9:5m6349c9H7twI3pMKyuOUDNnX01N5gXe	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:39:27	d030b63cdb3f0bf9ae3643ad1d7f5a4a:LWMppXqj20V1or3LwGSwIhx02iSd6yXE	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:40:08	6be8395a44d305e44a447776f5805992:UZWw4DEflZBL33xilEL4uzWFjFeHAme1	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	101.15.192.186
2018-04-25 01:40:42	a9af9c807614aa1a1f6ae5aec7fbd636:0D9bFRMllMNO5hJkMOiPabdSAnHMttgp	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:40:47	e9d17c14aa4cc8bd82014e33f10eca6b:6rnCELkQCC0OmtptcKbVF9lgY8noqIPi	Q1:人化交通，樂活中正	,住好住滿	,;	39.9.11.16
2018-04-25 01:41:17	3d518db259c5e0fe34b10bddf9ec2131:869WgJ2ZOhr9Gin0LssQR8eVkr9VEzV5	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:41:58	f74dea294d9ca749c0f3080b657dc7a2:WSdHTXxf7VAYXQLLS24R32Z0fVsiTcs2	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:42:43	8d04b604b21f0f847315a072231ae327:iLUNTxvbpwY4RYuKThbLqEZ7ZU7PcXoQ	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:43:33	e4c161d0271b9521ea9132652531e8f0:TpzzNkx8dOSSnwEvsNlvCk9BTuSLXP9M	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:44:12	781f65ec31de477ad3166cc5f9cb62b4:eqOWuGfSPfZE6Az2K3Xyl32ylnJOM09m	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:44:55	263c1875fbecbbc75ca708f9a51129ff:zdPp343YwWyRrVYGltyt5Mq7zeLiVJIS	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	101.15.192.186
2018-04-25 01:45:27	2262d78ca1d596d311eb26cb9971f29f:onOBPdxuza1mIrJmMT82xeyvamhYSSPz	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:46:05	114c10bd38b1cfb2e329389ae4ac055f:nAUWnN6QFDckwB30rHdJSVNSiUNTm4rA	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:46:45	6f7f5e336ec41e161db101d212f040bd:VnNoccgkOVGdmFiMqqTajisetwUTILfC	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	101.15.192.186
2018-04-25 01:47:26	eaf4653e106d22f81af2ae8f3a91c3e0:3EGq2hQr35qisHwMKn1zW6mef41dzAq5	Q1:人化交通，樂活中正	,住好住滿	,;	101.15.192.186
2018-04-25 01:48:43	673f64b283b2242f30c13dcc660fd99f:GIImeh6cxTSat33Qrk4022uuYWZZPbmo	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	101.15.192.186
2018-04-25 01:49:36	418d6d43b31bb1c214295a9c9533bc0c:JW4OVyHTyqlOCdnSEJ933z4QLEWX2xoU	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:50:24	fc20d54f92dcbd2245b343f339f8912e:qEHivOTy9fCLdyh3N7Cf6PxBxEqICIhh	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:51:28	37175feb8316635ec9041e81c41840ae:Gq7XlSqpof3c4ZAgM4B1ENApcqGv9w7E	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:52:08	3237fe7c274a14769162cd584e351792:oE5PYdfJERZ4aIktZ4GZD0g59R278M5W	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:53:09	82c275a1a67e2df786eab2c458b6a026:j5YrCkHd2FryDyC5iCzerhDExuh0cWxC	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:53:53	74994fba0ab28b39f5b6a6fac2e6c791:hVZp3b5oad84zrMNlW9NU3XzfugIAzmC	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:54:38	8feb4992187e9c1367b2a2e97433e958:HyU5QA9Xj0u8pGpGHim5FTXWXO70QaWJ	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 01:55:30	4b2019e01fb23236571dce92ebaa43de:e2u6DFhXQotXprxr7QAw5XlSLd4fACt6	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 02:01:18	4b3884d22413dd286ee41e1d020ee75b:ujziHsHCcJG5axUgwO4BC6OIo7CRWU4q	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	1.161.235.130
2018-04-25 02:03:34	f860ed1f297954c1812968c43b148fcc:iFsge3NmlF27nmVMalQLVB22fEtKOeBh	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 02:04:17	99a0d90f5c9cb88f8c9ac7171b28f09e:HMidTAfvmpfhAlJqpMJTIF3aMCizHDol	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 02:05:18	66c5ae0f512750df26173175d298b4ac:H5pOKkX6EatePOVmFB7NHpi4gYYkPTg9	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 02:05:55	a23389e31a7b9c18dee6717af833e8b5:RfPObhh1QivqbVTfkAgjuMXmZFvV0w65	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 02:06:30	810763176c12bf4441204f2dc0974eb1:0BUu6DrLpEoouw6KV59bCWKYJNyPzL5X	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 02:07:19	44984aefb6b9e5313a60ca49136c5601:BvPBxH3iwmNdEx073PZ5n0RTSbXKG3Nh	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 02:08:04	255fb53ddf0447a736279d307059ac17:f3kdOLUV5MH8sklM73ipAthuy5ZyQ7Hl	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 02:08:58	f0d4987ec5ee70abef8d33c6091e44af:xuZUDkMB0gN4R31FZdnVA8wqtPKAmw9U	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 02:10:30	47660e3bf839c476ffe163fcff35c87a:xSlgyOuh4BGhv8tjVYDXMRW7uecAj965	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	101.15.192.186
2018-04-25 02:11:12	03f778d8c802f9d14ad3ec1ed7173162:5JJojJ5hTmQl2xwYStdXHarKbMLposlg	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
2018-04-25 02:11:58	14454b40ed9a420ec1167126cac8ea3f:pFtEYlmLKYv43r5rkQ9SY77hGGrF4eqp	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	101.15.192.186
