2018-04-27 10:28:06	b9df493688beac92fa6dbc681648fe3d:eoO7uflu1YwnXtXC279CbfOHpQm2BZgd	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.172
2018-04-27 10:28:20	af55eb1d044c334aa990c2ff7a7deb58:6iqZyZ6JLrCsrf8yIvNxhjMhFa3iMIzA	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
2018-04-27 10:28:43	f573ee39a988baf3014605233ec40e82:oY4q8hIkA0gw9OeaLw3CU4BWYvMNmjKD	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-27 10:28:58	724e05c9ac068b1bb70d0dadeca9ebf3:sHtGerxnZlJZNPVHjZJf3zpT47Jyv4Vn	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
2018-04-27 10:29:06	fef07ddebeab9f7fe37de5a5887c6f83:64rhpJTs7bd8aF7f85wPzbTdRNXhJPDc	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.164
2018-04-27 10:29:28	f8f34acbe9ea439306fc039a331850e7:F579BuKAgJcLC7vrfjKk7CEMHfYEIVIm	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-27 10:30:03	d6f49cacd190b745cef9cb9be4e1d91c:8d9yrFfSypJdDa6Y30HQNCJrSXm59WTz	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
2018-04-27 10:30:26	4df30108bc930a87ac9bd9c51eecbb7b:OiGq3bxv4b2uuEZDzBr9IuxkK2kVr125	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-27 10:30:34	d7d7a10cc877ea6c71d9ec03dc0b3755:7pdwISFrwksvh60vGXibMB4TnfvV5Rqf	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.164
2018-04-27 10:30:51	f992b751436fc781717394d791696864:UdpfcY0esK4WkOSPKEN6lKsdv8D52zgd	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
2018-04-27 10:31:07	8c330cb9fd3cceafec15d3a82081bd66:0aHS6MNUgvIAccGudWpHQ8Fcpu6m29YO	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.172
2018-04-27 10:31:21	242b695ed12b4ff503b1bef87864fe58:1jesPd54omqzoEgq8hjnY8exk1PwUwa2	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-27 10:31:41	9b7d18b8e00fd4ab4d80e93eb5d24990:TbACmuKCreuEybzrPIguiI8TiQDpyQI1	Q1:唭哩岸打石文化,;	172.28.65.164
2018-04-27 10:31:47	50637a2aea8de9f7133427f619f8b149:Y4mA5vYVUELiOBN5MtOu6yoFtLLtt1mo	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
2018-04-27 10:32:18	d77a06ee0923909ce36cf24530a1fe47:EODoIzm5CJjxoRF0Ki3Nro00rYPTwjwf	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-27 10:32:30	021ab4ac0feab734680c2b71f0b38d98:s0xIHDUyz7fjzITtmnoNjy94tmEW8PT6	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
2018-04-27 10:32:52	39129f3ecf717b5c5823d19a71066791:06I9Q7EEFmgIRvxPNOH9sAqpImGuQCtk	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.164
2018-04-27 10:33:08	43f38dd0ad58e5e6bfdff9d544f9a7c4:Fs1R7EGGdICvCGJ99CAFvTEQ4PWJhLg7	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
2018-04-27 10:33:34	f02b83cb266c97533f2f4b1715705d70:r4cVNRawbdeNuB4O9zAUsgX7b1urcdU1	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.172
2018-04-27 10:33:45	3df4967e5acc530a85f40111472627d2:uBq9woDaNRgBHuXOT1yQVYUONHshZYWv	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-27 10:33:46	35cfc513f66e8dffcf559dac465e4719:VjmxO1elgiCCgy6EyKb2vQyd4AxdiPKc	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
2018-04-27 10:34:05	e8483f374b3aabcfdfb089a56ee15522:OsnEFYcRRO4LihogVBjNIfOyArsAbTtm	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.164
2018-04-27 10:34:30	c94b9e2047f59f027679baec60ed03be:yxKpJjyyesFFNcJKGXxg14wPQHCHy98Y	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-27 10:34:44	e53db72e1abdf811277babc2098649da:U7Leb4oWXFUUhXWEwcuP4frMSLksyJok	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
2018-04-27 10:35:17	6706454e3313651b2f4c036a13a68b7a:vq7P3o5wnvLOfHP5sQl3e5rvREDaXG25	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-27 10:35:19	32ee8deb9f29d5c98d48a0fbf05617ec:jOjjTyyyZ0bBtldRLW1RDBIsiBGecv1S	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.172
2018-04-27 10:35:20	7118284858b772d90d6dc3c43f958099:lKbU8vxYM36DKvhiqjh1MnWdlsKKPGzp	Q1:北投區環境資訊2.0	,;	172.28.65.164
2018-04-27 10:35:25	1fb43d61901e3ebe21cdebcd7264cc2e:kr5LvFgobbMwwEyt75HbfMf27LZNJK0Y	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
2018-04-27 10:35:48	9ffe481ef3edb9ee462b33befa5f07cb:64iZnMQPsDaIo3zo1HbR2VxpmNPowAEe	Q1:唭哩岸打石文化,;	49.215.51.112
2018-04-27 10:35:57	b35f5318486e52f4566d576938aa6011:raICl7UYSH0aW9TeE7HCWAsitZCN0sz1	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-27 10:36:15	fcffe6e738c0f73506170f0492015c80:bUg4MTr1XEIz7WU3wx5saYXUM8bW4epy	Q1:唭哩岸打石文化,;	172.28.65.164
2018-04-27 10:36:20	ad8d3ef692834912ebc1062501f87b7f:i4HcjjwjordcnMuJcM4Ko4UTKxrNjT57	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
2018-04-27 10:36:49	2f6aa985ce84d3b59d52b9e9ec09e760:lTtFH1PrdhM8mrz49zxnnlX5LLv3Xm0c	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.172
2018-04-27 10:37:07	7be0cbcb207cd69fcb8e61d995d8934c:IQ7seAcH3xXf5j4KICKcEDIbjgGI684Y	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
2018-04-27 10:37:15	be1c4d7f17029cfa561eb1a1dfd7b9e7:o58fshxbd0X100NnrarvDyfdYokGSAPg	Q1:北投區環境資訊2.0	,;	223.141.3.100
2018-04-27 10:37:15	1b1b02d2948e40f513b5c56bf5178485:YMUV4WdIuryLa5LNkQWJs0IyxmoO6rtt	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
