2018-04-20 03:05:53	b413b33e7a689ab69ac9ac51dd5f6635:ZHVdVb5x9lLMm6aDIAzsx0sFNeCUAXn0	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:06:11	d51f0d2d005c1287a59f3af10770e1dd:h3fTGntDBGGDa2aCJt7RPw9l7mtQvu6U	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:06:31	56bb115c4a89dc4e62a341305de9750b:XDFHimTn62FWSDt14braHamWdviZ15lz	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:06:53	b75fe483e88ae2f37be1103997e466db:6lot4VBOwnaDOiiXpG6UirTxsEgNk3aB	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:07:48	3fc0e9597de59993245f4d6cf0d89ac1:Br6ZOkGBbmKNKSTlK3L6xL55OoBkkeJU	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:08:23	100563fd3ebfe0ea4573493ff89d8510:kmqzeXHyEN0flULC0peEOsT25iNXbNgt	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:08:39	6d7242704a9876e99a0437a2fbfd547f:LtNw8hASo4fmu5CRITZmr6GQneyUfZb4	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:09:14	6b1fd45bb05a49b5308df864d18d4c37:nAatTA4GoKkfllkWHlf4O6dmmkpTCHIn	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:09:33	56d1af5852f3c78d25f9333af1296500:tdt9aG5arrhZ1C2YmjbEpyhWCTUlIPpC	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:09:47	9d46f2fb976c2270a61142f5d9096b58:F72GqP7wH1pt6CISlssN5C53BbFMeMKr	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:10:03	c60edd7047e1131c98b85ca85ed109be:5Yn7m6uKdrAk9IJ7DFensMAkWtQ0FNtT	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:10:30	fbd488471a49c65c588e021bef892963:oRY79PsqGUXmOBQut41njoE15EkF6pV3	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:10:46	f67df1dadc7cc5b80741e52aa1d36b2a:Gofj9kJRanH1iSf89xT5pruu6mftUdEl	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:11:27	37f0697268dd048a9609417b7d12413e:6mADLqyKxjo549jGTVwaisCADqCCVouk	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:11:45	1b18f1272e1c4b52beecb4536f0ded38:j2bwH8s2Z1saIPCBCSQPRm19kqL6dzSI	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:12:07	229f2089ff3da8ad3e5f6568caafecbc:fe0SWVsOeCXCogINjp7ChevGAdBR30PD	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:12:19	dc2e0c758b1e4b4a5ea995fd5211a1ea:YRUH1AatQDtVTI67O3lTQ9PCWvB28cyA	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:12:53	35cae6e40a92e0c78395db518d401a85:TK4CPW2aoj9hFZDQcVAGhT6LNw37lm48	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:13:15	a7c3cfa2d506e0494bdada78dba5cc5f:sD9abGpbQk1eNb9MTN8dt5rcQGejoJQH	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:13:53	77da362adb0f7287f579f00e90d3dd00:z19cBKyk8dRjwCloVGJfglYVskpltXMo	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:14:14	4b11e01f5a07111a7b9e2abeb5497d8c:iPyolQ1foN0rDv5UWPv74SbceuXEobgV	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:14:29	1b4fc4f64dcb78eb2af620051425369c:56qiEMQIGu8lb0iA8VUm94kaEUZlsKJ3	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:14:44	79bea9a16018182f9802e81029936fbf:ymY3dNAKln4nkUe68QN565AxikQyaqNf	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:14:57	85473338e85e25238a2a753b59207dc4:U01ZZqL6oggCW9e6mGahSHr08ORX3v0n	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:15:15	bcf31ac43034e9bd866a2c4a42e50904:SHyr4o7d9PMi7HOmJpKMEvWJV4HJDJ8U	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:15:37	b3de9fea7a40ff79c97b166d8ebbb1ae:58LOALqRQXGfL4avxc4WEF7RqTTTc72F	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:16:45	d12dc0d45c5ac6bfe09fc67820d231f6:5OtfcxCupvmJvgJeoL84VluxW5VVP6WM	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:18:48	9936e016d73dfc3b853672d137b6d2b6:P7DTtO2DkSKwiwAWM8KRShBgkKtNl4n8	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:19:03	1e808a5f7c54575e33eeb2de921e1213:Mxj3pX7uq0dhsXfAlThlaSMoNnn5RVpL	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:19:22	f32e6037f71dedee49774c2315ddda3b:s97Brcw0NSCo0GN0068mXPIdZx4KhDyR	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:19:41	9a8afc84ab16cc7ed8f39848cd22c69f:YimU073vxIXlvf7VC93DLZ16954A4zuj	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
