2018-04-27 00:17:37	fdf7e233f7bbd0efe4ed4b46b87ef9cf:FpxySRNewDR4PK1ZkaKUiu07X9VD7g9x	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	115.43.149.128
2018-04-27 00:17:50	b0d706fe7c40e9de8d5c41f861a56d29:v18uxbW0SvklQ4SMk3JlnAmzmHRXm9yw	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	114.137.87.104
2018-04-27 00:17:56	7961673581c6043572d2278b27546a8a:GJJJo9cJkVUlNqe3FdwxgKgqIGtsE5N9	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	49.217.246.178
2018-04-27 00:17:56	4e25c7f6ad15b00dd3245822a2b5ff97:OzDC4T39pCWtSt4vKxK4FOsyEuwSS3fE	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:18:36	d67dadf9f7672065dd54ff742cefe602:Ney3OZVOMB3vDyBMteQtoSLVy8EZzHYE	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	114.137.87.104
2018-04-27 00:18:40	99fda8d37c18c2897d8c1dbf96b343c8:q81oObtMUgw9CVYwYNRFXFwwVw2yTozA	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:19:11	49db51caff5c6b6dd89babdfb730eb13:fKv873tV7I64Aa39iAjiOYnSScDuNYMQ	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	115.43.149.128
2018-04-27 00:19:13	8422cb693d52407a3074aede23eadeb3:VNEvY3e2yZ0wEjrEUGv7zGPvdtKMZIAu	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	49.217.246.178
2018-04-27 00:19:23	5c20a79b0d69adb2dd96945fa59d8248:baiylJkFZi8R23ZeW1FMq8RaiVBSJsdp	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:20:14	4b1f66c86147fd81249e193364ebcd7f:Hoe3ei1YwPPO0ynD4OVVNLb5ZhZGgekx	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	49.217.246.178
2018-04-27 00:20:23	0f7ced126e788c4a27028b1f58ea0e53:ZXhcyK3DwIAt6caXicFFlAVnNfKP4GmI	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	115.82.1.28
2018-04-27 00:20:42	1a17314dbd221b309d74c840cce642c1:gOsUdl8SQe7qzIPmL7TL4H7ya249sLjb	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:21:03	896f15ea5347e693bd4f88d78dc42123:p0g22Sh0TOazyxbOCK48Uri7tuVb5Sw5	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	115.43.149.128
2018-04-27 00:21:23	633f503b0ce0159ef77368b766a8e393:bkHDPun2IaVBX5NbbgMEc5wEheMN0yRu	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:21:23	2fe9a9034503445df611cd11d5d98a1b:CDsEqvTySUuyzQgwEJOsHXJCjN0vpPqL	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	49.217.246.178
2018-04-27 00:22:16	ca69be1631cd62ee333fd764501ff08b:btiGglkq7NIDJPow2mldKfZhlKh8gS73	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	49.217.246.178
2018-04-27 00:22:19	07619a3f2e51491c5497b387d99600f8:15xD3O74vxiOyr0EJqOkh3oKVQI9Vxix	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:22:48	e4deaa915dad1b99b5d7c1508de201e2:Nm2RVCharimhMstYX6ldPYbHbLOvmnwj	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	115.43.149.128
2018-04-27 00:22:56	3b0aff2dc1704fd335e8e1894aba2b3c:fCNVW76ZptJWhOwqxFuejTErYjFxeDpV	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
