2018-04-21 05:01:57	9d7659a27c95e08c12155e1ba5874baa:KFbM1K4TcMylb2lHVwHhVo65t9MNtwxB	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:02:05	02526fdccef929031c0ccde7a46a1e28:8qO88SUVLZzMi5vImQfVb7zwauh2GrLM	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:02:14	f586b17e5901a90670a4f24f5be390dc:GVSWCJRTKCGOn4yXbZ0Y5tpU2GfIYTaY	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:02:23	f3dac85165a650b36e8f35f1b8249568:CzUNwaDcPZ9CJXjKxvCfDpnp2k67GX7r	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:02:31	4fb64d6ff23d8be7d3f99b4bc51c10ab:6OxsH5VJbgCnh9DaEhZ4g8zvTuuOGGLr	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:02:40	9d3b7b322f30fd7fe0ad77114ae20a25:xgpvI93rXeVHPiTUll0oYDfrELLdXipT	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:02:48	d4d3d8518e7b7d2b2765eacbd765f497:eCnbKwHE9T4KIGZKQg5J77O7O1mH92VP	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:02:56	56aceb1fe80c360321dadf0b3fb4b562:0yNRqa3xSVI2SNGXPXGeEfJ3IgekXz2x	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:03:05	900f72eac46ae1f7458c699f62737b48:trgJpV1a61Z6JeqGWGnf3dIZ719wA2Hw	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:03:12	455529e368d2bd04620b27e9dd467394:NBM7iCCY8ippiVQJGyW6j5YL2oXkaiul	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:03:20	a567eb82b598d8397e91bdf6428d3b1d:6sUveZHTccnW19SU6cIDr71nHNTOx61e	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
